
# --- repair pass: I lines for every collected edition (coordinator directive) ---
# shelf S747
I 80299 cv=454369 gcd=2617589 0.95 | same Guardians of the Galaxy/All-New X-Men: The Trial of Jean Grey record as item 84240
I 85671 cv=181822 gcd=1108387 0.95 | CV X-Factor: Heart of Ice (2008) names our own "X-Factor Vol. 04 - Heart of Ice"; GCD X-Factor: Heart of Ice (2007) names it too
I 85672 cv=181823 gcd=1108388 0.95 | CV X-Factor: The Only Game in Town (2009) names our own "X-Factor Vol. 05 - The Only Game In Town"; GCD X-Factor: The Only Game in Town (2008) names it too
I 85673 cv=181825 gcd=1108389 0.95 | CV X-Factor: Secret Invasion (2009) names our own "X-Factor Vol. 06 - Secret Invasion"; GCD X-Factor: Secret Invasion (2009) names it too
I 85676 cv=222648 gcd=1108392 0.95 | CV X-Factor: Invisible Woman Has Vanished (2010) names our own "X-Factor Vol. 09 - Invisible Woman Has Vanished"; GCD X-Factor: Invisible Woman Has Vanished (2010) names it too
I 85677 cv=231153 gcd=1108393 0.95 | CV X-Factor: Second Coming (2010) names our own "X-Factor Vol. 10 - Second Coming"; GCD X-Factor: Second Coming (2010) names it too
I 85678 cv=267446 gcd=1108394 0.95 | CV X-Factor: Happenings in Vegas (2011) names our own "X-Factor Vol. 11 - Happenings in Vegas"; GCD X-Factor: Happenings in Vegas (2011) names it too
I 85679 cv=284404 gcd=1108395 0.95 | CV X-Factor: Scar Tissue (2011) names our own "X-Factor Vol. 12 - Scar Tissue"; GCD X-Factor: Scar Tissue (2011) names it too
I 85680 cv=297584 gcd=1108396 0.95 | CV X-Factor: Hard Labor (2011) names our own "X-Factor Vol. 13 - Hard Labor"; GCD X-Factor: Hard Labor (2011) names it too
I 85681 cv=316046 gcd=1108397 0.95 | CV X-Factor: Super Unnatural (2012) names our own "X-Factor Vol. 14 - Super Unnatural"; GCD X-Factor: Super Unnatural (2012) names it too
I 85682 cv=341634 gcd=1108398 0.95 | CV X-Factor: They Keep Killing Madrox (2012) names our own "X-Factor Vol. 15 - They Keep Killing Madrox"; GCD X-Factor: They Keep Killing Madrox (2012) names it too
I 85683 cv=384574 gcd=- 0.9 | CV X-Factor:  Together Again For The First Time (2012) names our own "X-Factor Vol. 16 - Together Again For The First Time"
I 85684 cv=466263 gcd=- 0.9 | CV X-Factor: The Road To Redemption (2012) names our own "X-Factor Vol. 17 - The Road To Redemption"
I 85685 cv=387651 gcd=- 0.9 | CV X-Factor: Breaking Points (2013) names our own "X-Factor Vol. 18 - Breaking Points"
I 85686 cv=392557 gcd=- 0.9 | CV X-Factor: Short Stories (2013) names our own "X-Factor Vol. 19 - Short Stories"
I 85687 cv=415617 gcd=- 0.9 | CV X-Factor: Hell On Earth War (2013) names our own "X-Factor Vol. 20 - Hell On Earth War"
I 85688 cv=438116 gcd=- 0.9 | CV X-Factor: The End of X-Factor (2013) names our own "X-Factor Vol. 21 - The End Of X-Factor"
I 85694 cv=443383 gcd=1180426 0.95 | CV X-Factor By Peter David: The Complete Collection (2014) names our own "X-Factor by Peter David - The Complete Collection Book 01"; GCD X-Factor by Peter David: The Complete Collection (2014) names it too
I 85695 cv=453650 gcd=1180427 0.95 | CV X-Factor By Peter David: The Complete Collection (2014) names our own "X-Factor by Peter David - The Complete Collection Book 02"; GCD X-Factor by Peter David: The Complete Collection (2014) names it too
I 92972 cv=879518 gcd=2253647 0.95 | CORRECTION: CV 138276 "X-Factor By Peter David Omnibus" (2021, Marvel, count 4) Vol.1 and GCD 174889 issue #1 both name this 824pp omnibus — the earlier number-fallback match (X-Factor #1 "Third Genesis") was wrong, this omnibus is not literally issue #1 of the ongoing
# shelf S66335
I 85674 cv=191360 gcd=1108390 0.95 | CV X-Factor: Time and a Half (2009) names our own "X-Factor Vol. 07 - Time And A Half"; GCD X-Factor: Time and a Half (2009) names it too
I 85675 cv=222654 gcd=1108391 0.95 | CV X-Factor: Overtime (2009) names our own "X-Factor Vol. 08 - Overtime"; GCD X-Factor: Overtime (2009) names it too
# shelf S66349
I 86012 cv=185344 gcd=1072836 0.95 | CV X-Men: Golgotha (2005) names our own "X-Men Vol. 02 - Golgotha"; GCD X-Men: Golgotha (2005) names it too
I 86013 cv=185346 gcd=1102481 0.95 | CV X-Men: Bizarre Love Triangle (2005) names our own "X-Men Vol. 03 - Bizarre Love Triangle"; GCD X-Men: Bizarre Love Triangle (2005) names it too
I 86017 cv=221765 gcd=791885 0.95 | CV 34001 and GCD dump 53690 both name "X-Necrosha" 2010 Marvel
I 86018 cv=275854 gcd=1097592 0.95 | CV X-Men: Age of X (2011) names our own "X-Men Vol. 20 - Age of X"; GCD X-Men: Age of X (2011) names it too
N 92980 no-record | probed "X-Men by Lee & Kirby Omnibus", "X-Men Omnibus" year 1963, "Silver Age"; no CV/GCD row for this fan-compiled Lee/Kirby reprint omnibus
# shelf S94669
I 84817 cv=204290 gcd=1186243 0.95 | CV New Mutants: Return of Legion (2009) names our own "New Mutants Vol. 01 - Return of Legion"; GCD New Mutants: Return of Legion (2009) names it too
I 84818 cv=212438 gcd=1187612 0.95 | CV New Mutants: Necrosha (2010) names our own "New Mutants Vol. 02 - Necrosha"; GCD New Mutants: Necrosha (2010) names it too
I 84819 cv=267557 gcd=1187845 0.95 | CV New Mutants: Fall of the New Mutants (2011) names our own "New Mutants Vol. 03 - Fall Of The New Mutants"; GCD New Mutants: Fall of the New Mutants (2011) names it too
I 84820 cv=295215 gcd=1188894 0.95 | CV New Mutants: Unfinished Business (2011) names our own "New Mutants Vol. 04 - Unfinished Business"; GCD New Mutants: Unfinished Business (2011) names it too
I 84821 cv=336277 gcd=- 0.9 | CV New Mutants: A Date With the Devil (2012) names our own "New Mutants Vol. 05 - Date With The Devil"
I 84822 cv=377063 gcd=- 0.9 | CV New Mutants: De-Animator (2012) names our own "New Mutants Vol. 06 - De-Animator"
I 84823 cv=377150 gcd=- 0.9 | CV New Mutants: Fight the Future (2012) names our own "New Mutants Vol. 07 - Fight The Future"
# shelf S94670
N 84829 no-record | real doubt already flagged on S94670 (needs-web); neither the 33-issue Krakoa ongoing nor the 3-issue "by Vita Ayala" collected line resolved to an issue matching "Vol. 04" specifically
# shelf S94734
I 85421 cv=616203 gcd=- 0.9 | CV Weapon X: Weapons of Mutant Destruction Prelude (2017) names our own "Weapon X Vol. 01 - Weapons of Mutant Destruction Prelude"
I 85423 cv=674145 gcd=- 0.9 | CV Weapon X: Modern Warfare (2018) names our own "Weapon X Vol. 03 - Modern Warfare"
I 85424 cv=690822 gcd=- 0.9 | CV Weapon X: Russian Revolution (2018) names our own "Weapon X Vol. 04 - Russian Revolution"
I 85425 cv=699416 gcd=- 0.9 | CV Weapon X: Weapon X-Force (2019) names our own "Weapon X Vol. 05 - Weapon X-Force"
N 85422 no-record | probed "Weapon X: The Hunt for Weapon X", "Hunt For Weapon X"; no CV/GCD row for this Weapon X v3 trade
# shelf S94741
I 85705 cv=245820 gcd=1109043 0.95 | CV 36822 "X-Force: A Forced To Be Reckoned With" (issue 245820) and GCD 74091 "X-Force: A Force to Be Reckoned With" both name this trade — distinct from item 85703's Milligan & Allred reboot trade
I 85706 cv=267797 gcd=1109042 0.95 | CV X-Force : Under the Gun (2011) names our own "X-Force Vol. 02 - Under The Gun"; GCD X-Force: Under the Gun (2011) names it too
I 85711 cv=660656 gcd=1787495 0.95 | CV 108801 / GCD 122302 "Cable & X-Force: Onslaught Rising" 2018 Marvel both name this trade
I 85703 cv=228778 gcd=- 0.9 | CV 34833 "X-Force: New Beginning" (issue 228778) is this trade's own record
I 85704 cv=228788 gcd=- 0.9 | CV 34834 "X-Force: Final Chapter" 2003 Marvel is this trade's own record
# shelf S94743
I 85779 cv=710127 gcd=- 0.9 | CV X-Force: Sins of the Past (2019) names our own "X-Force Vol. 01 - Sins of the Past"
I 85780 cv=718149 gcd=- 0.9 | CV X-Force: The Counterfeit King (2019) names our own "X-Force Vol. 02 - The Counterfeit King"
# shelf S94816
I 85773 cv=420213 gcd=- 0.9 | CV Uncanny X-Force: Let It Bleed (2013) names our own "Uncanny X-Force Vol. 01 - Let It Bleed"
I 85774 cv=433963 gcd=- 0.9 | CV Uncanny X-Force: Torn and Frayed (2013) names our own "Uncanny X-Force Vol. 02 - Torn And Frayed"
I 85775 cv=449290 gcd=- 0.9 | CV Uncanny X-Force: The Great Corruption (2014) names our own "Uncanny X-Force Vol. 03 - The Great Corruption"
# shelf S101509
I 85785 cv=970777 gcd=2481453 0.95 | CV 128897 "X-Force by Benjamin Percy" Vol.5 / GCD 166962 #5
I 85786 cv=993316 gcd=2538819 0.95 | CV 128897 "X-Force by Benjamin Percy" Vol.6 and GCD 166962 issue #6 both name this trade
I 85787 cv=1024381 gcd=2571680 0.95 | CV 128897 "X-Force by Benjamin Percy" Vol.7 and GCD 166962 issue #7 both name this trade
# shelf S102436
I 85500 cv=696965 gcd=- 0.9 | CV X-23: Family Album (2019) names our own "X-23 Vol. 01 - Family Album"
I 85501 cv=714680 gcd=- 0.9 | CV X-23: X-Assassin (2019) names our own "X-23 Vol. 02 - X-Assassin"

# --- repair pass: I lines for every collected edition (coordinator directive) ---
# shelf S6296
I 86404 cv=739023 gcd=- 0.9 | CV Excalibur Epic Collection: Curiouser and Curiouser (2020) names our own "Excalibur Epic Collection Vol. 04 - Curiouser And Curiouser"
# shelf S6297
I 86405 cv=1080324 gcd=- 0.9 | CV Excalibur Epic Collection: Days of Futures Yet to Come  (2024) names our own "Excalibur Epic Collection Vol. 05 - Days of Futures Yet to Come"
# shelf S6298
I 86403 cv=700666 gcd=- 0.9 | CV Excalibur Epic Collection: Girls' School From Heck (2019) names our own "Excalibur Epic Collection Vol. 03 - Girls' School From Heck"
# shelf S6299
I 86406 cv=912772 gcd=- 0.9 | CV Excalibur Epic Collection: The Battle For Britain (2022) names our own "Excalibur Epic Collection Vol. 08 - The Battle For Britain"
# shelf S6301
I 86407 cv=1032856 gcd=- 0.9 | CV Excalibur Epic Collection: You Are Cordially Invited (2023) names our own "Excalibur Epic Collection Vol. 09 - You Are Cordially Invited"
# shelf S12830
I 86414 cv=997425 gcd=- 0.9 | CV New Mutants Epic Collection: Asgardian Wars  (2023) names our own "New Mutants Epic Collection Vol. 03 - Asgardian Wars"
# shelf S12831
I 86417 cv=807666 gcd=- 0.9 | CV New Mutants Epic Collection: Cable (2020) names our own "New Mutants Epic Collection Vol. 07 - Cable"
# shelf S12832
I 86415 cv=878329 gcd=- 0.9 | CV New Mutants Epic Collection: Sudden Death (2021) names our own "New Mutants Epic Collection Vol. 05 - Sudden Death"
# shelf S12833
I 86413 cv=713512 gcd=- 0.9 | CV New Mutants Epic Collection: The Demon Bear Saga (2019) names our own "New Mutants Epic Collection Vol. 02 - The Demon Bear Saga"
# shelf S12834
I 86418 cv=944334 gcd=- 0.9 | CV New Mutants Epic Collection: The End of the Beginning (2022) names our own "New Mutants Epic Collection Vol. 08 - The End Of The Beginning"
# shelf S22163
I 86426 cv=1096665 gcd=- 0.9 | CV X-Factor Epic Collection: Wreaking Havok (2025) names our own "X-Factor Epic Collection Vol. 10 - Wreaking Havok 001"
# shelf S22164
I 86425 cv=944336 gcd=- 0.9 | CV X-Factor Epic Collection: Afterlives (2022) names our own "X-Factor Epic Collection Vol. 09 - Afterlives"
# shelf S22166
I 86421 cv=845179 gcd=- 0.9 | CV X-Factor Epic Collection: Angel of Death (2021) names our own "X-Factor Epic Collection Vol. 03 - Angel of Death"
# shelf S22167
I 86422 cv=1009041 gcd=- 0.9 | CV X-Factor Epic Collection: Judgement War (2023) names our own "X-Factor Epic Collection Vol. 04 - Judgement War"
# shelf S22168
I 86424 cv=727279 gcd=- 0.9 | CV X-Factor Epic Collection: X-aminations (2019) names our own "X-Factor Epic Collection Vol. 08 - X-aminations"
# shelf S22186
I 86431 cv=994542 gcd=- 0.9 | CV X-Force Epic Collection: Armageddon Now (2023) names our own "X-Force Epic Collection Vol. 08 - Armageddon Now"
# shelf S22187
I 86429 cv=1034559 gcd=- 0.9 | CV X-Force Epic Collection: Assault on Graymalkin  (2023) names our own "X-Force Epic Collection Vol. 03 - Assault on Graymalkin"
# shelf S22188
I 86428 cv=730359 gcd=- 0.9 | CV X-Force Epic Collection: X-Cutioner's Song (2019) names our own "X-Force Epic Collection Vol. 02 - X-Cutioner's Song"
# shelf S22189
I 86430 cv=918640 gcd=- 0.9 | CV X-Force Epic Collection: Zero Tolerance (2022) names our own "X-Force Epic Collection Vol. 07 - Zero Tolerance"
# shelf S22216
I 97189 cv=985228 gcd=2440305 0.95 | CV Ultimate X-Men Omnibus (2022) names our own "Ultimate X-Men Omnibus Book 01"; GCD Ultimate X-Men Omnibus (2022) names it too
I 92979 cv=913702 gcd=- 0.9 | CV X-Men By Jonathan Hickman Omnibus (2022) names our own "X-Men by Jonathan Hickman Omnibus"
# shelf S22340
I 86162 cv=663593 gcd=- 0.9 | CV X-Men: Blue: Reunion (2018) names our own "X-Men Blue Vol. 00 - Reunion"
I 86163 cv=616205 gcd=- 0.9 | CV X-Men: Blue: Strangest (2017) names our own "X-Men Blue Vol. 01 - Strangest"
I 86164 cv=641421 gcd=- 0.9 | CV X-Men: Blue: Toil and Trouble (2017) names our own "X-Men Blue Vol. 02 - Toil and Trouble"
I 86165 cv=663594 gcd=- 0.9 | CV X-Men: Blue: Cross Time Capers (2018) names our own "X-Men Blue Vol. 03 - Cross Time Capers"
I 86166 cv=677988 gcd=- 0.9 | CV X-Men Blue: Cry Havok (2018) names our own "X-Men Blue Vol. 04 - Cry Havok"
I 86167 cv=690826 gcd=- 0.9 | CV X-Men: Blue: Surviving The Experience (2018) names our own "X-Men Blue Vol. 05 - Surviving The Experience"
# shelf S22343
I 86025 cv=383491 gcd=2682262 0.95 | CV X-Men: Blank Generation (2013) names our own "X-Men Vol. 07 - Blank Generation"; GCD X-Men: Blank Generation (2013) names it too
I 86026 cv=396611 gcd=- 0.9 | CV X-Men: Reckless Abandonment (2013) names our own "X-Men Vol. 08 - Reckless Abandonment"
# shelf S22349
I 86444 cv=643050 gcd=- 0.9 | CV X-Men Epic Collection: Mutant Genesis (2017) names our own "X-Men Epic Collection Vol. 19 - Mutant Genesis"
I 86448 cv=1053041 gcd=- 0.9 | CV X-Men Epic Collection: Fatal Attractions (2024) names our own "X-Men Epic Collection Vol. 23 - Fatal Attractions"
# shelf S22350
I 86441 cv=1086748 gcd=- 0.9 | CV X-Men Epic Collection: God Loves, Man Kills (2024) names our own "X-Men Epic Collection Vol. 10 - God Loves, Man Kills 001"
# shelf S22351
I 86445 cv=913701 gcd=- 0.9 | CV X-Men Epic Collection: Bishop's Crossing (2022) names our own "X-Men Epic Collection Vol. 20 - Bishop's Crossing"
# shelf S22353
I 86443 cv=716381 gcd=- 0.9 | CV X-Men Epic Collection: Dissolution & Rebirth (2019) names our own "X-Men Epic Collection Vol. 17 - Dissolution & Rebirth"
# shelf S22354
I 86439 cv=895781 gcd=- 0.9 | CV X-Men Epic Collection: I, Magneto (2021) names our own "X-Men Epic Collection Vol. 08 - I, Magneto"
# shelf S22355
I 86435 cv=713945 gcd=- 0.9 | CV X-Men Epic Collection: It's Always Darkest Before the Dawn (2019) names our own "X-Men Epic Collection Vol. 04 - It’s Always Darkest Before The Dawn"
# shelf S22356
I 86447 cv=981295 gcd=- 0.9 | CV X-Men Epic Collection: Legacies (2023) names our own "X-Men Epic Collection Vol. 22 - Legacies"
# shelf S22357
I 86437 cv=796464 gcd=- 0.9 | CV X-Men Epic Collection: Proteus (2020) names our own "X-Men Epic Collection Vol. 06 - Proteus"
# shelf S22358
I 86419 cv=1038539 gcd=- 0.9 | same book as item 86440 (label-ambiguous duplicate, misfiled folder) — CV 155752 issue 1038539
I 86440 cv=1038539 gcd=- 0.9 | CV X-Men Epic Collection: The Brood Saga (2023) names our own "X-Men Epic Collection Vol. 09 - The Brood Saga"
# shelf S22359
I 86438 cv=832898 gcd=- 0.9 | CV X-Men Epic Collection: The Fate of the Phoenix (2021) names our own "X-Men Epic Collection Vol. 07 - The Fate of the Phoenix"
# shelf S22361
I 86434 cv=692092 gcd=- 0.9 | CV X-Men Epic Collection: The Sentinels Live (2018) names our own "X-Men Epic Collection Vol. 03 - The Sentinels Live"
# shelf S22362
I 86446 cv=961463 gcd=- 0.9 | CV X-Men Epic Collection: The X-Cutioner's Song (2022) names our own "X-Men Epic Collection Vol. 21 - The X-Cutioner's Song"
# shelf S22369
I 86211 cv=664318 gcd=- 0.9 | CV X-Men: Gold: Homecoming (2018) names our own "X-Men Gold Vol. 00 - Homecoming"
I 86212 cv=616207 gcd=- 0.9 | CV X-Men: Gold: Back To The Basics (2017) names our own "X-Men Gold Vol. 01 - Back To The Basics"
I 86213 cv=638616 gcd=- 0.9 | CV X-Men: Gold: Evil Empires (2017) names our own "X-Men Gold Vol. 02 - Evil Empires"
I 86214 cv=655518 gcd=- 0.9 | CV X-Men: Gold: Mojo Worldwide (2018) names our own "X-Men Gold Vol. 03 - Mojo Worldwide"
I 86215 cv=664319 gcd=- 0.9 | CV X-Men: Gold: The Negative Zone War (2018) names our own "X-Men Gold Vol. 04 - The Negative Zone War"
I 86216 cv=671345 gcd=- 0.9 | CV X-Men Gold: Cruel and Unusual (2018) names our own "X-Men Gold Vol. 05 - Cruel and Unusual"
I 86217 cv=679424 gcd=- 0.9 | CV X-Men Gold: 'Til Death Do Us Part (2018) names our own "X-Men Gold Vol. 06 - 'Til Death Do Us Part"
I 86218 cv=693478 gcd=- 0.9 | CV X-Men: Gold: Godwar (2018) names our own "X-Men Gold Vol. 07 - Godwar"
# shelf S22374
I 86222 cv=246739 gcd=2813359 0.95 | CV X-Men Legacy: Salvage (2009) names our own "X-Men Legacy Vol. 04 - Salvage"; GCD X-Men: Legacy - Salvage (2009) names it too
I 86224 cv=197508 gcd=2795830 0.95 | CV X-Men: Legacy: Emplate (2010) names our own "X-Men Legacy Vol. 06 - Emplate"; GCD X-Men Legacy: Emplate (2010) names it too
I 86225 cv=236300 gcd=2766236 0.95 | CV 35716 "X-Men: Second Coming" (2010, count 1) issue 236300 and GCD 227085 both name this trade
I 86226 cv=266431 gcd=2756403 0.95 | CV X-Men Legacy: Collision (2011) names our own "X-Men Legacy Vol. 09 - Collision"; GCD X-Men: Legacy - Collision (2011) names it too
I 86227 cv=289609 gcd=2729340 0.95 | CV X-Men Legacy: Aftermath (2011) names our own "X-Men Legacy Vol. 10 - Aftermath"; GCD X-Men Legacy: Aftermath (2011) names it too
I 86228 cv=295216 gcd=2719353 0.95 | CV X-Men Legacy: Lost Legions (2011) names our own "X-Men Legacy Vol. 12 - Lost Legions"; GCD X-Men Legacy: Lost Legions (2012) names it too
I 86230 cv=345527 gcd=2685474 0.95 | CV X-Men Legacy: Back to School (2012) names our own "X-Men Legacy Vol. 14 - Back to School"; GCD X-Men: Legacy - Back to School (2012) names it too
# shelf S22456
I 86015 cv=175927 gcd=2722578 0.95 | CV X-Men: Blinded By the Light (2008) names our own "X-Men Vol. 08 - Blinded By The Light"; GCD X-Men: Blinded by the Light (2007) names it too
# shelf S22467
I 86022 cv=317034 gcd=2706276 0.95 | CV X-Men: FF (2012) names our own "X-Men Vol. 04 - FF"; GCD X-Men: FF (2012) names it too
# shelf S22495
I 86220 cv=185340 gcd=- 0.9 | CV X-Men Legacy: Divided He Stands (2008) names our own "X-Men Legacy Vol. 01 - Divided He Stands"
# shelf S22498
I 86221 cv=185339 gcd=- 0.9 | CV X-Men Legacy: Sins of the Father (2009) names our own "X-Men Legacy Vol. 02 - Sins of the Father"
# shelf S22526
I 86014 cv=119767 gcd=2655841 0.95 | CV X-Men: Supernovas (2007) names our own "X-Men Vol. 07 - Supernovas"; GCD X-Men: Supernovas (2008) names it too
# shelf S22537
I 86024 cv=475302 gcd=2687216 0.95 | CV X-Men: The Curse Is Broken (2012) names our own "X-Men Vol. 06 - The Curse Is Broken"; GCD X-Men: The Curse Is Broken (2012) names it too
# shelf S36348
I 86380 cv=734367 gcd=2270229 0.95 | CV X-Statix: The Complete Collection (2020) names our own "X-Statix - The Complete Collection Vol. 01"; GCD X-Statix: The Complete Collection (2019) names it too
# shelf S94820
I 86318 cv=1025254 gcd=2573049 0.95 | CV X-Men Red by Al Ewing (2022) names our own "X-Men Red by Al Ewing Vol. 03"; GCD X-Men: Red by Al Ewing (2022) names it too
I 86319 cv=1048072 gcd=2613082 0.95 | CV X-Men Red by Al Ewing (2022) names our own "X-Men Red by Al Ewing Vol. 04"; GCD X-Men: Red by Al Ewing (2022) names it too
