# shelf	signal	detail   (reprobe_cvmissing.py, TOOLS_TODO 32; feed: next_batch.py --s2-file)
S6234	g	S cv=-: CV 153227 "Marvel Platinum: The Definitive Eternals" 2021 Marvel UK/Panini UK 1 issues — near (gap 0), found by 'Marvel Platinum: The Definitive Eternals' (via CV candidate name "Marvel Platinum: The Definitive Eternals"); invisible before TODO 30
S6234	g	S cv=-: CV 141918 "Eternals: The Heretic " 2022 Marvel 1 issues — near (gap 1), found by 'Eternals - The Heretic' (own spelling); invisible before TODO 30
S6235	g	S cv=-+provider-missing: CV 33020 "Neil Gaiman and Charles Vess' Stardust" 1998 DC Comics 1 issues — far (gap 10), found by 'Neil Gaiman and Charles Vess' Stardust' (via CV candidate name "Neil Gaiman and Charles Vess' Stardust"); invisible before TODO 30
S6235	g	S cv=-+provider-missing: CV 5970 "Neil Gaiman and Charles Vess' Stardust" 1997 DC Comics 4 issues — far (gap 11), found by 'Neil Gaiman and Charles Vess' Stardust' (via CV candidate name "Neil Gaiman and Charles Vess' Stardust"); invisible before TODO 30
S6235	g	S cv=-+provider-missing: CV 37784 "Neil Gaiman: Guest of Honor (Ashcan)" 1993 Unknown Publisher 1 issues — far (gap 15), found by 'Neil Gaiman: Guest of Honor (Ashcan)' (via CV candidate name "Neil Gaiman: Guest of Honor (Ashcan)"); invisible before TODO 30
S6239	g	provider-missing: CV 123710 "The Eternals: Secrets From The Marvel Universe" 2019 Marvel 1 issues — far (gap 2), found by 'Eternals: Secrets from the Marvel Universe' (via GCD name "Eternals: Secrets from the Marvel Universe"); invisible before TODO 30
S6259	g	provider-missing: CV 57951 "Terry and the Pirates: Raven-Evermore?"" 1983 Pacific Comics Club 1 issues — far (gap 38), found by 'Terry and the Pirates: Raven-Evermore?"' (via CV candidate name "Terry and the Pirates: Raven-Evermore?""); invisible before TODO 30
S6260	g	provider-missing: CV 115623 "Bangalore: A Graphic Novel: Every City Is A Story" 2018 Syenagiri 1 issues — far (gap 12), found by 'Bangalore: A Graphic Novel: Every City Is A Story' (via CV candidate name "Bangalore: A Graphic Novel: Every City Is A Story"); invisible before TODO 30
S6271	g	provider-missing: CV 65963 "Fame: The Cast of Glee" 2013 TidalWave Productions 1 issues — far (gap 10), found by 'Fame: The Cast of Glee' (via CV candidate name "Fame: The Cast of Glee"); invisible before TODO 30
S6271	g	provider-missing: CV 56240 "Fame: The Cast of Glee" 2011 TidalWave Productions 2 issues — far (gap 12), found by 'Fame: The Cast of Glee' (via CV candidate name "Fame: The Cast of Glee"); invisible before TODO 30
S6272	g	S cv=-: CV 19348 "Dark Horse Book of the Dead" 2005 Dark Horse Comics 1 issues — far (gap 3), found by 'Dark Horse Book of the Dead' (via CV candidate name "Dark Horse Book of the Dead"); invisible before TODO 30
S6277	g	S cv=-+provider-missing: CV 139153 "Evil Thing: A Villains Graphic Novel" 2021 Disney-Hyperion 1 issues — far (gap 10), found by 'Evil Thing: A Villains Graphic Novel' (via CV candidate name "Evil Thing: A Villains Graphic Novel"); invisible before TODO 30
S6280	g	provider-missing: CV 124141 "Charles Darwin and the Theory of Evolution" 2020 Lerner Publishing Group 1 issues — far (gap 2), found by 'Charles Darwin and the Theory of Evolution' (via CV candidate name "Charles Darwin and the Theory of Evolution"); invisible before TODO 30
S6289	g	S cv=-+provider-missing: CV 38072 "Excalibur: Forging the Sword" 2004 Marvel 1 issues — far (gap 16), found by 'Excalibur: Forging the Sword' (via CV candidate name "Excalibur: Forging the Sword"); invisible before TODO 30
S6289	g	S cv=-+provider-missing: CV 99861 "Excalibur Epic Collection: The Sword Is Drawn" 2017 Marvel 1 issues — far (gap 29), found by 'Excalibur Epic Collection: The Sword Is Drawn' (via CV candidate name "Excalibur Epic Collection: The Sword Is Drawn"); invisible before TODO 30
S6310	g	provider-missing: CV 5829 "A Decade of Dark Horse" 1996 Dark Horse Comics 4 issues — far (gap 16), found by 'A Decade of Dark Horse' (via CV candidate name "A Decade of Dark Horse"); invisible before TODO 30
S6323	g	provider-missing: CV 34509 "Sales To Astonish: The Comic Book, Summer 1992" 1992 Marvel 1 issues — near (gap 0), found by 'Sales To Astonish: The Comic Book, Summer 1992' (via CV candidate name "Sales To Astonish: The Comic Book, Summer 1992"); invisible before TODO 30
S6328	g	provider-missing: CV 147041 "Calvin and Hobbes" 1988 Sphere 1 issues — far (gap 27), found by 'Calvin and Hobbes' (via CV candidate name "Calvin and Hobbes"); invisible before TODO 30
S6328	g	provider-missing: CV 21805 "Calvin and Hobbes" 1987 Andrews McMeel Publishing 1 issues — far (gap 28), found by 'Calvin and Hobbes' (via CV candidate name "Calvin and Hobbes"); invisible before TODO 30
S6330	g	provider-missing: CV 82725 "Exquisite Corpse Bakes a Pie" 1994 Starhead Comix 1 issues — far (gap 21), found by 'Exquisite Corpse Bakes a Pie' (via CV candidate name "Exquisite Corpse Bakes a Pie"); invisible before TODO 30
S6348	g	S cv=-+provider-missing: CV 79983 "Nickelodeon Avatar: The Last Airbender - The Rift - Library Edition" 2015 Dark Horse Comics 1 issues — far (gap 4), found by 'Nickelodeon Avatar: The Last Airbender - The Rift - Library Edition' (via CV candidate name "Nickelodeon Avatar: The Last Airbender - The Rift - Library Edition"); invisible before TODO 30
S6348	g	S cv=-+provider-missing: CV 121713 "Nickelodeon Avatar: The Last Airbender - Team Avatar Tales" 2019 Dark Horse Comics 1 issues — far (gap 8), found by 'Nickelodeon Avatar: The Last Airbender - Team Avatar Tales' (via CV candidate name "Nickelodeon Avatar: The Last Airbender - Team Avatar Tales"); invisible before TODO 30
S6348	g	S cv=-+provider-missing: CV 137937 "Nickelodeon Avatar: The Last Airbender -- Suki, Alone" 2021 Dark Horse Comics 1 issues — far (gap 10), found by 'Nickelodeon Avatar: The Last Airbender -- Suki, Alone' (via CV candidate name "Nickelodeon Avatar: The Last Airbender -- Suki, Alone"); invisible before TODO 30
S6349	g	S cv=-+provider-missing: CV 116035 "Nickelodeon Avatar: The Last Airbender - Imbalance" 2018 Dark Horse Comics 3 issues — far (gap 5), found by 'Nickelodeon Avatar: The Last Airbender - Imbalance' (via CV candidate name "Nickelodeon Avatar: The Last Airbender - Imbalance"); invisible before TODO 30
S6349	g	S cv=-+provider-missing: CV 19410 "Avatar: The Last Airbender" 2006 Tokyopop 8 issues — far (gap 7), found by 'Avatar: The Last Airbender' (via CV candidate name "Avatar: The Last Airbender"); invisible before TODO 30
S6350	g	provider-missing: CV 19410 "Avatar: The Last Airbender" 2006 Tokyopop 8 issues — far (gap 9), found by 'Avatar: The Last Airbender' (via CV candidate name "Avatar: The Last Airbender"); invisible before TODO 30
S6387	g	S cv=-+provider-missing: CV 149117 "Fae and the Moon" 2023 Yellow Jacket 1 issues — far (gap 5), found by 'Fae and the Moon' (via CV candidate name "Fae and the Moon"); invisible before TODO 30
S6443	g	provider-missing: CV 80612 "Mouse Guard: Legends of the Guard" 2015 Boom! Studios 4 issues — far (gap 6), found by 'Mouse Guard: Legends of the Guard' (via CV candidate name "Mouse Guard: Legends of the Guard"); invisible before TODO 30
S6443	g	provider-missing: CV 63091 "Mouse Guard: Legends of the Guard" 2013 Archaia 4 issues — far (gap 8), found by 'Mouse Guard: Legends of the Guard' (via CV candidate name "Mouse Guard: Legends of the Guard"); invisible before TODO 30
S6443	g	provider-missing: CV 33562 "Mouse Guard: Legends of the Guard" 2010 Archaia 4 issues — far (gap 11), found by 'Mouse Guard: Legends of the Guard' (via CV candidate name "Mouse Guard: Legends of the Guard"); invisible before TODO 30
S6443	g	provider-missing: CV 52715 "Mouse Guard: Legends of the Guard" 2010 Archaia 3 issues — far (gap 11), found by 'Mouse Guard: Legends of the Guard' (via CV candidate name "Mouse Guard: Legends of the Guard"); invisible before TODO 30
S6495	g	S cv=-: CV 111826 "Fantastic Four Epic Collection: The New Fantastic Four" 2018 Marvel 1 issues — far (gap 4), found by 'Fantastic Four Epic Collection: The New Fantastic Four' (via CV name "Fantastic Four Epic Collection: The New Fantastic Four"); invisible before TODO 30
S6495	g	S cv=-: CV 165130 "Ultimate Fantastic Four Epic Collection: The Fantastic" 2025 Marvel 1 issues — far (gap 11), found by 'Ultimate Fantastic Four Epic Collection: The Fantastic' (via CV candidate name "Ultimate Fantastic Four Epic Collection: The Fantastic"); invisible before TODO 30
S6531	g	provider-missing: CV 76675 "Fantastic Four: The Fall of the Fantastic Four" 2014 Marvel 1 issues — far (gap 13), found by 'Fantastic Four: The Fall of the Fantastic Four' (via CV candidate name "Fantastic Four: The Fall of the Fantastic Four"); invisible before TODO 30
S6533	g	provider-missing: CV 42995 "Fantastic Four: The World's Greatest Comics Magazine" 2011 Marvel 1 issues — far (gap 10), found by 'Fantastic Four: The World's Greatest Comics Magazine' (own spelling); invisible before TODO 30
S6533	g	provider-missing: CV 76910 "Fantastic Four Epic Collection: The World's Greatest Comic Magazine" 2014 Marvel 1 issues — far (gap 13), found by 'Fantastic Four Epic Collection: The World's Greatest Comic Magazine' (via CV candidate name "Fantastic Four Epic Collection: The World's Greatest Comic Magazine"); invisible before TODO 30
S6548	g	S cv=-+provider-missing: CV 80763 "Museum of Mistakes: The Fart Party Collection" 2015 Atomic Book Company 1 issues — far (gap 8), found by 'Museum of Mistakes: The Fart Party Collection' (via CV candidate name "Museum of Mistakes: The Fart Party Collection"); invisible before TODO 30
S6566	g	provider-missing: CV 114904 "Phantom of Fear City Omnibus" 2018 COMICMIX 1 issues — far (gap 6), found by 'Phantom of Fear City Omnibus' (via CV candidate name "Phantom of Fear City Omnibus"); invisible before TODO 30
S6603	g	provider-missing: CV 64403 "Felix the Cat" 1931 McLoughlin Bros. 1 issues — far (gap 7), found by 'Felix the Cat' (own spelling); invisible before TODO 30
S6603	g	provider-missing: CV 10720 "Felix the Cat" 1948 Dell 19 issues — far (gap 10), found by 'Felix the Cat' (own spelling); invisible before TODO 30
S6603	g	provider-missing: CV 10721 "Felix the Cat" 1951 Toby 42 issues — far (gap 13), found by 'Felix the Cat' (own spelling); invisible before TODO 30
S6603	g	provider-missing: CV 111895 "Felix the Cat " 1953 Paladin Press 7 issues — far (gap 15), found by 'Felix the Cat' (own spelling); invisible before TODO 30
S6603	g	provider-missing: CV 59161 "Felix the Cat" 1955 Elmsdale 1 issues — far (gap 17), found by 'Felix the Cat' (own spelling); invisible before TODO 30
S6603	g	provider-missing: CV 112260 "Felix the Cat  " 1955 Young's Merchandising 2 issues — far (gap 17), found by 'Felix the Cat' (own spelling); invisible before TODO 30
S6632	g	provider-missing: CV 57534 "HelmetGirls: The Art of Camilla d’Errico" 2013 Dark Horse Comics 1 issues — far (gap 4), found by 'HelmetGirls: The Art of Camilla d’Errico' (via CV candidate name "HelmetGirls: The Art of Camilla d’Errico"); invisible before TODO 30
S6632	g	provider-missing: CV 40154 "Femina & Fauna: The Art Of Camilla D'Errico" 2011 Dark Horse Comics 1 issues — far (gap 6), found by 'Femina & Fauna - The Art of Camilla d'Errico' (via the parsed key without the filing suffix "Femina & Fauna - The Art of Camilla d'Errico"); invisible before TODO 30
S6640	g	S cv=-: CV 93944 "Sonic Boom: The Big Boom" 2016 Archie Comics 1 issues — far (gap 6), found by 'Sonic Boom: The Big Boom' (via CV candidate name "Sonic Boom: The Big Boom"); invisible before TODO 30
S6683	g	provider-missing: CV 65196 "The Sky: The Art of Final Fantasy" 2013 Dark Horse Comics 1 issues — far (gap 5), found by 'The Sky: The Art of Final Fantasy' (via CV candidate name "The Sky: The Art of Final Fantasy"); invisible before TODO 30
S6693	g	provider-missing: CV 43400 "Disney Movies The Graphic Novels" 2010 Disney 25 issues — far (gap 13), found by 'Disney Movies The Graphic Novels' (via CV candidate name "Disney Movies The Graphic Novels"); invisible before TODO 30
S6709	g	provider-missing: CV 156365 "Atana and the Firebird" 2023 HarperCollins 1 issues — near (gap 0), found by 'Atana and the Firebird' (via CV candidate name "Atana and the Firebird"); invisible before TODO 30
S6710	g	S cv=-+provider-missing: CV 119642 "Firebrand: The Initiation of Natali Presano" 2019 Legendary Comics 1 issues — near (gap 0), found by 'Firebrand: The Initiation of Natali Presano' (via CV candidate name "Firebrand: The Initiation of Natali Presano"); invisible before TODO 30
S6712	g	S cv=-+provider-missing: CV 46273 "The Best of Drawn & Quarterly" 1993 Drawn & Quarterly 1 issues — far (gap 31), found by 'The Best of Drawn & Quarterly' (via CV candidate name "The Best of Drawn & Quarterly"); invisible before TODO 30
S6744	g	provider-missing: CV 48449 "Witch Doctor: Under the Knife" 2011 Image 1 issues — far (gap 9), found by 'Witch Doctor: Under the Knife' (via CV candidate name "Witch Doctor: Under the Knife"); invisible before TODO 30
S6752	g	S cv=-: CV 4319 "Fist of the North Star" 1989 Viz 8 issues — far (gap 6), found by 'Fist Of The North Star' (own spelling); invisible before TODO 30
S6752	g	S cv=-: CV 136896 "Fist of the North Star" 2021 Viz 18 issues — far (gap 38), found by 'Fist Of The North Star' (own spelling); invisible before TODO 30
S6850	g	S cv=-: CV 157333 "Follow Me Into the Darkness" 2022 Behemoth Comics 1 issues — near (gap 0), found by 'Follow Me Into the Darkness' (own spelling); invisible before TODO 30
S6850	g	S cv=-: CV 161058 "Blood Hunters: Once More Into the Darkness" 2024 Marvel 1 issues — far (gap 2), found by 'Blood Hunters: Once More Into the Darkness' (via CV candidate name "Blood Hunters: Once More Into the Darkness"); invisible before TODO 30
S6877	g	provider-missing: CV 57366 "The Art of Boom! Studios" 2010 Boom! Studios 1 issues — far (gap 8), found by 'The Art of Boom! Studios' (via CV candidate name "The Art of Boom! Studios"); invisible before TODO 30
S6883	g	provider-missing: CV 75941 "Female Force: Women of Europe" 2014 TidalWave Productions 1 issues — far (gap 6), found by 'Female Force: Women of Europe' (via CV candidate name "Female Force: Women of Europe"); invisible before TODO 30
S6887	g	S cv=-+provider-missing: CV 118246 "Fortune and Glory" 2019 DC Comics 1 issues — far (gap 5), found by 'Fortune and Glory' (via CV candidate name "Fortune and Glory"); invisible before TODO 30
S6887	g	S cv=-+provider-missing: CV 55722 "Fortune and Glory" 2000 Oni Press 1 issues — far (gap 24), found by 'Fortune and Glory' (via CV candidate name "Fortune and Glory"); invisible before TODO 30
S6887	g	S cv=-+provider-missing: CV 18068 "Fortune And Glory" 1999 Oni Press 3 issues — far (gap 25), found by 'Fortune and Glory' (via CV candidate name "Fortune and Glory"); invisible before TODO 30
S6893	g	provider-missing: CV 70604 "Snow and Kisses" 2013 Digital Manga Publishing 1 issues — far (gap 7), found by 'Snow and Kisses' (via CV candidate name "Snow and Kisses"); invisible before TODO 30
S6902	g	provider-missing: CV 114677 "Mother Is Coming: A FoxTrot Collection" 2018 Andrews McMeel Publishing 1 issues — far (gap 30), found by 'Mother Is Coming: A FoxTrot Collection' (via CV candidate name "Mother Is Coming: A FoxTrot Collection"); invisible before TODO 30
S6934	g	provider-missing: CV 1197 "Frankie and Lana Comics" 1948 Marvel 4 issues — far (gap 72), found by 'Frankie and Lana Comics' (via CV candidate name "Frankie and Lana Comics"); invisible before TODO 30
S6942	g	provider-missing: CV 32162 "Northlanders: Blood in the Snow" 2010 DC Comics 1 issues — far (gap 10), found by 'Northlanders: Blood in the Snow' (via CV candidate name "Northlanders: Blood in the Snow"); invisible before TODO 30
S6972	g	provider-missing: CV 102788 "Shit and Piss" 2017 Retrofit Comics 1 issues — far (gap 2), found by 'Shit and Piss' (via CV candidate name "Shit and Piss"); invisible before TODO 30
S7003	g	provider-missing: CV 39273 "Fringe: Tales from the Fringe" 2011 DC Comics 1 issues — near (gap 0), found by 'Fringe: Tales from the Fringe' (via CV candidate name "Fringe: Tales from the Fringe"); invisible before TODO 30
S7003	g	provider-missing: CV 33935 "Fringe: Tales from the Fringe" 2010 DC Comics 6 issues — near (gap 1), found by 'Fringe: Tales from the Fringe' (via CV candidate name "Fringe: Tales from the Fringe"); invisible before TODO 30
S7003	g	provider-missing: CV 46515 "Beyond the Fringe" 2012 DC Comics 1 issues — near (gap 1), found by 'Beyond The Fringe' (own spelling); invisible before TODO 30
S7003	g	provider-missing: CV 70147 "Fringe: Beyond the Fringe" 2013 DC Comics 1 issues — far (gap 2), found by 'Fringe - Beyond the Fringe' (own spelling); invisible before TODO 30
S7006	g	provider-missing: CV 46030 "Punk Rock and Trailer Parks" 2008 SLG Publishing 1 issues — far (gap 14), found by 'Punk Rock and Trailer Parks' (via CV candidate name "Punk Rock and Trailer Parks"); invisible before TODO 30
S7008	g	provider-missing: CV 125975 "From Beyond The Unknown Giant" 2020 DC Comics 1 issues — near (gap 0), found by 'From Beyond The Unknown Giant' (via CV candidate name "From Beyond The Unknown Giant"); invisible before TODO 30
S7008	g	provider-missing: CV 2434 "From Beyond the Unknown" 1969 DC Comics 25 issues — far (gap 51), found by 'From Beyond the Unknown' (own spelling); invisible before TODO 30
S7040	g	S cv=-+provider-missing: CV 135725 "Penny: A Graphic Memoir" 2021 Chronicle Books 1 issues — far (gap 3), found by 'Penny: A Graphic Memoir' (via CV candidate name "Penny: A Graphic Memoir"); invisible before TODO 30
S7040	g	S cv=-+provider-missing: CV 113459 "Rx: A Graphic Memoir" 2018 Warner Books 1 issues — far (gap 6), found by 'Rx: A Graphic Memoir' (via CV candidate name "Rx: A Graphic Memoir"); invisible before TODO 30
S7040	g	S cv=-+provider-missing: CV 76656 "Tomboy: A Graphic Memoir" 2014 Houghton Mifflin Harcourt 1 issues — far (gap 10), found by 'Tomboy: A Graphic Memoir' (via CV candidate name "Tomboy: A Graphic Memoir"); invisible before TODO 30
S7050	g	S cv=-+provider-missing: CV 139410 "Are You Afraid of Darkseid?" 2021 DC Comics 1 issues — far (gap 2), found by 'Are You Afraid of Darkseid?' (via CV candidate name "Are You Afraid of Darkseid?"); invisible before TODO 30
S7054	g	S cv=-+provider-missing: CV 85303 "Peanuts: A Tribute to Charles M. Schulz" 2015 Boom! Studios 1 issues — far (gap 8), found by 'Peanuts: A Tribute to Charles M. Schulz' (via CV candidate name "Peanuts: A Tribute to Charles M. Schulz"); invisible before TODO 30
S7054	g	S cv=-+provider-missing: CV 57317 "Peanuts: The Art of Charles Schulz" 2001 Random House 1 issues — far (gap 22), found by 'Peanuts: The Art of Charles Schulz' (via CV candidate name "Peanuts: The Art of Charles Schulz"); invisible before TODO 30
S7088	g	provider-missing: CV 125760 "Legend of Heaven's Door" 2020 MediBang! 1 issues — far (gap 19), found by 'Legend of Heaven's Door' (via CV candidate name "Legend of Heaven's Door"); invisible before TODO 30
S7123	g	S cv=-: CV 143601 "G.I. Joe: A Real American Hero" 1994 Hasbro 2 issues — near (gap 0), found by 'G.I. Joe: A Real American Hero' (via CV name "G.I. Joe: A Real American Hero"); invisible before TODO 30
S7123	g	S cv=-: CV 3138 "G.I. Joe: A Real American Hero" 1982 Marvel 155 issues — far (gap 12), found by 'G.I. Joe: A Real American Hero' (via CV name "G.I. Joe: A Real American Hero"); invisible before TODO 30
S7123	g	S cv=-: CV 34667 "G.I. Joe:  A Real American Hero" 2008 Hasbro 20 issues — far (gap 14), found by 'G.I. Joe: A Real American Hero' (via CV name "G.I. Joe: A Real American Hero"); invisible before TODO 30
S7123	g	S cv=-: CV 32910 "G.I. Joe: A Real American Hero" 2010 IDW Publishing 146 issues — far (gap 16), found by 'G.I. Joe: A Real American Hero' (via CV name "G.I. Joe: A Real American Hero"); invisible before TODO 30
S7123	g	S cv=-: CV 53587 "G.I. Joe: A Real American Hero" 2011 IDW Publishing 25 issues — far (gap 17), found by 'G.I. Joe: A Real American Hero' (via CV name "G.I. Joe: A Real American Hero"); invisible before TODO 30
S7123	g	S cv=-: CV 154808 "G.I. Joe: A Real American Hero" 2023 Image 24 issues — far (gap 29), found by 'G.I. Joe: A Real American Hero' (via CV name "G.I. Joe: A Real American Hero"); invisible before TODO 30
S7142	g	S cv=-+provider-missing: CV 46273 "The Best of Drawn & Quarterly" 1993 Drawn & Quarterly 1 issues — far (gap 31), found by 'The Best of Drawn & Quarterly' (via CV candidate name "The Best of Drawn & Quarterly"); invisible before TODO 30
S7191	g	provider-missing: CV 57366 "The Art of Boom! Studios" 2010 Boom! Studios 1 issues — far (gap 28), found by 'The Art of Boom! Studios' (via CV candidate name "The Art of Boom! Studios"); invisible before TODO 30
S7268	g	provider-missing: CV 57366 "The Art of Boom! Studios" 2010 Boom! Studios 1 issues — far (gap 10), found by 'The Art of Boom! Studios' (via CV candidate name "The Art of Boom! Studios"); invisible before TODO 30
S7291	g	provider-missing: CV 128561 "The Great Gatsby: The Graphic Novel" 2020 Simon and Schuster 1 issues — far (gap 3), found by 'The Great Gatsby: The Graphic Novel' (via CV candidate name "The Great Gatsby: The Graphic Novel"); invisible before TODO 30
S7329	g	provider-missing: CV 58046 "Gene Simmons House of Horrors" 2013 Arcana Studio 1 issues — near (gap 0), found by 'Gene Simmons House of Horrors' (own spelling); invisible before TODO 30
S7329	g	provider-missing: CV 62767 "Gene Simmons House of Horrors" 2007 IDW Publishing 1 issues — far (gap 6), found by 'Gene Simmons House of Horrors' (own spelling); invisible before TODO 30
S7330	g	provider-missing: CV 68810 "Gene Simmons Comics Presents Zipper vs. Dominatrix: The Slave Trade" 2013 Arcana Studio 1 issues — far (gap 10), found by 'Gene Simmons Comics Presents Zipper vs. Dominatrix: The Slave Trade' (via CV candidate name "Gene Simmons Comics Presents Zipper vs. Dominatrix: The Slave Trade"); invisible before TODO 30
S7360	g	provider-missing: CV 133531 "Lucifer: The Devil at Heart" 2021 DC Comics 1 issues — far (gap 2), found by 'Lucifer: The Devil at Heart' (via CV candidate name "Lucifer: The Devil at Heart"); invisible before TODO 30
S7429	g	S cv=-+provider-missing: CV 114869 "The Backstagers and the Ghost Light" 2018 Boom! Studios 1 issues — far (gap 3), found by 'The Backstagers and the Ghost Light' (via CV candidate name "The Backstagers and the Ghost Light"); invisible before TODO 30
S7448	g	S cv=-: CV 108582 "Deadpool By Daniel Way: The Complete Collection" 2018 Marvel 2 issues — near (gap 1), found by 'Deadpool By Daniel Way: The Complete Collection' (via CV candidate name "Deadpool By Daniel Way: The Complete Collection"); invisible before TODO 30
S7448	g	S cv=-: CV 65431 "Deadpool By Daniel Way: The Complete Collection" 2013 Marvel 4 issues — far (gap 4), found by 'Deadpool By Daniel Way: The Complete Collection' (via CV candidate name "Deadpool By Daniel Way: The Complete Collection"); invisible before TODO 30
S7583	g	S cv=-+provider-missing: CV 46273 "The Best of Drawn & Quarterly" 1993 Drawn & Quarterly 1 issues — far (gap 30), found by 'The Best of Drawn & Quarterly' (via CV candidate name "The Best of Drawn & Quarterly"); invisible before TODO 30
S7586	g	provider-missing: CV 149594 "Girl Taking Over: A Lois Lane Story" 2023 DC Comics 1 issues — near (gap 0), found by 'Girl Taking Over: A Lois Lane Story' (via CV candidate name "Girl Taking Over: A Lois Lane Story"); invisible before TODO 30
S7586	g	provider-missing: CV 150155 "Dawn of DC We Are Legends Special Edition" 2023 DC Comics 1 issues — near (gap 0), found by 'Dawn of DC We Are Legends Special Edition' (via GCD name "Dawn of DC We Are Legends Special Edition"); invisible before TODO 30
S7595	g	provider-missing: CV 75941 "Female Force: Women of Europe" 2014 TidalWave Productions 1 issues — far (gap 3), found by 'Female Force: Women of Europe' (via CV candidate name "Female Force: Women of Europe"); invisible before TODO 30
S7609	g	S cv=-+provider-missing: CV 52423 "Halo and Sprocket: Natural Creatures" 2012 SLG Publishing 1 issues — far (gap 10), found by 'Halo and Sprocket: Natural Creatures' (via CV candidate name "Halo and Sprocket: Natural Creatures"); invisible before TODO 30
S7609	g	S cv=-+provider-missing: CV 52426 "Halo and Sprocket" 2003 SLG Publishing 1 issues — far (gap 19), found by 'Halo and Sprocket' (via CV candidate name "Halo and Sprocket"); invisible before TODO 30
S7609	g	S cv=-+provider-missing: CV 38628 "Halo and Sprocket" 2002 SLG Publishing 5 issues — far (gap 20), found by 'Halo and Sprocket' (via CV candidate name "Halo and Sprocket"); invisible before TODO 30
S7656	g	S cv=-+provider-missing: CV 159334 "Best of Godzilla" 2023 IDW Publishing 1 issues — near (gap 1), found by 'Best of Godzilla' (via CV candidate name "Best of Godzilla"); invisible before TODO 30
S7656	g	S cv=-+provider-missing: CV 74735 "Godzilla: The IDW Era" 2014 IDW Publishing 1 issues — far (gap 8), found by 'Godzilla: The IDW Era' (via CV candidate name "Godzilla: The IDW Era"); invisible before TODO 30
S7688	g	S cv=-: CV 145536 "Godzilla: Monsters & Protectors - All Hail the King!" 2022 IDW Publishing 5 issues — near (gap 1), found by 'Godzilla: Monsters & Protectors—All Hail the King!' (own spelling); invisible before TODO 30
S7688	g	S cv=-: CV 74735 "Godzilla: The IDW Era" 2014 IDW Publishing 1 issues — far (gap 9), found by 'Godzilla: The IDW Era' (via CV candidate name "Godzilla: The IDW Era"); invisible before TODO 30
S7727	g	provider-missing: CV 67523 "Gold Digger: Throne of Shadows" 2013 Antarctic Press 1 issues — far (gap 7), found by 'Gold Digger: Throne of Shadows' (own spelling); invisible before TODO 30
S7815	g	provider-missing: CV 144888 "DC's Saved by the Belle Reve" 2022 DC Comics 1 issues — near (gap 1), found by 'DC's Saved by the Belle Reve' (via GCD name "DC's Saved by the Belle Reve"); invisible before TODO 30
S7841	g	provider-missing: CV 113205 "Tomo-chan Is A Girl!" 2018 Seven Seas Entertainment 8 issues — far (gap 2), found by 'Tomo-chan Is A Girl!' (via CV candidate name "Tomo-chan Is A Girl!"); invisible before TODO 30
S7852	g	provider-missing: CV 139794 "TKO Presents: Tales of Terror" 2021 TKO Studios 1 issues — near (gap 0), found by 'TKO Presents: Tales of Terror' (via CV candidate name "TKO Presents: Tales of Terror"); invisible before TODO 30
S7858	g	provider-missing: CV 115836 "Chevrolet Fun Book and Touring Guide" 1950 General Motors 1 issues — far (gap 64), found by 'Chevrolet Fun Book and Touring Guide' (via CV candidate name "Chevrolet Fun Book and Touring Guide"); invisible before TODO 30
S7865	g	provider-missing: CV 93944 "Sonic Boom: The Big Boom" 2016 Archie Comics 1 issues — far (gap 3), found by 'Sonic Boom: The Big Boom' (via CV candidate name "Sonic Boom: The Big Boom"); invisible before TODO 30
S7992	g	S cv=-: CV 84969 "Greenberg the Vampire" 2015 Marvel 1 issues — far (gap 29), found by 'Greenberg The Vampire' (own spelling); invisible before TODO 30
S7992	g	S cv=-: CV 127866 "To the MAX" 2020 DC Comics 3 issues — far (gap 34), found by 'To the MAX' (via CV candidate name "To the MAX"); invisible before TODO 30
S8013	g	provider-missing: CV 74536 "Grimm Fairy Tales presents Godstorm: Age of Darkness" 2014 Zenescope Entertainment 1 issues — near (gap 0), found by 'Grimm Fairy Tales presents Godstorm: Age of Darkness' (via CV candidate name "Grimm Fairy Tales presents Godstorm: Age of Darkness"); invisible before TODO 30
S8013	g	provider-missing: CV 77956 "Grimm Fairy Tales presents Cinderella: Age of Darkness" 2014 Zenescope Entertainment 3 issues — near (gap 0), found by 'Grimm Fairy Tales presents Cinderella: Age of Darkness' (via CV candidate name "Grimm Fairy Tales presents Cinderella: Age of Darkness"); invisible before TODO 30
S8093	g	provider-missing: CV 85478 "Grimm Tales of Terror" 2015 Zenescope Entertainment 13 issues — near (gap 0), found by 'Grimm Tales of Terror' (own spelling); invisible before TODO 30
S8093	g	provider-missing: CV 76097 "Grimm Tales of Terror" 2014 Zenescope Entertainment 13 issues — near (gap 1), found by 'Grimm Tales of Terror' (own spelling); invisible before TODO 30
S8093	g	provider-missing: CV 98336 "Grimm Tales of Terror" 2017 Zenescope Entertainment 13 issues — far (gap 2), found by 'Grimm Tales of Terror' (own spelling); invisible before TODO 30
S8093	g	provider-missing: CV 109766 "Grimm Tales of Terror" 2018 Zenescope Entertainment 13 issues — far (gap 3), found by 'Grimm Tales of Terror' (own spelling); invisible before TODO 30
