# X-026 -- item pass over twenty-four manga/OEL shelves (Captain Harlock/Classic Collection, Carole &
# Tuesday, Cat + Gamer, Cat-Eyed Boy, Cat Shit One, the six Cells at Work! shelves, Chaika, Chainsaw
# Man, the two Chi's Sweet shelves, Ciguatera, Citrus+, Claymore, Clockwork Planet, Crying Freeman,
# Cutie and the Beast, Dai Dark, Days on Fes, Daytime Shooting Star, Dead Mount Death Play). As in
# X-025, nearly every per-file GCD pick is a reused title-only stamp (one book's id copied across the
# whole shelf, sometimes jumping to a second wrong id partway through); several per-file CV picks are
# foreign-language or otherwise wrong twins. Every I line below comes from the shelf's own header pool
# (cv issues / gcd issues, ordinal-matched to the book's volume number), not the per-file pick, except
# where noted that the per-file pick agreed.

# S3533 Captain Harlock - The Classic Collection: per-file gcd reused 1815093/125766 (v01's row) on v02.
I 44225 cv=672154 gcd=1815093 isbn=978-1-626927-70-4 0.95 | CV 111382 issue #1 (672154) and GCD 125766 issue #1 (1815093, ISBN 978-1-626927-70-4) agree by ordinal in the shelf's own header pool
I 44274 cv=979847 gcd=2513181 isbn=978-1-63858-825-2 0.95 | CV 135601 issue #5 (979847) and GCD 172208 issue #5 (2513181, ISBN 978-1-63858-825-2) agree by ordinal in the shelf's own header pool
I 44275 cv=1037098 gcd=2600002 isbn=978-1-68579-563-4 0.95 | CV 135601 issue #6 (1037098) and GCD 172208 issue #6 (2600002, ISBN 978-1-68579-563-4) agree by ordinal in the shelf's own header pool
#   #1 row (v01-03) and a wrong series (v04-06) -- header pool used throughout.

# S5021 Days on Fes: per-file gcd reused 2202181/169786 (v01's row) on all 5.
I 44380 cv=829103 gcd=2202181 isbn=9781975319618 0.95 | CV 133925 issue #1 (829103) and GCD 169786 issue #1 (2202181, ISBN 9781975319618) agree by ordinal in the shelf's own header pool
I 44381 cv=869467 gcd=2239153 isbn=9781975319632 0.95 | CV 133925 issue #2 (869467) and GCD 169786 issue #2 (2239153, ISBN 9781975319632) agree by ordinal in the shelf's own header pool
I 44382 cv=886023 gcd=2265223 isbn=9781975319656 0.95 | CV 133925 issue #3 (886023) and GCD 169786 issue #3 (2265223, ISBN 9781975319656) agree by ordinal in the shelf's own header pool
I 44383 cv=918326 gcd=2329903 isbn=9781975339777 0.95 | CV 133925 issue #4 (918326) and GCD 169786 issue #4 (2329903, ISBN 9781975339777) agree by ordinal in the shelf's own header pool
I 44384 cv=920799 gcd=2396787 isbn=9781975340018 0.95 | CV 133925 issue #5 (920799) and GCD 169786 issue #5 (2396787, ISBN 9781975340018) agree by ordinal in the shelf's own header pool

# S5022 Daytime Shooting Star: per-file gcd reused 1987454/148579 (v01's row) on all 8.
I 43164 cv=712876 gcd=1987454 isbn=978-1-9747-0667-9 0.95 | CV 119986 issue #1 (712876) and GCD 148579 issue #1 (1987454, ISBN 978-1-9747-0667-9) agree by ordinal in the shelf's own header pool
I 43165 cv=717946 gcd=2013497 isbn=978-1-9747-0668-6 0.95 | CV 119986 issue #2 (717946) and GCD 148579 issue #2 (2013497, ISBN 978-1-9747-0668-6) agree by ordinal in the shelf's own header pool
I 43166 cv=726430 gcd=2035415 isbn=978-1-9747-0669-3 0.95 | CV 119986 issue #3 (726430) and GCD 148579 issue #3 (2035415, ISBN 978-1-9747-0669-3) agree by ordinal in the shelf's own header pool
I 43167 cv=732619 gcd=2053508 isbn=978-1-9747-0670-9 0.95 | CV 119986 issue #4 (732619) and GCD 148579 issue #4 (2053508, ISBN 978-1-9747-0670-9) agree by ordinal in the shelf's own header pool
I 43168 cv=738942 gcd=2078637 isbn=978-1-9747-0671-6 0.95 | CV 119986 issue #5 (738942) and GCD 148579 issue #5 (2078637, ISBN 978-1-9747-0671-6) agree by ordinal in the shelf's own header pool
I 43169 cv=759204 gcd=2106937 isbn=978-1-9747-0672-3 0.95 | CV 119986 issue #6 (759204) and GCD 148579 issue #6 (2106937, ISBN 978-1-9747-0672-3) agree by ordinal in the shelf's own header pool
I 43170 cv=776393 gcd=2125151 isbn=978-1-9747-1507-7 0.95 | CV 119986 issue #7 (776393) and GCD 148579 issue #7 (2125151, ISBN 978-1-9747-1507-7) agree by ordinal in the shelf's own header pool
I 43171 cv=797003 gcd=2142488 isbn=978-1-9747-1508-4 0.95 | CV 119986 issue #8 (797003) and GCD 148579 issue #8 (2142488, ISBN 978-1-9747-1508-4) agree by ordinal in the shelf's own header pool

# S5048 Dead Mount Death Play: per-file cv is a foreign twin (vol 167443); per-file gcd started right (v01)
I 44401 cv=693986 gcd=1914742 isbn=9781975329259 0.95 | CV 115713 issue #1 (693986) and GCD 136836 issue #1 (1914742, ISBN 9781975329259) agree by ordinal in the shelf's own header pool
I 44402 cv=711077 gcd=1975942 isbn=9781975357610 0.95 | CV 115713 issue #2 (711077) and GCD 136836 issue #2 (1975942, ISBN 9781975357610) agree by ordinal in the shelf's own header pool
I 44403 cv=731107 gcd=2048324 isbn=9781975387426 0.95 | CV 115713 issue #3 (731107) and GCD 136836 issue #3 (2048324, ISBN 9781975387426) agree by ordinal in the shelf's own header pool
I 44404 cv=770041 gcd=2121261 isbn=9781975313739 0.95 | CV 115713 issue #4 (770041) and GCD 136836 issue #4 (2121261, ISBN 9781975313739) agree by ordinal in the shelf's own header pool
I 44405 cv=859542 gcd=2230862 isbn=9781975324445 0.95 | CV 115713 issue #5 (859542) and GCD 136836 issue #5 (2230862, ISBN 9781975324445) agree by ordinal in the shelf's own header pool
I 44406 cv=882834 gcd=2259222 isbn=9781975335854 0.95 | CV 115713 issue #6 (882834) and GCD 136836 issue #6 (2259222, ISBN 9781975335854) agree by ordinal in the shelf's own header pool
I 44407 cv=923406 gcd=2396792 isbn=9781975340643 0.95 | CV 115713 issue #7 (923406) and GCD 136836 issue #7 (2396792, ISBN 9781975340643) agree by ordinal in the shelf's own header pool
I 44408 cv=960118 gcd=2435756 isbn=9781975349585 0.95 | CV 115713 issue #8 (960118) and GCD 136836 issue #8 (2435756, ISBN 9781975349585) agree by ordinal in the shelf's own header pool
I 44409 cv=1004310 gcd=2567701 isbn=9781975371555 0.95 | CV 115713 issue #9 (1004310) and GCD 136836 issue #9 (2567701, ISBN 9781975371555) agree by ordinal in the shelf's own header pool
I 44410 cv=1025237 gcd=2574340 isbn=9781975375379 0.95 | CV 115713 issue #10 (1025237) and GCD 136836 issue #10 (2574340, ISBN 9781975375379) agree by ordinal in the shelf's own header pool
I 44411 cv=1042990 gcd=2609626 isbn=9781975389772 0.95 | CV 115713 issue #11 (1042990) and GCD 136836 issue #11 (2609626, ISBN 9781975389772) agree by ordinal in the shelf's own header pool
#   then wandered across two wrong series (235767, 177007) for v02-11 -- header pool used throughout.
