# R-048 — revisit of the split lane's P-010 (second part) plus the nine KEPT-WHOLE shelves (TODO 39a).
# Shapes: the Batman bucket (New 52 run + its TPB line, the 1940 run, two annual series, three creator collections, the
# Random House readers); Dark Horse Conan (Marvel-Edition reissue of the 2004 run, the multi-run Vol. 07-20 trade line,
# the Omnibus line); X-Treme X-Men 2001 / 2012 + Mekanix + Savage Land; six Shadowman runs; two Manhunter runs; the Iron
# Man bucket (four runs, the annual, nine Epic Collection books, one-shots); and the kept-whole collected lines (She Could
# Fly, Tech Jacket, Torchwood, Supurbia, Hawaiian Dick, Drizzt, Faith) + Marvel Holiday Special + Fritzi Ritz.
# Every split-reader id was re-probed (lookup.py --id / --issues / --gcd-issues / --who-stores / --collects).

# ================= Batman =================
S 95394 cv=42721 gcd=61067 0.95 | the New 52 Batman: #0-6, 8-33 + #23.1-23.4 (Villains Month) from the Trinity Read Order folders and "04 Batman v2 (2011)", the run's own ten trades (GCD reprints: #1-7, #8-12, #13-17, #21-24, #25-33, #0/18-20/28/34, #35-40, #41-45, #46-50, #51-52 of s61067) and the Zero Year collection = the stored CV 42721 (DC 2011, 57, cached #0-52) = GCD 61067 (2011-2016, 57); the trade line is CV 48729 / GCD 72998 on the I lines
S 11267 cv=4009 gcd=3601 1.0 | the KEPT half is "Manhunter, 1988-05 (#01) ... 1990-02 (#24)" with ComicInfo Volume 1988 / Count 24 on 24 and Web 29780/29903/30012/30136 = the stored CV 4009 (DC 1988, 24) = GCD 3601 (1988-1990, 24); split-reader note CONFIRMED: the larger 2004 run left under its own ids

# ================= Iron Man =================
S 97887 cv=2407 gcd=1867 0.95 | Iron Man (1968) #1-332 with small gaps (ComicInfo Volume 1968 on 44) + the reading-order copies P-010 brought home (#41-47, #55, #250-252, #319-325, #332 twice) = the stored CV 2407 (Marvel 1968, 336) = GCD 1867 (1968-1996, 332); duplicate rips cost nothing; the per-file CV 150441 stamp is rejected
S 97889 cv=6504 gcd=6998 0.9 | Iron Man (1998) #7, 15-49, 70-89 (ComicInfo Volume 1998 on 33) + the Quesada and Grell collections (GCD: #26-32 and #50-69 of the 1998 series) = the stored CV 6504 (Marvel 1998, 90) = GCD 6998 (1998-2004, 89); residue: "Iron Man 00.5 (1999)" is Wizard's #1/2 (GCD 78675, a separate record), so 0.9
I 81893 cv=383489 gcd=1943786 isbn=9780785167365 0.95 | "COL Iron Man by Joe Quesada (2013)" 216pp = CV 56484 issue 383489 = GCD 143477 row 1943786 236pp (collects #26-32)
I 81894 cv=856176 gcd=2230723 isbn=9781302926779 0.95 | "COL Iron Man by Mike Grell - The Complete Collection (2021)" 429pp = CV 136475 issue 856176 = GCD 173292 row 2230723 516pp
C 81894 cv=6504 gcd=6998 #50-69 0.95 | the Grell Complete Collection collects Iron Man (Marvel 1998 series, 89) #50-69 — GCD notes 2230723; the judged #26-32 is the Quesada book's range, wrong here (RANGE CONTRADICTED)
S 9583 cv=18220 gcd=30827 0.9 | Iron Man (2005) #13-14 + "Iron Man - Director of S.H.I.E.L.D." #15-20, 33-35 + six trades = the stored CV 18220 (Marvel 2004, 35), one volume for the whole retitled run; GCD splits it (12465 "Iron Man" #1-16, 30827 "Director of S.H.I.E.L.D." #29-35) — the prior S line's GCD 30827 is kept; one provider splits what the other keeps whole (L-242), so 0.9
I 81904 cv=190603 gcd=1084217 0.95 | "COL Iron Man Vol. 01 - Extremis (2007)" 161pp = CV 30846 issue 190603 = GCD 72232 row 1084217 (collects Iron Man 2005 #1-6)
I 81905 cv=203190 gcd=1042279 0.95 | "COL Iron Man Vol. 02 - Execute Program (2007)" 146pp = CV 32334 issue 203190 = GCD 70703 row 1042279
I 81907 cv=246310 gcd=1042280 0.95 | "COL Iron Man Vol. 04 - Director of S.H.I.E.L.D. (2007)" 133pp = CV 36926 issue 246310 (Volume 4) = GCD 70705 row 1042280 144pp (collects #15-18 + #129 + Strange Tales #135)
I 81908 cv=181925 gcd=1042278 0.9 | "COL Iron Man Vol. 05 - Director of S.H.I.E.L.D. - Haunted (2008)" 247pp = CV 29503 "Iron Man: Haunted" issue 181925 = GCD 70704 row 1042278 244pp
I 81909 cv=183736 gcd=- 0.95 | "COL Iron Man Vol. 06 - Director of S.H.I.E.L.D. - With Iron Hands (2009)" 123pp = CV 29848 issue 183736; GCD has no row
N 81906 no-record: "COL Iron Man Vol. 03 - Civil War (2007)" 112pp — its stored GCD row 57409 is another book (#280-284 of the 1968 run) and no "Iron Man: Civil War" record exists on either leg (probed)
S 97891 cv=53725 gcd=69746 0.95 | Iron Man (2013) trades Vol. 01-05 (judged #1-28; GCD reprints #6-11, #12-17 of s69746) + #20.INH + two 1pp Skottie Young #1 covers = the stored CV 53725 (Marvel 2013, 29) = GCD 69746 (2013-2014, 29); the trades are the run's own content
I 82002 cv=395913 gcd=1166718 isbn=9780785168331 0.95 | "COL Iron Man Vol. 01 - Believe (2013)" 136pp = CV 59570 issue 395913 = GCD 77973 #1 Believe 152pp (the stored Epic Collection row 1207731 is another book)
I 82003 cv=420916 gcd=1166739 isbn=9780785168348 0.95 | "COL Iron Man Vol. 02 - The Secret Origin of Tony Stark - Book 01 (2014)" 131pp = CV 66113 #1 issue 420916 = GCD 77973 #2 144pp
I 82004 cv=435810 gcd=1166757 isbn=9780785168355 0.95 | "COL Iron Man Vol. 03 - The Secret Origin of Tony Stark - Book 02" 133pp = CV 66113 #2 issue 435810 = GCD 77973 #3 144pp
I 82005 cv=453075 gcd=1206366 isbn=9780785189428 0.95 | "COL Iron Man Vol. 04 - Iron Metropolitan (2014)" 131pp = CV 73977 issue 453075 = GCD 77973 #4 144pp
I 82006 cv=467217 gcd=1759105 isbn=9780785154822 0.95 | "COL Iron Man Vol. 05 - Rings of the Mandarin (2014)" 133pp = CV 77326 issue 467217 = GCD 77973 #5 144pp
S 20603 cv=19644 gcd=15645 0.9 | "COL Ultimate Iron Man (2006)" 119pp (GCD 155786: collects Ultimate Iron Man #1-5) + the Ultimate Collection 256pp = the stored CV 19644 (Marvel 2005, 5) = GCD 15645 (2005-, 5); residue: the Ultimate Collection also carries Ultimate Iron Man II #1-5, a second run, so 0.9
I 97964 cv=224089 gcd=2066416 0.95 | "COL Ultimate Iron Man (2006)" 119pp = CV 34327 issue 224089 = GCD 155786 row 2066416 (collects #1-5)
I 97963 cv=224087 gcd=2810457 isbn=9780785146414 0.95 | "COL Ultimate Comics Iron Man - Ultimate Collection (2010)" 256pp = CV 34325 issue 224087 (TPB) = GCD 232620 row 2810457 268pp
C 97963 cv=19644 gcd=15645 #1-5 0.9 | the Ultimate Collection collects Ultimate Iron Man (Marvel 2005, 5 issues) #1-5 — the 119pp TPB 97964 holds the same five; 256pp = ten issues
C 97963 cv=20084 gcd=27947 #1-5 0.9 | the Ultimate Collection also collects Ultimate Iron Man II (Marvel 2008, 5 issues) #1-5 — the second half of a 256pp two-mini book
S 103691 cv=2905 gcd=2396 0.95 | split-reader ids CONFIRMED: "Iron Man Annual 003-014 (1976-1993)" + two reading-order copies (#8, #10), ComicInfo Web 55288 = CV 2905 #14 = CV 2905 "Iron Man Annual" (Marvel 1970, 15) = GCD 2396 (1976-1994, 13 rows #3-15); the annual is its own series on both legs
S 103687 cv=60459 gcd=15295 0.95 | split-reader ids CONFIRMED: "Iron Man Annual 017 (2000)" 36pp, ComicInfo Series "Iron Man Annual 2000" = Marvel's one-shot CV 60459 "Iron Man 2000" (2000, 1 issue 138792) = GCD 15295 (2000, 1 row 52pp)
F 103687 needs-fetch cv=60459 | named from the rip only; no CvVolume row
I 81500 cv=138792 gcd=260970 0.95 | Iron Man 2000 36pp = CV 60459 issue 138792 = GCD 15295 row 260970
S 103693 cv=98341 gcd=- 0.9 | split-reader id CONFIRMED: "COL Iron Man Epic Collection Vol. 02 - By Force of Arms (2017)" 418pp = CV 98341 (Marvel 2017, count 1, issue 578464, Volume 2) = GCD Epic Collection line 74592 #2 (420pp); the book spans Tales of Suspense #73-99, Iron Man & Sub-Mariner #1 and Iron Man #1 (GCD reprints), so it is its own book; the line id 74592 is left off (shared by every Epic book)
F 103693 needs-fetch cv=98341 | named from the rip only; no CvVolume row
I 82140 cv=578464 gcd=1669890 isbn=9781302900113 0.95 | Epic Collection Vol. 02 By Force of Arms 418pp = CV 98341 issue 578464 = GCD 74592 #2 420pp
C 82140 gcd=1442 #73-99 0.95 | By Force of Arms collects Tales of Suspense (Marvel 1959 series, GCD 1442) #73-99 — GCD reprint rows of 1669890
S 103699 cv=118382 gcd=- 0.9 | split-reader id CONFIRMED: "COL Iron Man Epic Collection Vol. 03 - The Man Who Killed Tony Stark (2019)" 498pp = CV 118382 (Marvel 2019, 1 issue 706407, Volume 3) = GCD 74592 #3 500pp (collects Iron Man #2-24); a book of the Epic line kept as its own shelf like S9610-S9616
F 103699 needs-fetch cv=118382 | named from the rip only; no CvVolume row
I 82141 cv=706407 gcd=1950688 isbn=9781302916305 0.95 | Epic Collection Vol. 03 498pp = CV 118382 issue 706407 = GCD 74592 #3 500pp
C 82141 cv=2407 gcd=1867 #2-24 0.95 | The Man Who Killed Tony Stark collects Iron Man (Marvel 1968, 336) #2-24 — GCD notes 1950688
S 103701 cv=155069 gcd=- 0.9 | split-reader id CONFIRMED: "COL Iron Man Epic Collection Vol. 06 - War of the Super Villains (2023)" 480pp = CV 155069 (Marvel 2023, 1 issue 1032859, Volume 6) = GCD 74592 #6 484pp (Iron Man #68-91, Annual #3, Giant-Size #1)
F 103701 needs-fetch cv=155069 | named from the rip only; no CvVolume row
I 82144 cv=1032859 gcd=2584824 isbn=9781302948801 0.95 | Epic Collection Vol. 06 480pp = CV 155069 issue 1032859 = GCD 74592 #6 484pp
C 82144 cv=2407 gcd=1867 #68-91 0.95 | War of the Super-Villains collects Iron Man (Marvel 1968) #68-91 — GCD notes 2584824 (plus Iron Man Annual #3)
S 103698 cv=67506 gcd=- 0.9 | split-reader id CONFIRMED: "COL Iron Man Epic Collection Vol. 10 - The Enemy Within (2013)" 505pp = CV 67506 (Marvel 2013, 1 issue 426111, Volume 10) = GCD 74592 #10 508pp (Iron Man #158-177, Annual #5)
F 103698 needs-fetch cv=67506 | named from the rip only; no CvVolume row
I 82145 cv=426111 gcd=1115701 isbn=9780785187875 0.95 | Epic Collection Vol. 10 505pp = CV 67506 issue 426111 = GCD 74592 #10 508pp
C 82145 cv=2407 gcd=1867 #158-177 0.95 | The Enemy Within collects Iron Man (Marvel 1968) #158-177 — GCD reprint rows of 1115701 (plus Annual #5)
S 103696 cv=117588 gcd=- 0.9 | split-reader id CONFIRMED: "COL Iron Man Epic Collection Vol. 14 - Return of the Ghost (2019)" 472pp = CV 117588 (Marvel 2019, 1 issue 703054, Volume 14) = GCD 74592 #14 484pp (Iron Man #233-244, Marvel Fanfare, Iron Man: Crash)
F 103696 needs-fetch cv=117588 | named from the rip only; no CvVolume row
I 82148 cv=703054 gcd=1935923 isbn=9781302916299 0.95 | Epic Collection Vol. 14 472pp = CV 117588 issue 703054 = GCD 74592 #14 484pp
C 82148 cv=2407 gcd=1867 #233-244 0.95 | Return of the Ghost collects Iron Man (Marvel 1968) #233-244 — GCD reprint rows of 1935923
S 103694 cv=108102 gcd=- 0.9 | split-reader id CONFIRMED: "COL Iron Man Epic Collection Vol. 15 - Doom (2013)" 469pp = CV 108102 (Marvel 2018, 1 issue 655504, Volume 15) = GCD 74592 #15 476pp (Iron Man #245-257, Annual #10-11)
F 103694 needs-fetch cv=108102 | named from the rip only; no CvVolume row
I 82149 cv=655504 gcd=1777747 isbn=9781302910136 0.95 | Epic Collection Vol. 15 Doom 469pp = CV 108102 issue 655504 = GCD 74592 #15 476pp
C 82149 cv=2407 gcd=1867 #245-257 0.95 | Doom collects Iron Man (Marvel 1968) #245-257 — GCD reprint rows of 1777747
C 82149 cv=2905 gcd=2396 #10-11 0.95 | Doom also collects Iron Man Annual (Marvel 1976 series, CV 2905 / GCD 2396) #10-11 — GCD reprint rows of 1777747
S 103700 cv=146332 gcd=- 0.9 | split-reader id CONFIRMED: "COL Iron Man Epic Collection Vol. 18 - The Return of Tony Stark (2022)" 471pp = CV 146332 (Marvel 2022, 1 issue 956612, Volume 18) = GCD 74592 #18 492pp (Iron Man #290-297, Annual #14, Marvel Super-Heroes)
F 103700 needs-fetch cv=146332 | named from the rip only; no CvVolume row
I 82151 cv=956612 gcd=2456365 isbn=9781302948191 0.95 | Epic Collection Vol. 18 471pp = CV 146332 issue 956612 = GCD 74592 #18 492pp
C 82151 cv=2407 gcd=1867 #290-297 0.95 | The Return of Tony Stark collects Iron Man (Marvel 1968) #290-297 — GCD reprint rows of 2456365
S 103695 cv=143899 gcd=- 0.9 | split-reader id CONFIRMED: "COL Iron Man Epic Collection Vol. 20 - In the Hands of Evil (2021)" 467pp = CV 143899 (Marvel 2021, 1 issue 934689, Volume 20) = GCD 74592 #20 500pp (Iron Man #310-318, War Machine #8-10, Force Works #6-7, MCP #169-172)
F 103695 needs-fetch cv=143899 | named from the rip only; no CvVolume row
I 82152 cv=934689 gcd=2278768 isbn=9781302930776 0.95 | Epic Collection Vol. 20 467pp = CV 143899 issue 934689 = GCD 74592 #20 500pp
C 82152 cv=2407 gcd=1867 #310-318 0.95 | In the Hands of Evil collects Iron Man (Marvel 1968) #310-318 — GCD notes 2278768
C 82152 gcd=5053 #8-10 0.95 | In the Hands of Evil also collects War Machine (Marvel 1994 series, GCD 5053) #8-10 — GCD notes 2278768
C 82152 gcd=5009 #6-7 0.95 | In the Hands of Evil also collects Force Works (Marvel 1994 series, GCD 5009) #6-7 — GCD notes 2278768
S 103697 cv=150441 gcd=- 0.9 | split-reader id CONFIRMED: "COL Iron Man Epic Collection Vol. 21 - The Crossing (2023)" 459pp = CV 150441 (Marvel 2023, 1 issue 989798, Volume 21) = GCD 74592 #21 512pp; its contents are not in our GCD data
F 103697 needs-fetch cv=150441 | named from the rip only; no CvVolume row
I 82153 cv=989798 gcd=2531707 isbn=9781302951597 0.95 | Epic Collection Vol. 21 The Crossing 459pp = CV 150441 issue 989798 = GCD 74592 #21 512pp
S 103689 cv=131539 gcd=175503 0.95 | split-reader ids CONFIRMED: "Iron Man 2020 - Robot Revolution - iWolverine (2020)" 144pp = CV 131539 (Marvel 2020, 1 issue 814970, TPB) = GCD 175503 (2020, 1 row 148pp); it collects the 2020 iWolverine and Ironheart minis, so it keeps its own record
F 103689 needs-fetch cv=131539 | named from the rip only; no CvVolume row
I 82026 cv=814970 gcd=2257899 isbn=9781302925543 0.95 | the Robot Revolution - iWolverine TPB 144pp = CV 131539 issue 814970 = GCD 175503 row 2257899 148pp
S 103692 cv=- gcd=203292 0.9 | split-reader id CONFIRMED: "Iron Man Annual 001 (2023)" 30pp (folder Invincible Iron Man v5 (2023)) = GCD 203292 "Iron Man Annual" (Marvel 2023, 1 row 36pp); CV holds the 2014 and 2021 annuals (71801, 136620) but no 2023 one in our data
I 83929 cv=- gcd=2563964 0.95 | Iron Man Annual 2023 30pp = GCD 203292 #1 36pp (2023-08-16)
S 103690 cv=35354 gcd=52084 0.95 | split-reader ids CONFIRMED: "Iron Man 2 Agents of S.H.I.E.L.D. (2010)" 27pp = CV 35354 (Marvel 2010, 1 issue 233079) = GCD 52084 (2010, 1 row 36pp)
F 103690 needs-fetch cv=35354 | named from the rip only; no CvVolume row
I 83969 cv=233079 gcd=774074 0.95 | Iron Man 2: Agents of S.H.I.E.L.D. 27pp = CV 35354 issue 233079 = GCD 52084 #1 36pp
S 103702 cv=76085 gcd=82046 0.95 | split-reader ids CONFIRMED: "002 Iron Man Special 01 (2014)" 29pp = CV 76085 (Marvel 2014, 1 issue 460967, "No End In Sight, Part 2") = GCD 82046 (2014, 1 row 40pp); "002" is the chronology prefix
F 103702 needs-fetch cv=76085 | named from the rip only; no CvVolume row
I 92742 cv=460967 gcd=1245365 0.95 | Iron Man Special 2014 29pp = CV 76085 issue 460967 = GCD 82046 #1 40pp
S 103688 cv=60072 gcd=85689 0.9 | CORRECTED from the split reader's "no record": "Iron Man 2020 (2018)" 302pp is the Iron Man 2020 collection CV 60072 "Iron Man 2020" (Marvel 2013, 1 issue 397752, TPB) = GCD 85689 (2013, 1 row 308pp) — page count within 6, title exact; the file's 2018 and the judged #1-6 are unexplained, so 0.9
F 103688 needs-fetch cv=60072 | named from the rip only; no CvVolume row
I 82200 cv=397752 gcd=1300374 isbn=9780785167358 0.9 | Iron Man 2020 302pp = CV 60072 issue 397752 (TPB) = GCD 85689 row 1300374 308pp
S 9575 cv=39122 gcd=56002 0.9 | the KEPT half is Iron Man 2.0: #1-9, 11-12 + #7.1 and the Fear Itself copies of #5-7 + its two trades (judged #1-7 and #8-12) = CV 39122 (Marvel 2011, 13) = GCD 56002 (2011-2012, 13); residue: "Iron Man 2.0 Saga" (9pp digital recap, CV 42564) is its own record, so 0.9; per-file GCD 55651 is Panini España
F 9575 needs-fetch cv=39122 | named from the rip only; no CvVolume row
I 82198 cv=293864 gcd=894509 isbn=9780785147497 0.95 | "COL Iron Man 2.0 Vol. 01 - Palmer Addley is Dead (2011)" 154pp = CV 43060 issue 293864 = GCD 62087 #1 180pp (collects #1-7 + the Invincible Iron Man #500 prologue)
I 82199 cv=317020 gcd=937552 isbn=9780785147510 0.95 | "COL Iron Man 2.0 Vol. 02 - Asymmetry (2012)" 135pp = CV 46068 issue 317020 = GCD 62087 #2 132pp (collects #7.1, #8-12); the stored GCD row 981522 is another book
I 82138 cv=290977 gcd=- 0.95 | "Iron Man 2.0 Saga (2011) (Digital Exclusive)" 9pp = CV 42564 "Iron Man 2.0 Saga" issue 290977; GCD has no row

# ================= The nine KEPT-WHOLE shelves (TODO 39a) =================
S 15497 cv=- gcd=142299 0.9 | KEPT WHOLE, the collected line: our three trades Vol. 01 Obsessive Propulsion / 02 The Lost Pilot / 03 Fight or Flight are exactly GCD 142299 "She Could Fly" (Dark Horse 2019-2021, 3 rows by subtitle, #1 144pp against our 146pp), and the shelf holds nothing else (L-186); CV keeps no line volume, only per-book records; the runs they collect go on C lines
F 15497 wrong-cv-link | stored CV 112201 is the 2018 She Could Fly mini (4 issues) that Vol. 01 collects — a run on a C line, not this line's identity
I 8855 cv=703000 gcd=1936197 isbn=9781506709499 0.95 | "COL She Could Fly Vol. 01 - Obsessive Propulsion (2019)" 146pp = CV 117604 issue 703000 (TPB) = GCD 142299 #1 144pp
C 8855 cv=112201 gcd=126788 #1-4 0.95 | Vol. 01 collects She Could Fly (Dark Horse 2018, 4 issues) #1-4 — GCD reprint rows of 1936197
I 8856 cv=729563 gcd=2246657 isbn=9781506712765 0.95 | "COL She Could Fly Vol. 02 - The Lost Pilot (2019)" 127pp = CV 123252 issue 729563 (Volume Two) = GCD 142299 #2
C 8856 cv=118267 gcd=143830 #1-5 0.95 | Vol. 02 collects She Could Fly: The Lost Pilot (Dark Horse 2019, 5 issues) #1-5 — GCD reprint rows of 2246657
I 8857 cv=898849 gcd=2282777 isbn=9781506725635 0.95 | "COL She Could Fly Vol. 03 - Fight or Flight (2021)" 107pp = CV 140483 issue 898849 (Volume 3) = GCD 142299 #3
N 8857 Vol. 03 collects the Fight or Flight mini, which neither leg holds as an issue run in our data (probed), so no C line
S 17660 cv=58225 gcd=- 0.9 | KEPT WHOLE, the collected line: CV 58225 "Tech Jacket" (Image 2007, 4) IS the TPB line — #1 Vol. 1: The Boy from Earth, #2 Vol. 2: Lift Off, #3 Vol. 3: Touch the Sky, #4 All Falls Down — and our three trades are its #1-3 by subtitle, nothing else on the shelf (L-186); GCD has no line row
F 17660 stale-flag=109 | the flag says the 2002 run and the 2014 relaunch share this Series, but the shelf holds no issue of either — only the three trades of the one TPB line CV 58225 (The Boy From Earth / Lift Off / Touch the Sky); the two runs are named on C lines, not conflated here
F 17660 provider-missing | GCD has no series for the Tech Jacket trade line (only the 2002 run 37869 and the 2014 run 81544)
I 32684 cv=389703 gcd=- 0.95 | "COL Tech Jacket Vol. 01 - The Boy From Earth (2007)" 162pp = CV 58225 #1 issue 389703 (Vol. 1: The Boy from Earth)
C 32684 cv=22158 gcd=37869 #1-6 0.9 | Vol. 01 collects Tech Jacket (Image 2002, 8 issues; 6 printed 2002-2003) #1-6 per the judged range; 162pp = six issues plus extras
I 32685 cv=458661 gcd=- 0.95 | "COL Tech Jacket Vol. 02 - Lift Off (2014)" 128pp = CV 58225 #2 issue 458661 (Vol. 2: Lift Off)
I 32686 cv=475498 gcd=- 0.95 | "COL Tech Jacket Vol. 03 - Touch the Sky (2014)" 151pp = CV 58225 #3 issue 475498 (Vol. 3: Touch the Sky)
N 17660 which issues Vol. 02-03 collect (the 2014 run CV 75342 / GCD 81544) is not in our data, so no C lines for them
S 20348 cv=- gcd=127366 0.9 | KEPT WHOLE, the collected line: our three trades v01 World Without End / v02 Station Zero / v03 The Culling are exactly GCD 127366 "Torchwood" (Titan 2017-2018, 3 rows by subtitle), nothing else on the shelf (L-186); CV keeps per-book records (100389, 103276, 111058), no line
F 20348 wrong-cv-link | stored CV 92069 is the first 2016 Torchwood mini (4 issues), collected by v01 — a run for a C line, not this line
I 111918 cv=589879 gcd=1834220 0.95 | "COL Torchwood v01 - World Without End (2017)" 110pp = CV 100389 issue 589879 (TPB) = GCD 127366 #1 World Without End
C 111918 cv=92069 gcd=104793 #1-4 0.9 | v01 collects the first Titan Torchwood mini (2016-2017, 4 issues, CV 92069 / GCD 104793) #1-4, the World Without End story
I 111919 cv=612073 gcd=1834221 0.95 | "COL Torchwood v02 - Station Zero (2017)" 101pp = CV 103276 issue 612073 = GCD 127366 #2 Station Zero
C 111919 cv=98766 gcd=112084 #1-4 0.9 | v02 collects the second Titan Torchwood mini (2017, 4 issues, CV 98766 / GCD 112084) #1-4, the Station Zero story
I 111920 cv=670798 gcd=1834222 0.95 | "COL Torchwood v03 - The Culling (2018)" 100pp = CV 111058 issue 670798 = GCD 127366 #3 The Culling
C 111920 cv=105366 gcd=117672 #1-4 0.9 | v03 collects the third Titan Torchwood mini (2017-2018, 4 issues, CV 105366 / GCD 117672) #1-4, The Culling
S 7823 cv=54306 gcd=111071 0.95 | KEPT WHOLE, the collected line — and a CV leg found: CV 54306 "Supurbia" (Boom 2012, 4: Power Couples, The Villain Next Door, Trouble in Paradise, Hard Truths) and GCD 111071 "Grace Randolph's Supurbia" (Boom 2012-2014, 4 rows 116pp, #1 Power Couples) are the same four-book line, exactly our four trades (110-113pp) and nothing else (L-186)
F 7823 wrong-cv-link | stored CV 54140 is the 12-issue Supurbia ongoing that Vol. 02-04 collect — a run for C lines, not the line
F 7823 needs-fetch cv=54306 | named from the rip only; no CvVolume row
F 7823 stale-flag=75 | the flag says Vol. 01 collects the mini while CV gives Vols 2-4 the ongoing's #1-12 — true, and that is exactly why the shelf is ONE collected line (CV 54306 / GCD 111071, four books by title) whose contents span both runs; the runs are named on C lines, nothing is conflated
I 10798 cv=370312 gcd=1663293 isbn=9781608862795 0.95 | "COL Grace Randolph's Supurbia Vol. 01 - Power Couples (2012)" 112pp = CV 54306 #1 issue 370312 = GCD 111071 #1 116pp
C 10798 cv=46358 gcd=63941 #1-4 0.9 | Vol. 01 collects the Supurbia mini (Boom 2012, 4 issues, CV 46358 / GCD 63941) #1-4 — the flag's own reading; 112pp = four issues plus extras
I 10799 cv=425065 gcd=1663294 0.95 | "COL ... Vol. 02 - The Villain Next Door (2013)" 113pp = CV 54306 #2 issue 425065 = GCD 111071 #2 116pp
C 10799 cv=54140 gcd=70357 #1-4 0.9 | Vol. 02 collects Grace Randolph's Supurbia ongoing (Boom 2012-2013, 12 issues) #1-4 — 113pp = four issues, the ongoing's first third
I 10800 cv=445236 gcd=1663295 0.95 | "COL ... Vol. 03 - Trouble in Paradise (2014)" 113pp = CV 54306 #3 issue 445236 = GCD 111071 #3 116pp
C 10800 cv=54140 gcd=70357 #5-8 0.9 | Vol. 03 collects Grace Randolph's Supurbia ongoing (Boom 2012-2013, 12 issues) #5-8 — the middle four at the same 113pp
I 10801 cv=463526 gcd=1663296 0.95 | "COL ... Vol. 04 - Hard Truths (2014)" 110pp = CV 54306 #4 issue 463526 = GCD 111071 #4 116pp
C 10801 cv=54140 gcd=70357 #9-12 0.9 | Vol. 04 collects Grace Randolph's Supurbia ongoing (Boom 2012-2013, 12 issues) #9-12 — the last four, 110pp
S 8441 cv=- gcd=33385 0.9 | KEPT WHOLE, the collected line: our four trades Vol. 01 Byrd of Paradise / 02 The Last Resort / 03 Screaming Black Thunder / 04 Aloha, Hawaiian Dick are GCD 33385 "Hawaiian Dick" (Image 2003-2016, 4 rows; #3/#4 are our Vol. 03/04's own rows 1780729/1780730), nothing else on the shelf (L-186); CV keeps only per-book records; each volume collects a different mini (C lines)
F 8441 wrong-cv-link | stored CV 11272 is the first Hawaiian Dick mini (2003, 3 issues) that Vol. 01 collects — a run for a C line, not the line
F 8441 stale-flag=79 | four Hawaiian Dick minis each numbered from #1, but the shelf holds no issue of any of them — only the four trades of one line GCD 33385 (one trade per mini), so nothing is conflated; the minis are named on C lines
I 34847 cv=421781 gcd=560306 0.95 | "COL Hawaiian Dick Vol. 01 - Byrd of Paradise (2003)" 139pp = CV 66353 issue 421781 (TPB 2003) = GCD 33385 #1
C 34847 cv=11272 gcd=12214 #1-3 0.9 | Vol. 01 collects Hawaiian Dick (Image 2002-2003, 3 issues) #1-3, the Byrd of Paradise story
I 34848 cv=653021 gcd=560307 0.95 | "COL Hawaiian Dick Vol. 02 - The Last Resort (2006)" 154pp = CV 107728 issue 653021 (Volume 2) = GCD 33385 #2
C 34848 cv=11273 gcd=12215 #1-4 0.9 | Vol. 02 collects Hawaiian Dick: The Last Resort (Image 2004-2006, 4 issues) #1-4, the mini of the same name
I 34849 cv=550411 gcd=1780729 0.95 | "COL Hawaiian Dick Vol. 03 - Screaming Black Thunder (2016)" 145pp = CV 94275 issue 550411 (Volume 3) = GCD 33385 #3
C 34849 cv=19760 gcd=28811 #1-5 0.95 | Vol. 03 collects Hawaiian Dick: Screaming Black Thunder (Image 2007-2008, 5 issues) #1-5 — GCD reprint rows of 1780729
I 34850 cv=558442 gcd=1780730 0.95 | "COL Hawaiian Dick Vol. 04 - Aloha, Hawaiian Dick (2016)" 142pp = CV 95735 issue 558442 (Vol. 4) = GCD 33385 #4 (2016-11-16)
C 34850 cv=89763 gcd=100116 #1-4 0.95 | Vol. 04 collects Aloha, Hawaiian Dick (Image 2016, 5 issues listed) #1-4 — GCD reprint rows of 1780730
S 5939 cv=- gcd=95013 0.95 | KEPT WHOLE, the collected line: the six books are GCD 95013 "Dungeons & Dragons: The Legend of Drizzt" (IDW 2015-2017, 6 rows by subtitle: Homeland 136pp, Exile 144pp, Sojourn 144pp, The Crystal Shard 128pp, Streams of Silver 132pp, The Halfling's Gem 128pp against our 144/149/142/135/136/135pp), and CV's per-book volumes 79561/83445/86687/90854/94867/100541 name the same six by title — two legs agree book by book (L-186); CV has no line volume
F 5939 wrong-cv-link | the stored CV 42318 is "The Legend of Drizzt: Neverwinter Tales" (IDW 2011, 5), a different comic
I 30507 cv=476807 gcd=1514547 isbn=9781631401978 0.95 | Legend of Drizzt Vol. 01 Homeland 144pp = CV 79561 issue 476807 = GCD 95013 #1 136pp
I 30508 cv=495815 gcd=1514548 isbn=9781631403545 0.95 | Vol. 02 Exile 149pp = CV 83445 issue 495815 = GCD 95013 #2 144pp
I 30509 cv=508452 gcd=1514549 isbn=9781631404818 0.95 | Vol. 03 Sojourn 142pp = CV 86687 issue 508452 = GCD 95013 #3 144pp
I 30510 cv=532986 gcd=2711843 isbn=9781631406218 0.95 | Vol. 04 The Crystal Shard 135pp = CV 90854 issue 532986 = GCD 95013 #4 128pp
