# R-088 — S.2 tier one: 70 shelves whose winning line was an S at 0.7 or an R (mostly provider-missing). Folders: Misc\ (NBM Dungeon, Gumby, Heroes, Jirni, OZ, Tank Girl, Street Fighter, Shi, Second Coming), Oni Press\, Papercutz\, Scout\, Silver Sprocket\.
# Every provider-missing R was re-probed on both legs with --contains (and the record's own title where one was named); the probe list is on each F line. Found records: all five NBM Dungeon cycles, Gumby in 3-D (GCD 38332), Attack of the 100-Foot Booger (CV 68845 / GCD 77438), Shi's Crusade books, the Malibu Street Fighter, the Rick and Morty minis/one-shots, Exodus: The Life After, Hopeless Savages / Helheim trades.
# Surprises: the "several runs" shelves are all true (flags #65 / #80 / #82 are NOT stale); SHI (Europe Comics, Zidrou/Homs) and Billy Tucci's Shi are two unrelated comics under one bare title; Nancy Drew's NBM volumes belong on S102066, Dungeon Monstres on S24292.

R 5909 | the 13 NBM albums (97-103pp) are five separately published Dungeon series, each with its own record on both legs: The Early Years v1-v2 = CV 51884 / GCD 55264; Zenith v1-v3 = CV 52034 / GCD 55263; Twilight v1-v3 = CV 51771 / GCD 55269; Parade v1-v2 = CV 51968 / GCD 55268; Monstres v1-v3 = CV 51654 / GCD 55267 (album titles match the CV issue names one for one); the stored CV 51364 / GCD 19068 "Dungeon" (NBM 2002-2003, 8 x 28pp) is the comic-format serialisation, not these albums - flag #65 is TRUE
F 8973 split-needed | item 108742 -> "Hopeless Savages: Ground Zero (2002)" cv=22010 gcd=51446; item 108743 -> "Too Much Hopeless Savages (2003)" cv=30859 gcd=84230; item 108740 -> "Hopeless Savages: Break (2015)" cv=86235 gcd=122614; item 108741 (Vol. 01) stays as cv=9335 gcd=10114
I 108741 cv=190625 gcd=552913 isbn=- 0.95 | "Vol. 01 (2003)" 133pp = CV 30857 "Hopeless Savages" issue 190625 "Volume 1" and GCD 32700 row 552913, the trade of the 2001 mini
I 108742 cv=190624 gcd=1789487 isbn=- 0.95 | "Vol. 02 - Ground Zero (2004)" 116pp = CV 30856 issue 190624 "Volume 2" and GCD 122671 row 1789487 (2004-05-05)
I 108743 cv=190626 gcd=1846825 isbn=- 0.95 | "Vol. 03 - Too Much Hopeless Savages (2004)" 114pp = CV 30858 issue 190626 "Volume 3" and GCD 129669 row 1846825
I 108740 cv=506724 gcd=1789021 isbn=- 0.95 | "Hopeless Savages Break (2015)" 153pp = CV 86235 issue 506724 "GN" and GCD 122614 row 1789021
R 12071 | "Mika and the Howler (2023)" 32pp (ComicInfo Publisher Oni Press) is in neither catalog: re-probed "Mika and the Howler" (0) and "Howler" --contains (only Yaffa's Sgt. Fury's Howlers)
F 12071 provider-missing | probed "Mika and the Howler", "Howler" (--contains) on both legs
R 12210 | "Missing You (2023)" 119pp (Oni) is in neither catalog: re-probed "Missing You" --contains, 0 hits on both legs
F 12210 provider-missing | probed "Missing You" --contains on both legs
R 14175 | "COL Punch Up! v01 (2023)" 145pp (Oni) has no record of its own: re-probed "Punch Up" --contains - Viz's Punch Up! (55718 / 123644), Crunchyroll's 148463, Tokyopop Germany and Asuka France editions of the Japanese manga, and Oni's own "Punch Up! Free Comic Book Day 2023" (GCD 200292, a sampler); the book's own record is not in our data
F 14175 provider-missing | probed "Punch Up" --contains on both legs; only Oni's FCBD sampler exists
R 14304 | "COL Quinnelope and The Cookie King Catastrophe (2023)" 258pp (Oni) is in neither catalog: re-probed "Quinnelope" --contains - only GCD 228116 "Quinnelope and the Unicorn Utopia" (2025), a different book of the line
F 14304 provider-missing | probed "Quinnelope" --contains on both legs
R 14305 | "COL Quinnelope and The Mystery of the Missing Moon (2024)" 274pp (Oni) is in neither catalog: "Quinnelope" --contains returns only GCD 228116 (Unicorn Utopia, 2025)
F 14305 provider-missing | probed "Quinnelope" --contains on both legs
R 14669 | a Rick and Morty bucket of many different books, each with its own record: the Presents trade line Vol. 01-06 (CV 119394 / GCD 146243, 6); Youth in Rickvolt #1-4 (CV 159355 / GCD 214286, 4); Corporate Assets #1-4 (CV 141972 / GCD 179458, 4); the one-shots The Hotel Immortal (CV 137580 / GCD 179486) and New Year, New Rick Special (CV 161849 / GCD 219248); the trades of minis Kingdom Balls (CV 157855 / TPB GCD 219742), Ever After (TPB CV 136601), Heart of Rickness (TPB GCD 210005), Infinity Hour (CV 141973 / GCD 193622), Lil' Poopy Superstar (TPB CV 99051), Pocket Like You Stole It (TPB CV 109334 / GCD 123026); and Dark Horse's The Art of Rick and Morty (CV 104264)
F 14669 split-needed | items 108889-108894 (Presents Vol. 01-06) stay as cv=119394 gcd=146243; items 108881-108884 -> "Rick and Morty: Youth in Rickvolt (2024)" cv=159355 gcd=214286; items 108895-108898 -> "Rick and Morty: Corporate Assets (2021)" cv=141972 gcd=179458; item 108888 -> "Rick and Morty Presents: The Hotel Immortal (2021)" cv=137580 gcd=179486; item 108880 -> "Rick and Morty: New Year, New Rick Special (2025)" cv=161849 gcd=219248; the trades each under their mini's name: 108879 Kingdom Balls cv=157855, 109810 Ever After cv=131493 gcd=165668, 109811 Heart of Rickness cv=152221 gcd=203260, 109812 Infinity Hour cv=141973 gcd=193622, 109813 Lil' Poopy Superstar cv=92199 gcd=104311, 109814 Pocket Like You Stole It cv=102611 gcd=115262; 108914 -> "The Art of Rick and Morty (2017)" cv=104264 (who-stores: none of these runs sits on a live shelf)
I 108889 cv=710084 gcd=1974207 isbn=- 0.95 | "Rick and Morty Presents Vol. 01 (2019)" 132pp = CV 119394 issue 710084 "Volume One" and GCD 146243 #1 row 1974207 (2019-05-29)
I 108890 cv=762382 gcd=2749709 isbn=- 0.9 | "Rick and Morty Presents Vol. 02 (2020)" 129pp = CV 119394 issue 762382 "Volume Two" and GCD 146243 #2 row 2749709 (ordinal)
I 108891 cv=855997 gcd=2749710 isbn=- 0.9 | "Rick and Morty Presents Vol. 03 (2021)" 131pp = CV 119394 issue 855997 "Volume Three" and GCD 146243 #3 row 2749710 (ordinal)
I 108892 cv=953518 gcd=2749711 isbn=- 0.9 | "Rick and Morty Presents Vol. 04 (2022)" 129pp = CV 119394 issue 953518 "Volume Four" and GCD 146243 #4 row 2749711 (ordinal)
I 108893 cv=1026730 gcd=2749712 isbn=- 0.9 | "Rick and Morty Presents Vol. 05 (2023)" 152pp = CV 119394 issue 1026730 "Volume Five" and GCD 146243 #5 row 2749712 (ordinal)
I 108894 cv=1135326 gcd=2749713 isbn=- 0.9 | "Rick and Morty Presents Vol. 06 (2024)" 110pp = CV 119394 issue 1135326 "Volume Six" and GCD 146243 #6 row 2749713 (ordinal)
I 108888 cv=871204 gcd=2287661 isbn=- 0.95 | "Rick and Morty Presents - The Hotel Immortal 01 (2021)" 34pp = CV 137580 issue 871204 and GCD 179486 row 2287661 (2021-07-14, 40pp)
I 108880 cv=1088618 gcd=2691302 isbn=- 0.95 | "Rick and Morty - New Year, New Rick Special 001 (2025)" 36pp = CV 161849 issue 1088618 and GCD 219248 row 2691302 (2025-01-01)
I 108879 cv=- gcd=2697615 isbn=- 0.9 | "Rick and Morty - Kingdom Balls (2025)" 110pp = GCD 219742 "Rick and Morty Kingdom Balls" TPB row 2697615 (2025-01-08, 112pp)
I 109810 cv=857515 gcd=- isbn=- 0.9 | "Rick and Morty - Ever After (2021)" 105pp = CV 136601 "Rick and Morty: Ever After" issue 857515 "TPB" (2021-06)
I 109811 cv=- gcd=2616869 isbn=- 0.9 | "Rick and Morty - Heart of Rickness (2024)" 110pp = GCD 210005 TPB row 2616869 (2024-03-20, 116pp)
I 109813 cv=582596 gcd=- isbn=- 0.9 | "Rick and Morty - Lil' Poopy Superstar (2017)" 123pp = CV 99051 issue 582596 "TPB" (2017-02)
I 109814 cv=663637 gcd=1793851 isbn=- 0.95 | "Rick and Morty - Pocket Like You Stole It (2018)" 129pp = CV 109334 issue 663637 "TPB" and GCD 123026 row 1793851 (2018-03-21)
I 108914 cv=621561 gcd=- isbn=- 0.9 | "The Art of Rick and Morty (2017)" 206pp = CV 104264 (Dark Horse 2017) issue 621561 "Volume One"
N 109812 no-record | Infinity Hour (2023) 111pp: the mini is CV 141973 / GCD 193622 but no TPB row was found on either leg ("Infinity Hour" --contains)
R 10762 | "03 Lights (2023)" 363pp, book three of Brenna Thummler's Sheets trilogy, is in neither catalog: re-probed "Sheets" --contains (Sheets 2018 CV 112850 / GCD 128029, A Sheets Story, the Collector's Edition, Cross Cult's German edition) and "Lights" --year 2023 (0)
F 10762 provider-missing | probed "Sheets" --contains and "Lights" --year 2023 on both legs
R 15965 | "COL Space Trash v01 (2022)" 100pp (Oni) is in neither catalog: re-probed "Space Trash" --contains, 0 hits on both legs; the book's own record is not in our data
F 15965 provider-missing | probed "Space Trash" --contains on both legs
R 6322 | two Oni runs, each its own record on both legs: The Life After (2014-2015) = CV 75578 / GCD 81681 (10) - issue files #6-10 and Vol. 01 (124pp, judged #1-5) in "01 The Life After (2014)"; and the sequel Exodus: The Life After (2015-2016) = CV 85755 / GCD 93847 (10) - the ten files #1-10 in "02 Exodus - Life After (2015)" (C-060's "no CV for Exodus" is answered by "Exodus" --contains)
F 6322 split-needed | the ten Exodus files (folder "02 Exodus - Life After (2015)", key "Exodus - The Life After") -> "Exodus: The Life After (2015)" cv=85755 gcd=93847 (who-stores cv=85755: no shelf); The Life After #6-10 and Vol. 01 stay as cv=75578 gcd=81681
F 6322 needs-fetch cv=85755 | CV 85755 "Exodus: The Life After" is named from the local rip and has no CvVolume row
I 108998 cv=477936 gcd=2196914 isbn=9781620101957 0.9 | "The Life After Vol. 01 (2015)" 124pp = CV 79719 "The Life After" (Oni trade line) issue 477936 "Volume 1" and GCD 169401 #1 row 2196914 (2015-01-28, 140pp)
R 21391 | "Weeaboo (2021)" 280pp (Oni) is in neither catalog: re-probed "Weeaboo" --contains, 0 hits on both legs
F 21391 provider-missing | probed "Weeaboo" --contains on both legs
R 6776 | "COL Flash Gordon Adventures! v01 (2024)" 115pp (Papercutz) is in neither catalog: re-probed "Flash Gordon Adventures" --contains, 0 hits on both legs; Mad Cave's 2024 Flash Gordon is a different comic; the book's own record is not in our data
F 6776 provider-missing | probed "Flash Gordon Adventures" --contains on both legs
R 12671 | two Nancy Drew lines: (1) NBM's 2005-2010 graphic novels v06-v21 (16 books, 85-113pp, titles = CV 49207 issues #6-21 and GCD 62176 rows #6-21 one for one) - the line S102066 already carries (S line B-066: cv=49207 gcd=62176, v01-v05); (2) Dynamite's 2018 Nancy Drew #1-5 = CV 111545 / GCD 125898 (5) and its 2022 Omnibus Book 01 (GCD 190239) - the stored CV 111545
F 12671 split-needed | items 109276-109291 (NBM v06-v21) join S102066 (S line B-066 cv=49207 gcd=62176, key "Nancy Drew (2005)"); Dynamite #1-5 (21313-21317) and the Omnibus (21943) stay as cv=111545 gcd=125898
I 21943 cv=- gcd=2438268 isbn=- 0.9 | "COL Nancy Drew Omnibus Book 01 (2022)" 263pp (ComicInfo Series "Nancy Drew Omnibus", Dynamite) = GCD 190239 #1 row 2438268 (2022-10-05); no CV volume ("Nancy Drew Omnibus" --contains)
I 109276 cv=351862 gcd=898728 isbn=- 0.95 | NBM v06 "Mr. Cheeters is Missing" 94pp = CV 49207 issue 351862 and GCD 62176 #6 row 898728 (100pp)
I 109277 cv=351863 gcd=898729 isbn=9781597070362 0.95 | NBM v07 "The Charmed Bracelet" 99pp = CV 49207 issue 351863 and GCD 62176 #7 row 898729 (100pp)
I 109278 cv=351864 gcd=898730 isbn=9781597070515 0.95 | NBM v08 "Global Warning" 97pp = CV 49207 issue 351864 and GCD 62176 #8 row 898730 (100pp)
I 109279 cv=351865 gcd=898731 isbn=9781597070584 0.95 | NBM v09 "Ghost in the Machinery" 109pp = CV 49207 issue 351865 and GCD 62176 #9 row 898731 (116pp)
I 109280 cv=351866 gcd=898732 isbn=9781597070669 0.95 | NBM v10 "The Disoriented Express" 112pp = CV 49207 issue 351866 and GCD 62176 #10 row 898732 (116pp)
I 109281 cv=351867 gcd=898733 isbn=9781597070768 0.95 | NBM v11 "Monkey Wrench Blues" 113pp = CV 49207 issue 351867 and GCD 62176 #11 row 898733 (116pp)
I 109282 cv=351868 gcd=898734 isbn=- 0.95 | NBM v12 "Dress Reversal" 103pp = CV 49207 issue 351868 and GCD 62176 #12 row 898734 (116pp)
I 109283 cv=351869 gcd=898735 isbn=9781597070980 0.95 | NBM v13 "Doggone Town" 95pp = CV 49207 issue 351869 and GCD 62176 #13 row 898735
I 109284 cv=351872 gcd=898736 isbn=9781597071079 0.95 | NBM v14 "Sleight of Dan" 94pp = CV 49207 issue 351872 and GCD 62176 #14 row 898736
I 109285 cv=351873 gcd=898737 isbn=9781597071185 0.95 | NBM v15 "Tiger Counter" 99pp = CV 49207 issue 351873 and GCD 62176 #15 row 898737 (100pp)
I 109286 cv=351874 gcd=898738 isbn=- 0.95 | NBM v16 "What Goes Up..." 99pp = CV 49207 issue 351874 and GCD 62176 #16 row 898738 (same title)
I 109287 cv=351875 gcd=898739 isbn=- 0.95 | NBM v17 "Night of the Living Chatchke" 97pp = CV 49207 issue 351875 and GCD 62176 #17 row 898739 (same title)
I 109288 cv=351876 gcd=898740 isbn=- 0.95 | NBM v18 "City Under the Basement" 97pp = CV 49207 issue 351876 and GCD 62176 #18 row 898740 (same title)
I 109289 cv=351877 gcd=898741 isbn=- 0.95 | NBM v19 "Cliffhanger" 86pp = CV 49207 issue 351877 and GCD 62176 #19 row 898741 (same title)
I 109290 cv=351878 gcd=898742 isbn=9781597071789 0.95 | NBM v20 "High School Musical Mystery" 85pp = CV 49207 issue 351878 and GCD 62176 #20 row 898742 (100pp)
I 109291 cv=351879 gcd=898743 isbn=9781597071956 0.95 | NBM v21 "High School Musical Mystery Part II - The Lost Verse" 91pp = CV 49207 issue 351879 and GCD 62176 #21 row 898743 (100pp)
R 13826 | "Pillow Talk (2024)" 308pp (filed under Scout's Pulp Bytes folder) is in neither catalog: re-probed "Pillow Talk" --contains - only Image's "Battle Pope: Pillow Talk" (2007) on CV, nothing on GCD
F 13826 provider-missing | probed "Pillow Talk" --contains on both legs
S 15425 cv=- gcd=141505 0.9 | run wins: the single "COL Shadow Play v01 (2020)" 167pp (ComicInfo Publisher Scout Comics, folder Scout Comics\Shadow Play (2020)) is the trade of Scout's 6-issue mini = GCD 141505 "Shadow Play" (Scout 2019-2020, 6 rows; 32pp + 48pp rows put six issues near our 167pp); the trade's own record is GCD 224280 (Scout 2020, 1) on the I line; CV has only the 2018 Ashcan (110224) and Western's 1982 namesake (36541)
F 15425 provider-missing | CV has no Scout "Shadow Play" run ("Shadow Play" --contains: 36541 Western 1982, 110224 Ashcan 2018)
I 109939 cv=- gcd=2740861 isbn=- 0.9 | the 167pp trade = GCD 224280 "Shadow Play" (Scout 2020) row 2740861
R 4225 | "Cook Like Your Ancestors (2023)" (two rips, 98/99pp, Silver Sprocket) is in neither catalog: re-probed "Cook Like" --contains, 0 hits on both legs
F 4225 provider-missing | probed "Cook Like" --contains on both legs
R 8103 | "Grog the Frog - The Book of Taurus (2023)" 64pp (Silver Sprocket) is in neither catalog: re-probed "Grog" --contains - Les Trois Grognards, Kapten Grogg, Gaston grognon; none this book
F 8103 provider-missing | probed "Grog" --contains on both legs
R 9459 | "Influenca (2024)" 83pp (Silver Sprocket) is in neither catalog: re-probed "Influenca" --contains, 0 hits on both legs
F 9459 provider-missing | probed "Influenca" --contains on both legs
R 10535 | "LSBN (2021) (Silver Sprocket)" 80pp is in neither catalog: re-probed "LSBN" --contains, 0 hits on both legs
F 10535 provider-missing | probed "LSBN" --contains on both legs
R 11049 | "Lucky Cap Scouts (2024)" 46pp (Silver Sprocket) is in neither catalog: re-probed "Lucky Cap" --contains, 0 hits on both legs
F 11049 provider-missing | probed "Lucky Cap" --contains on both legs
R 11848 | "Matchmaker (2023)" 283pp (Silver Sprocket) is in neither catalog: re-probed "Matchmaker" --contains - only Ravette's "Snoopy Features as The Matchmaker" (2000) on both legs
F 11848 provider-missing | probed "Matchmaker" --contains on both legs
R 12511 | "My Body Unspooling (2024)" 38pp (Silver Sprocket) is in neither catalog: re-probed "Unspooling" --contains, 0 hits on both legs
F 12511 provider-missing | probed "Unspooling" --contains on both legs
R 13162 | "Of Thunder & Lightning (2023)" 84pp (Silver Sprocket) is in neither catalog: re-probed "Thunder and Lightning" (0) and "Thunder & Lightning" --contains (only Mind Wave's 2016 preview)
F 13162 provider-missing | probed "Thunder and Lightning", "Thunder & Lightning" (--contains) on both legs
R 14252 | "Putty Pygmalion (2024) (Silver Sprocket)" 78pp is in neither catalog: re-probed "Putty" --contains - only DC's 1978 Silly Putty Man giveaways
F 14252 provider-missing | probed "Putty" --contains on both legs
R 14348 | "Radlands - Pinups by El Sub (2020) (ADULT)" 22pp (EAN 9781945509513, a Silver Sprocket ISBN) is in neither catalog: re-probed "Radlands" --contains - CV 59602 (no year, no publisher) and Bluewater's 2012 "Radlands: The Ballad of Emmerson Lonestar" (GCD 108065), neither this portfolio
F 14348 provider-missing | probed "Radlands" --contains on both legs
R 15720 | the 0.7 is refused: "Skin Deep (2024) (Silver Sproket)" 33pp against the stored CV 121299 "Skin Deep" (self published 2017, 3) - year and publisher both disagree, and re-probing "Skin Deep" --contains finds no 2024 or Silver Sprocket row (Kabuki: Skin Deep, Fantagraphics 2001/2009, Spider-Man, Colero, Harlequin, Plesiosaur Bones' "Skin Deep: Exchanges" 2018); the book's own record is not in our data
F 15720 provider-missing | probed "Skin Deep" --contains on both legs
F 15720 wrong-cv-link | the stored CV 121299 (self published 2017, 3 issues) is not this 2024 Silver Sprocket book
R 17018 | "Sugar and Other Stories (2023)" 163pp (Silver Sprocket) is in neither catalog: re-probed "Sugar and Other" --contains, 0 hits on both legs
F 17018 provider-missing | probed "Sugar and Other" --contains on both legs
R 18219 | "The Chromatic Fantasy (2023) (ADULT)" 312pp (ComicInfo Publisher Silver Sprocket) is in neither catalog: re-probed "Chromatic" --contains - only Krazy & Ignatz and Dragon Maid colour editions
F 18219 provider-missing | probed "Chromatic" --contains on both legs
