# R-173 — revisit of 50 Marvel shelves from the X-Men family tail (Complete Chronology V2, _X-Men TPBs, the Skottie Young
# covers bucket, the Infinite Comics folders): seven per-book X-Men Epic shelves that now JOIN the line shelf S22349 (L-409),
# and a long run of C-05x "dominant + residue named not merged" shelves re-read under the later rulings (L-368 / L-388 /
# L-391): residue whose run has a live shelf now JOINS it (Gambit 1993 -> S97095, X-Force / Champions '98 -> S22196, X-Men
# Forever 2 -> S22365, Uncanny X-Force 2013 -> S94816, Nightcrawler 2004 -> S65353, Punisher 2014 / 2016 covers ->
# S94683 / S94684); a whole second mini with NO shelf is a co-equal run -> R + split-needed (Rogue 1995, Amazing X-Men
# 1995, Magneto 1996). Surprise: Damage Control "V2" files are the Dec 1989 Acts of Vengeance mini, GCD 3973, not the
# stored-by-name GCD 3972 (May 1989); two TPB singletons are later editions than their stored records.

# ---- The X-Men Annual (1992) (also in R-172) ----
S 102429 cv=10748 gcd=11656 0.9 | The X-Men Annual (Marvel 1992-1994, 3): CV 10748 (1992, 3 cached #1-3) and GCD 11656 (Marvel 1992-1994, 3) agree on publisher, span and count; our #1 (86000 53pp and 87803 64pp, joined by P-074), #2 (88009) and #3 (88143) fill the ladder 1-3 at 53-64pp, ComicInfo Web 90586 = CV 10748 #3; 0.9 for two annuals of other records - X-Men '99 (89006) and X-Men Annual 2007 (90652)
F 94742 wrong-cv-link | the per-file CV 4604 (X-Force 1991, 130) on 38/38 files is the legacy volume stamped by title (L-174); GCD's per-file 151885 (X-Force 2020) on the two Complete Collection books is wrong too; the stored 20511 is right
I 85764 cv=- gcd=2609478 isbn=978-0-7851-8966-4 0.9 | "COL X-Force by Kyle and Yost Complete Collection Book 01 (2021)" 368pp = GCD 208982 "X-Force by Craig Kyle & Chris Yost: The Complete Collection" #1 row 2609478 (388pp; roll-up s29506 #1-13 + X-Force Annual 2010 + Ain't No Dog); CV's record is not in our data
I 85765 cv=- gcd=2609479 isbn=978-0-7851-9000-4 0.9 | "COL X-Force by Kyle and Yost Complete Collection Book 02 (2021)" 368pp = GCD 208982 #2 row 2609479 (388pp; roll-up s29506 #17-25 + Sex and Violence #1-3 + X Necrosha #1); CV's record is not in our data
C 85765 gcd=51425 #1-3 0.9 | X-Force: Sex and Violence (Marvel 2010, 3-issue mini; GCD 51425): GCD row 2609479's roll-up reprints s51425 #1-3 inside Complete Collection Book 02

S 103057 cv=33321 gcd=- 0.9 | Astonishing Tales: Wolverine/Punisher (Marvel Digital Comics Unlimited 2008, 6 chapters): six 8-9pp "Astonishing Tales - Wolverine Punisher 001-006 Marvel Digital Comics Exclusive" files in the Chronology slot 0830 match CV 33321 by title and the 6-chapter count; ladder 1-6 complete; GCD has no series for the digital chapters
F 103057 needs-fetch cv=33321 | "Astonishing Tales: Wolverine/Punisher" (2008, 6) is named from the rip and has no CvVolume row
F 103057 provider-missing | GCD has no series for the digital-exclusive Wolverine/Punisher chapters (its 34120 is the 2009 print Astonishing Tales)
N 103057 the per-file CV 25642 "Astonishing Tales" 2009 (6) is the print anthology that later reprinted these chapters among others; 8-9pp files are the digital chapters, not the print issues

S 22299 cv=32271 gcd=46027 0.9 | X-Men: Second Coming (Marvel 2010, 2-issue bookend mini): CV 32271 (2010, 2 cached) and GCD 46027 (Marvel 2010, [limited series] 2) agree; our ladder 1-2 at 33-38pp is the mini; 0.9 for item 91443 "X-Men - Second Coming - Prepare" 29pp, the separate Second Coming: Prepare one-shot (CV 31667 / GCD 44475, no shelf)
N 22299 A-027's F needs-fetch cv=32271 is spent - CV 32271 is now cached with both issues
I 91443 cv=198355 gcd=731644 isbn=- 0.9 | "000 X-Men - Second Coming - Prepare" 29pp = CV 31667 "Second Coming: Prepare" issue 198355 and GCD 44475 row 731644 (32pp)

S 66372 cv=26670 gcd=37856 0.9 | X-Men Forever (Marvel 2009-2010, 24): CV 26670 (2009, 24 cached) and GCD 37856 (Marvel 2009-2010, 24; per-file on 35/47) agree on publisher, span and count; our ladder 1-24 and the run's own five trades (GCD 63122 rows, notes #1-5 ... #21-24) are one run; 0.9 for X-Men Forever Alpha (91213) and X-Men Forever Annual #1 (91481), one-shots with their own records, and the sixteen sequel issues split below
F 66372 split-needed | items 91522-91526, 91577-91581, 91659-91664 ("X-Men Forever 2 001-016 (2010-2011)", 24-26pp, 16 files) are X-Men Forever 2 (Marvel 2010-2011, 16; CV 33670 / GCD 49795), which S22365 stores with its three trades (lookup --who-stores cv=33670) -> join S22365 on its ParsedKey "X-Men Forever 2" (L-368 / L-388)
N 66372 C-057's F needs-fetch cv=26670 and F provider-missing are spent - CV 26670 is cached (24 issues) and GCD holds the five trades as series 63122; GCD's per-file 90303 (Panini España, 10 files) is a foreign stamp
I 86200 cv=187205 gcd=912162 isbn=978-0-7851-3679-8 0.95 | "COL X-Men Forever Vol. 1 - Picking Up Where We Left Off (2009)" 128pp = CV 30385 issue 187205 and GCD 63122 #1 row 912162 (124pp; notes #1-5)
I 86201 cv=246741 gcd=912163 isbn=978-0-7851-3680-4 0.95 | "COL X-Men Forever Vol. 2 - The Secret History of the Sentinels (2010)" 122pp = CV 37000 issue 246741 and GCD 63122 #2 row 912163 (124pp; notes #6-10)
I 86202 cv=246748 gcd=912164 isbn=978-0-7851-3681-1 0.95 | "COL X-Men Forever Vol. 3 - Come To Mother... Russia! (2010)" 126pp = CV 37003 issue 246748 and GCD 63122 #3 row 912164 (124pp; notes #11-15)
I 86203 cv=246749 gcd=912165 isbn=978-0-7851-4435-9 0.95 | "COL X-Men Forever Vol. 4 - Devil in a White Dress (2010)" 154pp = CV 37004 issue 246749 and GCD 63122 #4 row 912165 (156pp; notes #16-20 + X-Men Forever Annual #1)
C 86203 cv=32678 gcd=48224 #1-1 0.9 | X-Men Forever Annual (Marvel 2010, one-shot; CV 32678 / GCD 48224): GCD row 912165's notes put the Annual #1 inside Vol. 4 beside #16-20
I 86204 cv=240139 gcd=912166 isbn=978-0-7851-4436-6 0.95 | "COL X-Men Forever Vol. 5 - Once More... Into the Breach (2010)" 151pp = CV 36377 issue 240139 and GCD 63122 #5 row 912166 (132pp; notes #21-24 + Giant-Size #1)
C 86204 cv=33569 gcd=49509 #1-1 0.9 | X-Men Forever Giant-Size (Marvel 2010, one-shot; CV 33569 / GCD 49509): GCD row 912166's notes put Giant-Size #1 inside Vol. 5 beside #21-24
I 91213 cv=157718 gcd=640190 isbn=- 0.95 | "001 X-Men Forever (Alpha cover) (2009) 97p" 97pp = CV 26432 "X-Men Forever Alpha" issue 157718 and GCD 37093 row 640190 (104pp, 2009-05-20)
I 91481 cv=208797 gcd=756652 isbn=- 0.9 | "005 X-Men Forever Annual 001 (2010)" 29pp = CV 32678 "X-Men Forever Annual" issue 208797 and GCD 48224 row 756652 (44pp); 29pp is short, so 0.9

S 102371 cv=69572 gcd=77848 0.9 | Deadpool Annual (Marvel 2014, 2): CV 69572 (2013, 2 cached) and GCD 77848 (Marvel 2014, 2) agree on publisher and count; our "Deadpool Annual 01 / 02 (2014)" (92492 25pp, 92664 32pp) fill the ladder; 0.9 for item 91735 "Deadpool Annual 001 (2011)", the separate 2011 one-shot (CV 39973 / GCD 58010, no shelf)
F 102371 wrong-cv-link | the per-file CV 6000 (Deadpool 1997, 71) on 3/3 files is the monthly's volume; GCD's per-file 82333 / 55359 are German Panini editions; the stored 69572 / 77848 are right
I 91735 cv=269530 gcd=825027 isbn=- 0.9 | "002 Deadpool Annual 001 (2011)" 34pp = CV 39973 "Deadpool Annual" 2011 issue 269530 "Identity Wars, Part 2 of 3" and GCD 58010 row 825027 (44pp)

# ---- event and ongoing shelves ----
S 1657 cv=47331 gcd=64737 0.9 | Avengers vs. X-Men (Marvel 2012, #0-12): CV 47331 (2012, 13 cached #0-12) and GCD 64737 (Marvel 2012, [limited series] 13; per-file on 13/15) agree on publisher, year and count; every filename carries "(of 12)" over a ladder 0-12; 0.9 for the 1551pp Omnibus (117983), a book spanning a dozen runs, and the 347pp collection 117984 whose own record is not settled
N 1657 the Omnibus's "RANGE CONTRADICTED" is a notes artefact: GCD row 2446263's notes clause names only the print versions of the Infinite chapters, while its roll-up reprints s64737 #0-12 (14 stories), which is the judged #0-12
I 117983 cv=1121754 gcd=2446263 isbn=- 0.9 | "COL Avengers vs. X-Men Omnibus (2022)" 1551pp = CV 165709 issue 1121754 and GCD 191848 row 2446263 (1688pp); twin row 2447407 caps it at 0.9
C 117983 gcd=61973 #11-20 0.9 | Uncanny X-Men (Marvel 2012, GCD 61973): GCD row 2446263's roll-up reprints s61973 #11-20 (10 stories) inside the AvX Omnibus
C 117983 gcd=61815 #9-16 0.9 | Wolverine & the X-Men (Marvel 2011, GCD 61815): GCD row 2446263's roll-up reprints s61815 #9-16 and #18 - #9-16 is the larger stretch
C 117983 gcd=50320 #24-30 0.9 | New Avengers (Marvel 2010, GCD 50320): GCD row 2446263's roll-up reprints s50320 #24-30 (7 stories) inside the AvX Omnibus
C 117983 gcd=65215 #1-6 0.9 | AVX: Vs (Marvel 2012, 6-issue mini, GCD 65215): GCD row 2446263's roll-up reprints s65215 #1-6 (7 stories) inside the AvX Omnibus
C 117983 gcd=48969 #25-30 0.9 | Avengers (Marvel 2010, GCD 48969): GCD row 2446263's roll-up reprints s48969 #25-30 (6 stories) inside the AvX Omnibus
C 117983 gcd=68996 #1-5 0.9 | AVX: Consequences (Marvel 2012, 5-issue mini, GCD 68996): GCD row 2446263's roll-up reprints s68996 #1-5 (5 stories) inside the AvX Omnibus
C 117983 cv=20691 gcd=29823 #266-270 0.9 | X-Men: Legacy (Marvel 2008-2012; CV 20691 / GCD 29823): GCD row 2446263's roll-up reprints s29823 #266-270 (5 stories) inside the AvX Omnibus
C 117983 gcd=49641 #29-33 0.9 | Avengers Academy (Marvel 2010, GCD 49641): GCD row 2446263's roll-up reprints s49641 #29-33 (5 stories) inside the AvX Omnibus
C 117983 gcd=49024 #26-28 0.9 | Secret Avengers (Marvel 2010, GCD 49024): GCD row 2446263's roll-up reprints s49024 #26-28 (3 stories) inside the AvX Omnibus
I 117984 cv=395413 gcd=- isbn=- 0.7 | "Avengers vs. X-Men (2019)" 347pp (~27pp x 13) fits a collection of #0-12 alone; the nearest record is CV 59406 "Avengers Vs X-Men" 2013 issue 395413 "TPB"; A-027's GCD 81316 (row 1213444, 576pp, adds AVX Vs and Point One) is far larger, so no GCD row is chosen and 0.7 sends it to review

S 20686 cv=35835 gcd=52634 0.9 | Uncanny X-Force (Marvel 2010-2013, #1-35 incl. #5.1 / #19.1): CV 35835 (2010, 37 cached) and GCD 52634 (Marvel 2010-2013, 37; per-file on 38/63) agree on publisher, span and count; our ladder 1-35 and the run's own seven trades (GCD roll-ups s52634 #1-4 ... #30-35) are one run; 0.9 for the 2013 relaunch's 17 issues and its #1 variant cover, split below
F 20686 split-needed | items 92324-92328, 92404-92410, 92512-92514, 92613, 92615 ("Uncanny X-Force 001-017 (2013-2014)" 19-23pp, 17 files, per-file GCD 71285) and 52035 "Uncanny X-Force 001 (2013) (Skottie Young 'Baby' Variant)" 1pp are Uncanny X-Force (Marvel 2013-2014, 17; CV 56119 / GCD 71285), which S94816 stores with its three trades (lookup --who-stores cv=56119) -> join S94816 on its ParsedKey "Uncanny X-Force v2 (2013)" (L-368 / L-388)
N 20686 the packet's "stored GCD row is another book" warnings on 85771 / 85772 are false: GCD 217436 numbers the Final Execution sub-line Book 1 / 2 (#1 / #2), which are our Vol. 06 / 07 - the roll-ups s52634 #25-29 and #30-35 are those books'
I 85766 cv=265567 gcd=- isbn=- 0.9 | "COL Uncanny X-Force Vol. 01 - Apocalypse Solution (2011)" 105pp is CV 40452 issue 265567 (a twin CV volume 52450 / issue 359002 also exists); GCD's per-book row is not in our data
I 85767 cv=282616 gcd=2762005 isbn=978-0-7851-4856-2 0.9 | "COL Uncanny X-Force Vol. 02 - Deathlok Nation (2011)" 103pp is CV 41619 issue 282616 / GCD 226630 row 2762005 (120pp)
I 85768 cv=303674 gcd=- isbn=- 0.9 | "COL Uncanny X-Force Vol. 03 - Dark Angel Saga Book 1 (2012)" 138pp is CV 44153 issue 303674; GCD's per-book row is not in our data
I 85769 cv=321185 gcd=- isbn=- 0.9 | "COL Uncanny X-Force Vol. 04 - Dark Angel Saga Book 2 (2012)" 136pp is CV 46564 issue 321185; GCD's per-book row is not in our data
I 85770 cv=341555 gcd=2690830 isbn=978-0-7851-6181-3 0.9 | "COL Uncanny X-Force Vol. 05 - Otherworld (2012)" 130pp is CV 49802 issue 341555 / GCD 219165 row 2690830 (144pp)
I 85771 cv=365039 gcd=2675179 isbn=978-0-7851-6183-7 0.9 | "COL Uncanny X-Force Vol. 06 - Final Execution Book 1 (2012)" 105pp is CV 53665 issue 365039 (Book 1) / GCD 217436 row 2675179 (128pp)
I 85772 cv=386457 gcd=2682559 isbn=978-0-7851-6185-1 0.9 | "COL Uncanny X-Force Vol. 07 - Final Execution Book 2 (2013)" 152pp is CV 53665 issue 386457 (Book 2) / GCD 217436 row 2682559 (168pp)

S 21804 cv=65112 gcd=- 0.9 | Wolverine: Japan's Most Wanted: Infinite Comic (Marvel 2013, 13 chapters): our thirteen files 001-013 at 57-82pp are the vertical Infinite Comic format; CV 65112 (2013, 13 cached #1-13) matches the ladder 1-13 exactly; GCD indexes no Marvel Infinite Comic; the 848pp Digital HC (98054, judged #1-13) is the serial's own collection
F 21804 wrong-cv-link | the per-file CV 72489 "Wolverine: Japan's Most Wanted" 2014 (the HC record, issue 448253) on 14/14 files is the collected edition, not the thirteen chapters; the stored 65112 is right
F 21804 provider-missing | GCD indexes no Marvel Infinite Comic; its only row here is 212994, the 2014 HC, so the serial itself has no GCD leg
I 98054 cv=448253 gcd=2636735 isbn=978-0-7851-8459-1 0.9 | "COL Wolverine - Japan's Most Wanted (2013) (Digital HC)" 848pp = CV 72489 issue 448253 "HC" and GCD 212994 row 2636735 (2014-03-19); the print HC is 172pp, our 848pp is the digital edition in the Infinite chapters' vertical form, so pages do not check it

S 101458 cv=58822 gcd=72814 0.95 | Wolverine (Marvel 2013-2014, 13): CV 58822 (2013, 13 cached) and GCD 72814 (Marvel 2013-2014, 13; per-file on 11/15) agree on publisher, span and count; our ladder 1-13 at 22-24pp is the run and its two trades Vol. 01 (judged #1-4) and Vol. 02 (#7-13) are its own editions (GCD 179035 rows), so they cost nothing
F 101458 wrong-cv-link | the per-file CV 69993 (Panini Comics "Wolverine" 1989, Italian, 445) on 13/15 files is the franchise-wide foreign stamp (L-313); GCD's per-file 78901 (Wolverine 2014) / 75458 / 179035 picks on the two trades are page-rematches; the stored 58822 is right
N 101458 the packet's stored GCD row on 97863 (1128972, Wolverine 2003 #50-55 "Evolution") is another book: the Hunting Season trade's own row is GCD 179035 #1 row 2485373
I 97863 cv=421839 gcd=2485373 isbn=978-0-7851-8396-9 0.9 | "COL Wolverine Vol. 01 - Hunting Season (2013)" 147pp = CV 66376 issue 421839 (Volume 1) and GCD 179035 #1 row 2485373 "Hunting Season" (136pp)
I 97864 cv=447800 gcd=2508467 isbn=978-0-7851-8397-6 0.95 | "COL Wolverine Vol. 02 - Killable (2014)" 165pp = CV 72370 issue 447800 (Volume 2) and GCD 179035 #2 row 2508467 "Killable" (164pp; roll-up s72814 #7-13)

S 277 cv=53535 gcd=69648 0.95 | A+X (Marvel 2012-2014, 18-issue limited series): CV 53535 (2012, 18 cached) and GCD 69648 (Marvel 2012-2014, 18) agree on publisher, span and count; our ladder 1-18 and the run's own three trades (GCD roll-ups s69648 #1-6, #7-12, #13-18, 3/3 judged fit) are one run, plus a 1pp Skottie Young variant of #1
N 277 GCD's per-file majority (74465, Editorial Televisa's Mexican A+X, 11/22) is a foreign stamp; the English leg is 69648
I 98191 cv=404917 gcd=1161342 isbn=978-0-7851-6674-0 0.95 | "COL A+X Vol. 01 - =Awesome (2013)" 141pp = CV 61870 "A+X: A+X = Awesome" issue 404917 "Volume 1" and GCD 77792 row 1161342 (148pp; roll-up s69648 #1-6)
I 98192 cv=433960 gcd=1161371 isbn=978-0-7851-6675-7 0.95 | "COL A+X Vol. 02 - = Amazing (2014)" 139pp = CV 69382 "A+X: A+X = Amazing" issue 433960 "Volume 2" and GCD 77792 row 1161371 (148pp; roll-up s69648 #7-12)
I 98193 cv=- gcd=1207350 isbn=978-0-7851-9011-0 0.9 | "COL A+X Vol. 03 - = Outstanding (2014)" 138pp = GCD 77792 row 1207350 (140pp; roll-up s69648 #13-18); CV 74201 "A+X: A+X = Outstanding" is that book's volume but its issue id is not in our data

S 101522 cv=62383 gcd=74679 0.95 | X-Men (Marvel 2013-2015, 26): CV 62383 (2013, 26 cached) and GCD 74679 (Marvel 2013-2015, 26; per-file on 26/31) agree on publisher, span and count; our ladder 1-26 (with #10.NOW) and the run's own five trades (GCD 90787 rows, judged #1-4 ... #19-22) are one run
F 101522 wrong-cv-link | the per-file CV 43640 (Panini France "X-Men" 1997) on 26/31 files is the franchise-wide foreign stamp (L-313); the stored 62383 is right
N 101522 the packet's stored GCD row on 86027 (591682, Uncanny X-Men #362-363 + X-Men 1991 #82-83) is another book: Primer's own row is GCD 90787 #1 row 1435868
I 86027 cv=434075 gcd=1435868 isbn=978-0-7851-6800-3 0.95 | "COL X-Men Vol. 01 - Primer (2013)" 118pp = CV 69431 issue 434075 (Volume 1) and GCD 90787 #1 row 1435868 "Primer" (120pp)
I 86028 cv=452023 gcd=1435869 isbn=978-0-7851-6801-0 0.95 | "COL X-Men Vol. 02 - Muertas (2014)" 136pp = CV 73546 issue 452023 (Volume 2) and GCD 90787 #2 row 1435869 "Muertas" (140pp; roll-up s74679 #7-12)
I 86029 cv=467955 gcd=1435870 isbn=978-0-7851-8972-5 0.95 | "COL X-Men Vol. 03 - Bloodline (2014)" 113pp = CV 77542 issue 467955 (Volume 3) and GCD 90787 #3 row 1435870 "Bloodline" (116pp; roll-up s74679 #13-17)
I 86030 cv=480192 gcd=1435871 isbn=978-0-7851-9233-6 0.95 | "COL X-Men Vol. 04 - Exogenous (2015)" 109pp = CV 80181 issue 480192 (Volume 4) and GCD 90787 #4 row 1435871 "Exogenous" (116pp; roll-up s74679 #18-22)
I 86031 cv=495282 gcd=1435872 isbn=978-0-7851-9726-3 0.95 | "COL X-Men Vol. 05 - The Burning World (2015)" 97pp = CV 83328 issue 495282 (Volume 5) and GCD 90787 #5 row 1435872 "The Burning World" (100pp; roll-up s74679 #23-26)

R 11209 | two co-equal runs and a one-shot share this shelf: Magneto (Marvel 2014-2015, 21; CV 72111 / GCD 79393) - issues 001-021 (21-23pp) with Chronology second rips of #9-12 and its four trades (GCD 91092 rows); Magneto (Marvel 1996-1997, 4-issue miniseries; CV 7196 / GCD 7756) - "Magneto 01-04 (of 04) (1996)" 35-36pp, the whole mini, which no shelf stores (lookup --who-stores cv=7196: 0 Series rows; key "Magneto (1996)" owned by no Series); and the Magneto (2011) one-shot (CV 38622 / GCD 55241); a whole second mini is a co-equal run (L-368 / L-388), so C-057's "named not merged" S cannot stand
F 11209 split-needed | Magneto (2014, CV 72111 / GCD 79393) stays with its issues and four trades; items 88489 / 88490 / 88491 / 88492 -> new key "Magneto (1996)" (CV 7196 issues 106972 / 51334-51336, GCD 7756 rows 125713 / 68914-68916; "(of 04) (1996)" on every file); item 91707 "001 Magneto 001 (2011)" 25pp -> new key "Magneto (2011)" (one-shot, CV 38622 issue 259182 / GCD 55241 row 873617)
N 11209 C-057's F provider-missing is spent - GCD holds the four trades as series 91092 (rows 1444106 / 1444107 / 1444105 / 1473939)
I 84697 cv=467221 gcd=1444106 isbn=978-0-7851-8987-9 0.95 | "COL Magneto Vol. 01 - Infamous (2014)" 131pp = CV 77330 issue 467221 and GCD 91092 #1 row 1444106 "Infamous" (140pp); judged #1-6
I 84698 cv=477168 gcd=1444107 isbn=978-0-7851-8988-6 0.95 | "COL Magneto Vol. 02 - Reversals (2015)" 133pp = CV 79619 issue 477168 (Volume 2) and GCD 91092 #2 row 1444107 "Reversals" (116pp; roll-up s79393 #7-12)
I 84699 cv=496393 gcd=1444105 isbn=978-0-7851-9386-9 0.95 | "COL Magneto Vol. 03 - Shadow Games (2015)" 110pp = CV 83584 issue 496393 (Volume 3) and GCD 91092 #3 row 1444105 "Shadow Games" (116pp; roll-up s79393 #13-17)
I 84700 cv=502865 gcd=1473939 isbn=978-0-7851-9805-5 0.95 | "COL Magneto Vol. 04 - Last Days (2015)" 134pp = CV 85298 issue 502865 (Volume 4) and GCD 91092 #4 row 1473939 "Last Days" (132pp; roll-up s79393 #18-21)
I 91707 cv=259182 gcd=873617 isbn=- 0.95 | "001 Magneto 001 (2011)" 25pp = CV 38622 "Magneto" 2011 issue 259182 "First X-Man in Brooklyn!" and GCD 55241 [one-shot] row 873617 (36pp, 2011-01-26)

S 64466 cv=73677 gcd=80564 0.9 | Cyclops (Marvel 2014-2015, 12): CV 73677 (2014, 12 cached) and GCD 80564 (Marvel 2014-2015, 12; per-file on 13/16) agree on publisher, span and count; our ladder 1-12 (with a 1pp Sorrentino variant of #12) and the run's own two trades (GCD 90347 rows) are one run; 0.9 for item 91710 "Cyclops v1 001 (2011)", the separate 2011 one-shot (CV 39519 / GCD 56850, no shelf)
N 64466 flag #209 label-ambiguous (item 91710) is a label question: "Cyclops v1 001" is a single issue, the 2011 one-shot - answered here, no stale-flag (L-367); C-057's F needs-fetch cv=73677 is spent (CV 73677 is cached)
I 84403 cv=474129 gcd=1430060 isbn=978-0-7851-9075-2 0.95 | "COL Cyclops Vol. 01 - Starstruck (2014)" 102pp = CV 78949 issue 474129 (Volume 1) and GCD 90347 #1 row 1430060 "Starstruck" (114pp; roll-up s80564 #1-5)
I 84404 cv=493537 gcd=1430061 isbn=978-0-7851-9076-9 0.95 | "COL Cyclops Vol. 02 - A Pirate's Life For Me (2015)" 147pp = CV 82917 issue 493537 (Volume 2) and GCD 90347 #2 row 1430061 (160pp; roll-up s80564 #6-12)
I 91710 cv=267112 gcd=815756 isbn=- 0.95 | "004 Cyclops v1 001 (2011)" 24pp = CV 39519 "Cyclops" 2011 issue 267112 and GCD 56850 [one-shot] row 815756 (36pp, 2011-03-30)

S 65354 cv=72934 gcd=80107 0.9 | Nightcrawler (Marvel 2014-2015, 12): CV 72934 (2014, 12 cached) and GCD 80107 (Marvel 2014-2015, 12; per-file on 14/18) agree on publisher, span and count; our "Nightcrawler v4 001-012" ladder and the run's own two trades (GCD 89549 rows) are one run; 0.9 for two books of the 2004 Nightcrawler run split below
F 65354 split-needed | items 84845 "COL Nightcrawler Vol. 02 - The Winding Way (2006)" 142pp and 90220 "006 Nightcrawler 012 (2006)" 22pp belong to Nightcrawler (Marvel 2004-2006, 12; CV 18700 / GCD 17805), which S65353 stores with #1-11 and its Vol. 01 trade (lookup --who-stores cv=18700) -> join S65353 on its ParsedKey "Nightcrawler (2004)" (L-368 / L-388)
N 65354 flag #357 label-ambiguous (item 92687) is a label question: "Nightcrawler v4 001-012" are single issues of this run - answered here, no stale-flag (L-367); C-057's F needs-fetch cv=72934 is spent (CV 72934 is cached)
I 84845 cv=186605 gcd=- isbn=- 0.9 | "COL Nightcrawler Vol. 02 - The Winding Way (2006)" 142pp is CV 30285 issue 186605 (Volume 2) of the 2004 run's trades; GCD's row for it is not in our data; it moves to S65353 by the split
I 84846 cv=470121 gcd=1371447 isbn=978-0-7851-9084-4 0.95 | "COL Nightcrawler Vol. 01 - Homecoming (2014)" 123pp = CV 78137 issue 470121 (Volume 1) and GCD 89549 #1 row 1371447 "Homecoming" (140pp; roll-up s80107 #1-6)
I 84847 cv=489908 gcd=1374274 isbn=978-0-7851-9085-1 0.95 | "COL Nightcrawler Vol. 02 - Reborn (2015)" 126pp = CV 82250 issue 489908 (Volume 2) and GCD 89549 #2 row 1374274 "Reborn" (140pp; roll-up s80107 #7-12)

R 912 | two co-equal runs share this shelf: Amazing X-Men (Marvel 2014-2015, 19; CV 68919 / GCD 77507) - issues 001-019 (21-25pp), the 2014 Annual #1 and its three trades (GCD 90300 rows) - and Amazing X-Men (Marvel 1995, the Age of Apocalypse 4-issue mini; CV 5535 / GCD 5273) - "Amazing X-Men 01-04 (of 04) (1995)" 21-23pp, the whole mini, which no shelf stores (lookup --who-stores cv=5535: 0 Series rows); a whole second mini is a co-equal run (L-368 / L-388), so C-057's "named not merged" S cannot stand
F 912 split-needed | Amazing X-Men (2014, CV 68919 / GCD 77507) stays with its issues, Annual #1 (GCD 81118) and three trades; items 88211 / 88214 / 88225 / 88238 -> new key "Amazing X-Men (1995)" (CV 5535 issues 40581 / 105543 / 40844 / 40967, GCD 5273 rows 56733 / 56892 / 57036 / 57181; "(of 04) (1995)" on every file)
N 912 C-057's F needs-fetch cv=68919 is spent - CV 68919 now has a row with #1-19 cached
I 84252 cv=456825 gcd=1429073 isbn=978-0-7851-8821-6 0.95 | "COL Amazing X-Men Vol. 01 - The Quest For Nightcrawler (2014)" 138pp = CV 75009 issue 456825 (Volume 1) and GCD 90300 #1 row 1429073 (140pp; roll-up s77507 #1-6)
I 84253 cv=474812 gcd=1429074 isbn=978-0-7851-8822-3 0.95 | "COL Amazing X-Men Vol. 02 - World War Wendigo (2014)" 132pp = CV 79073 issue 474812 (Volume 2) and GCD 90300 #2 row 1429074 "World War Wendigo" (140pp)
I 84254 cv=- gcd=1429075 isbn=978-0-7851-9248-0 0.9 | "COL Amazing X-Men Vol. 03 - Once and Future Juggernaut (2015)" 175pp = GCD 90300 #3 row 1429075 (188pp; roll-up s77507 #13-19 + Annual #1); CV's per-book record is not in our data
C 84254 gcd=81118 #1-1 0.9 | Amazing X-Men Annual (Marvel 2014, one-shot; GCD 81118): GCD row 1429075's roll-up reprints s81118 #1 (3 stories) inside Vol. 03

# ---- X-Factor by Peter David Omnibus (also in R-172) ----
S 22172 cv=138276 gcd=174889 0.95 | the X-Factor by Peter David Omnibus LINE: CV 138276 (Marvel 2021, 4; issues 879518 / 958385 / 1048071 / 1122457) and GCD 174889 (Marvel 2021-2025, 4) agree on publisher, year and count; our four books are Vol. 1 (824pp vs row 2253647's 856pp), two rips of Vol. 2 (1093 / 1092pp vs row 2457553's 1136pp) and Vol. 3 (1118pp vs row 2613083's 1168pp); the line spans X-Factor 1986, X-Factor 2006 and Madrox 2004, so it keeps its own identity (L-109 / L-318)
N 22172 item 85996 "Omnibus Book 01 (2023)" is Vol. 2 by page count and year, not Vol. 1 (R-136); P-074 joined the real Vol. 1 (92972) here
I 85996 cv=958385 gcd=2457553 isbn=978-1-302-94522-0 0.9 | "COL X-Factor by Peter David Omnibus Book 01 (2023)" 1093pp is Vol. 2, not Vol. 1: Vol. 1 (GCD row 2253647) is 856pp of X-Factor 1986, while this file matches Vol. 2's page count = CV 138276 #2 issue 958385 and GCD 174889 #2 row 2457553 (1136pp)
C 85996 cv=18109 gcd=16465 #1-39 0.9 | X-Factor (Marvel 2006, 114 issues): the same Vol. 2 book as 92973 (1093pp against GCD 2457553's 1136pp), which reprints X-Factor (2006) #1-39
C 85996 cv=11181 gcd=12116 #1-5 0.9 | Madrox (Marvel 2004, 5 issues; CV 11181 / GCD 12116): the same Vol. 2 book as 92973, whose GCD row 2457553 reprints Madrox #1-5
I 92972 cv=879518 gcd=2253647 isbn=978-1-302-93065-3 0.95 | "COL X-Factor by Peter David Omnibus v01 (2021)" 824pp = CV 138276 issue 879518 "Volume 1" and GCD 174889 #1 row 2253647 (856pp, 2021-08-11)
C 92972 cv=3657 gcd=3209 #70-92 0.95 | Omnibus Vol. 1 collects X-Factor (Marvel 1986-1998, 150; CV 3657 / GCD 3209) #70-92 per GCD row 2253647's roll-up (plus #55, Annuals #5-8, Incredible Hulk #390-392)
