# R-105 — S.2 triaged 0.9 tier: 48 DC shelves that won at 0.9 and carry a signal (triage.tsv). Each signal answered.
# The dominant signal is (b) the per-file wrong-relaunch / legacy stamp (Green Lantern 1960, Harley Quinn 2016,
# Injustice Year One, JLA 1960, Legion v3, Nightwing 1996, Power Girl …) — benign every time the shelf's own ladder, years
# and GCD leg agree; (e) big shelves were grepped for New 52 / Rebirth read-order rips (L-365); (c) RANGE CONTRADICTED
# flags were all "stored GCD row is another book" stamps except where noted. Many X-010/X-011 I lines cited a foreign or
# another book's GCD row at 0.7 — restated here with the English trade's own row where `--gcd-issues` shows it.

# --- Green Lantern (2005)
S 64826 cv=18216 gcd=13519 0.9 | signals b (per-file CV 2839, GL 1960, on 91/110) and e (110 files) are benign: the Johns Green Lantern (DC 2005) = CV 18216 (67, cached #1-67) = GCD 13519 (2005-2011, 67); ladder 1-42, 44-59 in "Green Lantern v4 NN" rips, the Oa read-order folders (Blackest Night #43-52, Brightest Day #53-59 — all GL 2005 numbers, dated 2009-2010, no New 52 issue among them) and Vol. 01-10 + Book 04 whose GCD roll-ups are all s13519; #43 joins from S34675 (below); 0.9 for Vol. 11 (War of the Green Lanterns: Aftermath), which collects no issue of this run
S 9489 cv=94582 gcd=110046 0.9 | signal e (24 files) is benign; the GCD leg is added the way Years Two-Five landed: "Injustice - Ground Zero 001-022" (flat 25pp) are digital chapters of CV 94582 (DC 2016, 24, cached #1-24) and GCD 110046 (2017, 12) is the same comic in print issues of two chapters; Vol. 01/02 are its trades (GCD 115240); 0.9 for the two chunkings
F 9489 needs-fetch cv=94582 | the digital-chapter volume has no CvVolume row — named from the local rip
I 66345 cv=606579 gcd=1720272 isbn=978-1-4012-7293-7 0.9 | "COL Injustice - Ground Zero Vol. 01 (2017)" 146pp = CV 102598 #1 issue 606579 "Volume 1" and GCD 115240 #1 row 1720272 (2017-07-05, 152pp) — the stored row 1737100 is Vol. 02
I 66346 cv=625284 gcd=1737100 isbn=978-1-4012-7388-0 0.9 | "COL Injustice - Ground Zero Vol. 02 (2017)" 138pp = CV 102598 #2 issue 625284 and GCD 115240 #2 row 1737100 (2017-09-27, 144pp, collects #7-12)

# --- Injustice 2 (2017)
S 9475 cv=100663 gcd=113809 0.9 | signal e (81 files) is benign; the GCD leg added as for the Injustice years: "Injustice 2 001-072" (24-26pp) are the digital chapters of CV 100663 (DC 2017, 72, cached #1-72) and GCD 113809 (2017-2018, 36) is the same comic in print issues of two chapters; Vol. 01-06 are its trades (CV 105535 / GCD 117796); 0.9 for the two Annuals (CV 106513 / GCD 119038, their own record) and the 20pp "ELeague 001" promo
I 66422 cv=632467 gcd=1745216 isbn=9781401274412 0.9 | "COL Injustice 2 Vol. 01 (2017)" 145pp = CV 105535 #1 issue 632467 "Volume 1" and GCD 117796 #1 row 1745216 (2017-10-25 HC, 152pp, collects #1-6); SC twin 123824 row 1801274
I 66423 cv=667609 gcd=1801126 isbn=978-1-4012-7841-0 0.9 | "COL Injustice 2 Vol. 02 (2018)" 162pp = CV 105535 #2 issue 667609 and GCD 117796 #2 row 1801126 (168pp); SC twin 123824 row 1830975
I 66424 cv=678512 gcd=1830973 isbn=978-1-4012-8029-1 0.9 | "COL Injustice 2 Vol. 03 (2018)" 145pp = CV 105535 #3 issue 678512 and GCD 117796 #3 row 1830973 (152pp); SC twin 123824 row 1878781
I 66425 cv=694110 gcd=1878778 isbn=978-1-4012-8533-3 0.9 | "COL Injustice 2 Vol. 04 (2018)" 161pp = CV 105535 #4 issue 694110 and GCD 117796 #4 row 1878778 (168pp); SC twin 123824 row 1952598
I 66426 cv=706930 gcd=1952597 isbn=978-1-4012-8916-4 0.9 | "COL Injustice 2 Vol. 05 (2019)" 137pp = CV 105535 #5 issue 706930 and GCD 117796 #5 row 1952597 (152pp); SC twin 123824 row 2011835
I 66427 cv=714619 gcd=2004331 isbn=978-1-4012-9227-0 0.9 | "COL Injustice 2 Vol. 06 (2019)" 181pp = CV 105535 #6 issue 714619 and GCD 117796 #6 row 2004331 (184pp); SC twin 123824 row 2081364

# --- JSA (2025)
S 94640 cv=160863 gcd=217178 0.95 | signal a-I (gcd 217178 named by an I line on S9736's book 66517) is benign for this shelf — that X-010 line cited JSA (2025) #4's row 2708110 for a 1999-run trade and is wrong there (N below); JSA 001-004 (2025) in "JSA v2 (2025)" = CV 160863 (DC 2025, 13, cached #1-15) = GCD 217178 (2025-?, 20, per-file 4/4); counts above our ladder on an open-ended series are staleness; nothing else on the shelf — raised from 0.9
F 94640 wrong-cv-link | per-file CV stamped the legacy 1999 volume (6331) on 1/4 files
N 94640 retract X-010's `I 66517 cv=- gcd=2708110` on S9736's "Book 04": GCD 2708110 is JSA (2025) #4, a 32pp single issue of this shelf's run, not that trade's record

# --- Justice Society of America (2007)
S 65021 cv=18052 gcd=20856 0.9 | signal e (35 files) is benign — one run: CV 18052 "Justice Society of America" (DC 2007, 54, cached #1-54) = GCD 20856 (2007-2011, 54); issues #1-6, #41-54 (the Lightning Saga / Next Age / Brightest Day read-order folders carry second rips of #5-6 and #41-43, all this run) and Vol. 01-09, which collect #1-54 in order (GCD roll-ups on s20856); 0.9 for the 2008 Annual (66542, JSA Annual GCD 30454, its own record) and a 1pp "joined covers only" #26
F 65021 needs-fetch cv=18052 | CV 18052 "Justice Society of America" 2007 DC Comics has no CvVolume row cached locally
I 66557 cv=259627 gcd=374763 isbn=978-1-4012-1444-9 0.9 | Vol. 01 The Next Age (2007) 128pp = CV 38709 issue 259627 and GCD 26489 row 374763 (2007-09-19, 152pp) — the X-010 row 742739 was a German edition
I 66558 cv=259634 gcd=523654 isbn=9781401216900 0.9 | Vol. 02 Thy Kingdom Come Part I (2008) 146pp = CV 38711 #1 issue 259634 and GCD 30515 #1 row 523654 (2008-04-23, 168pp)
I 66559 cv=259635 gcd=592194 isbn=9781401219147 0.9 | Vol. 03 Thy Kingdom Come Part II (2008) 183pp = CV 38711 #2 issue 259635 and GCD 30515 #2 row 592194 (2008-12-10, 200pp) — the X-010 row 2712137 was the 2023 series' Vol. 2
I 66560 cv=259636 gcd=604957 isbn=9781401221669 0.9 | Vol. 04 Thy Kingdom Come Part III (2009) 213pp = CV 38711 #3 issue 259636 and GCD 30515 #3 row 604957 (2009-04-15, 232pp)
I 66561 cv=266867 gcd=674723 isbn=9781401225308 0.9 | Vol. 05 Black Adam and Isis (2009) 153pp = CV 39504 issue 266867 and GCD 39209 row 674723 (2009-09-02, 168pp)
I 66562 cv=276825 gcd=757708 isbn=978-1-4012-2714-2 0.9 | Vol. 06 The Bad Seed (2010) 118pp = CV 41049 issue 276825 (TPB) and GCD 48913 "Justice Society of America: Bad Seed" row 757708 (2010-05-19, 132pp)
I 66563 cv=276820 gcd=1012905 isbn=978-1-4012-2901-6 0.9 | Vol. 07 Axis of Evil (2010) 163pp = CV 41048 issue 276820 and GCD 68918 row 1012905 (2010-12-02, 172pp) — the stored row 781872 is JSA vs. Kobra
I 66564 cv=293914 gcd=1656975 isbn=978-1-4012-3284-9 0.9 | Vol. 08 Supertown (2011) 142pp = CV 1361 issue 293914 (TPB) and GCD 110035 row 1656975 (2011-09-28, 148pp)
I 66565 cv=398167 gcd=1657558 isbn=978-1-4012-3368-6 0.9 | Vol. 09 Monument Point (2011) 143pp = CV 60224 issue 398167 and GCD 110151 row 1657558 (2012-02-15, 148pp)

# --- Superman's Pal Jimmy Olsen (2019)
S 17277 cv=120215 gcd=148801 0.95 | signal b (per-file CV 23417, the 2008 Jimmy Olsen Special, on the one variant cover) is a stamp: the shelf is now the 314pp "Who Killed Jimmy Olsen", which collects the whole run (GCD 2158933: s148801 #1-12), and a 1pp variant cover of #1 from "Superman's Pal Jimmy Olsen v3 (2019)\Variant Covers" (S100142 landed); CV 120215 (DC 2019, 12) = GCD 148801 (2019-2020, 12); the 2009 Special that capped it at 0.9 is gone — raised
I 66469 cv=814038 gcd=2158933 isbn=9781779504623 0.95 | the book's own record: CV issue 814038 is volume 131455 "Superman's Pal Jimmy Olsen: Who Killed Jimmy Olsen?"'s only issue and GCD issue 2158933 is series 165633's only issue

# --- Justice League (2011) — the 3000/3001 trades and two Rebirth issues found
R 10105 | signal e (99 files) hid two other runs: the dominant New 52 Justice League #1-52 + #23.1-23.4 (CV 42488 / GCD 60709, 57; the Trinity Read Order folders, the "(New 52) Justice League (2024) (Mobile)" rips and Vol. 01-09) shares the shelf with four whole trades in "Justice League 3000-3001 (2014)" — Justice League 3000 Vol. 01-02 (CV 69851 / GCD 78022, 15) and Justice League 3001 Vol. 01-02 (CV 82816 / GCD 90342, 12), two records with their own runs (the residue ruling: two or more whole trades = co-equal) — and two Rebirth issues (below); the a-C signal (S15489's Shazam! backups naming 42488 / 60709) is benign
F 10105 split-needed | JL 3000: 66855, 66856 -> "Justice League 3000 (2013)" (cv=69851 gcd=78022); JL 3001: 66857, 66858 -> "Justice League 3001 (2015)" (cv=82816 gcd=90342); 19084, 19085 ("Justice League 012/013 (2017) (Webrip)", "Justice League vs Suicide Squad (2017)\Tie-ins") -> join S94650 (Justice League 2016, cv=92373, per-file CV 92373 on both); the New 52 run (cv=42488 gcd=60709) stays
N 10105 the fourteen "(New 52) Justice League NNN (2024-2025) (digital-mobile)" files (37-92pp) are mobile re-rips of this run's #1-20 — duplicates, not another run
I 67457 cv=- gcd=1142606 isbn=978-1-4012-3461-4 0.9 | Vol. 01 Origin (2012) 173pp = GCD 76777 #1 row 1142606 (2012-05-02 HC, 200pp); TPB twin 76126 row 1138009 — the X-010 row 952901 was a French edition
I 67458 cv=- gcd=1142598 isbn=978-1-4012-3765-3 0.9 | Vol. 02 The Villain's Journey (2013) 165pp = GCD 76126 #2 row 1142598 (TPB, 180pp, roll-up s60709 #0, #7-12); HC twin 76777 row 1142619
I 67459 cv=- gcd=1142625 isbn=978-1-4012-4240-4 0.9 | Vol. 03 Throne of Atlantis (2013) 177pp = GCD 76777 #3 row 1142625 (HC, 200pp); TPB twin 76126 row 1252409 — the X-010 row 1570468 is another book
I 67460 cv=- gcd=1252499 isbn=978-1-4012-5008-9 0.9 | Vol. 04 The Grid (2014) 144pp = GCD 76126 #4 row 1252499 (TPB, 180pp); HC twin 76777 row 1252408
I 67461 cv=- gcd=1252501 isbn=978-1-4012-5009-6 0.9 | Vol. 05 Forever Heroes (2014) 164pp = GCD 76777 #5 row 1252501 (HC, 176pp, roll-up s60709 #24-29); TPB twin 76126 row 1546657
I 67462 cv=- gcd=1431970 isbn=978-1-4012-5236-6 0.9 | Vol. 06 Injustice League (2015) 242pp = GCD 76777 #6 row 1431970 (HC, 264pp, roll-up s60709 #30-39); TPB twin 76126 row 1544829
I 67463 cv=- gcd=1544786 isbn=978-1-4012-5977-8 0.9 | Vol. 07 The Darkseid War Part 1 (2016) 161pp = GCD 76777 #7 row 1544786 (HC, 184pp); TPB twin 76126 row 1624182
I 67464 cv=- gcd=1624181 isbn=978-1-4012-6341-6 0.9 | Vol. 08 The Darkseid War Part 2 (2016) 192pp = GCD 76777 #8 row 1624181 (HC, 208pp, roll-up s60709 #45-50); TPB twin 76126 row 1657225
I 67465 cv=- gcd=1559050 isbn=978-1-4012-6149-8 0.9 | "Vol. 09 - Darkseid War Part 03 - Power of the Gods (2016)" 140pp = GCD 100286 "Justice League: Darkseid War - Power of the Gods" row 1559050 (2016-04-20, 152pp) — the tie-in specials' collection, not a volume of the run; the X-010 row 1601439 was a French edition
I 66855 cv=- gcd=1343051 isbn=978-1-4012-5046-1 0.9 | "COL Justice League 3000 Vol. 01 - Yesterday Lives (2014)" 174pp = GCD 88471 #1 row 1343051 (2014-10-15, 180pp)
I 66856 cv=- gcd=1343213 isbn=978-1-4012-5414-8 0.9 | "COL Justice League 3000 Vol. 02 - The Camelot War (2015)" 144pp = GCD 88471 #2 row 1343213 (2015-04-22, 148pp) — the stored row 1532205 is a Dutch edition
I 66857 cv=- gcd=1546546 isbn=978-1-4012-6148-1 0.9 | "COL Justice League 3001 Vol. 01 - Déjà Vu All Over Again (2016)" 187pp = GCD 98463 #1 row 1546546 (2016-03-16, 196pp) — the stored row 1997151 is Justice League (2018) Vol. 3
I 66858 cv=- gcd=1628454 isbn=9781401264727 0.9 | "COL Justice League 3001 Vol. 02 - Things Fall Apart (2016)" 149pp = GCD 98463 #2 row 1628454 (2016-09-28, 156pp) — the stored row 1721556 is Justice League (2016) Vol. 3 Timeless

# --- Crisis on Multiple Earths — two collection lines
R 64455 | signals c (four RANGE CONTRADICTED) and d (#207) come from two collection lines on one shelf: the 2002-2013 TPB line Vol. 01-06 (66703-66708, CV 23382 / GCD 10316, 6) and the 2021-2023 Book line Book 01-03 (19145/67982, 19146, 19147; CV 133945 / GCD 169731, 3) — three whole books of a different record, so a co-equal line under the residue ruling; both reprint the JLA-JSA team-ups from Justice League of America (1960) in two-part pairs (Book 01 = Vol. 1-2's #21-83, Book 02 = #91-148, Book 03 = #171-232 + All-Star Squadron #14-15), which is why GCD's notes contradict the judged "#1-2 / #3-4 / #5-6" — those are the 2002 line's volume numbers, not issues
F 64455 split-needed | the Book line 19145, 67982, 19146, 19147 -> "Crisis on Multiple Earths (2021)" (cv=133945 gcd=169731); the 2002 line 66703-66708 (cv=23382 gcd=10316) stays
N 64455 retract the judged ranges #1-2 / #3-4 / #5-6 on 19145, 67982, 19146, 19147 and X-011's C lines on them (cv=23382 gcd=10316): a Book reprints JLA (1960) two-part stories, not volumes of the 2002 line — the contents are gapped pairs of s1449 that one C range cannot state (the gap rule), so no C is written
N 64455 flag #207 label-ambiguous (items 19145 / 67982): both are Book 01 - Crossing Over (416pp), GCD 2200622 — genuinely two rips of one book
I 19145 cv=829285 gcd=2200622 isbn=978-1-77950-753-2 0.95 | "COL Crisis on Multiple Earths Book 01 - Crossing Over (2020)" 416pp = CV 133945 #1 issue 829285 "Book 1: Crossing Over" and GCD 169731 #1 row 2200622 (2021-02-23, 420pp)
I 67982 cv=829285 gcd=2200622 isbn=978-1-77950-753-2 0.95 | the second rip of Book 01 - Crossing Over (416pp, Deluxe Editions subfolder) = CV 133945 #1 issue 829285 and GCD 169731 #1 row 2200622 (420pp)
I 19146 cv=941411 gcd=2302782 isbn=978-1-77951-342-7 0.95 | "COL Crisis on Multiple Earths Book 02 - Crisis Crossed (2021)" 418pp = CV 133945 #2 issue 941411 and GCD 169731 #2 row 2302782 (2022-01-25, 420pp)
I 19147 cv=1000144 gcd=2551128 isbn=978-1-77952-176-7 0.95 | "COL Crisis on Multiple Earths Book 03 - Countdown to Crisis (2023)" 466pp = CV 133945 #3 issue 1000144 and GCD 169731 #3 row 2551128 (2023-06-27, 476pp)
I 66703 cv=140325 gcd=98148 isbn=1-56389-895-0 0.95 | "COL Crisis on Multiple Earths Vol. 01 (2002)" 210pp = CV 23382 #1 issue 140325 and GCD 10316 #1 row 98148 (212pp, JLA #21-22, 29-30, 37-38, 46-47)
I 66704 cv=140326 gcd=531996 isbn=1-4012-0003-6 0.95 | "COL Crisis on Multiple Earths Vol. 02 (2003)" 207pp = CV 23382 #2 issue 140326 and GCD 10316 #2 row 531996 (212pp)
I 66705 cv=140327 gcd=531997 isbn=1-4012-0231-4 0.95 | "COL Crisis on Multiple Earths Vol. 03 (2004)" 195pp = CV 23382 #3 issue 140327 and GCD 10316 #3 row 531997 (196pp)
I 66706 cv=140328 gcd=531998 isbn=1-4012-0957-2 0.95 | "COL Crisis on Multiple Earths Vol. 04 (2006)" 171pp = CV 23382 #4 issue 140328 and GCD 10316 #4 row 531998 (172pp)
I 66707 cv=315418 gcd=752700 isbn=978-1-4012-2623-7 0.95 | "COL Crisis on Multiple Earths Vol. 05 (2010)" 174pp = CV 23382 #5 issue 315418 and GCD 10316 #5 row 752700 (180pp)
I 66708 cv=409188 gcd=1119066 isbn=978-1-4012-3822-3 0.95 | "COL Crisis on Multiple Earths Vol. 06 (2013)" 206pp = CV 23382 #6 issue 409188 and GCD 10316 #6 row 1119066 (212pp)

# --- JLA (1997) — JLA: Year One found riding the shelf
R 9704 | signals d (#298) and e (95 files) hide a second run: the dominant JLA (DC 1997) = CV 5957 (126, cached #1-125) = GCD 5747 (1997-2006, 126) — issues #0-23, 28-31, 35, 46, 59, 107-125 (the One Million / Rock of Ages / Tower of Babel / Syndicate Rules / Crisis of Conscience read-order folders are all this run), #1,000,000, Annuals #2-3 and Vol. 01-09 (GCD 81721, roll-ups s5747 #10-17 … #107-125) — shares the shelf with the twelve "JLA - Year One 001-012 (1998)" files in "JLA Year One (1997)" (ComicInfo Series "JLA: Year One" x12) and their trade 67542: JLA: Year One (DC 1998, 12-issue mini, CV 6171 / GCD 5981), a whole co-equal run, not residue
F 9704 split-needed | "JLA: Year One (1998)" (cv=6171 gcd=5981): the twelve "JLA - Year One 001 (1998)" … "012 (1998)" files and 67542 "COL JLA - Year One (2024)"; the JLA (1997) run (cv=5957 gcd=5747) stays
F 9704 needs-fetch cv=6171 | CV 6171 "JLA: Year One" 1998 is named from the rip only
N 9704 flag #298 label-ambiguous (item 16933): JLA v3 043-046 "Tower of Babel 1-4" are single 23-24pp issues of this run, as the flag says — answered
I 66789 cv=481458 gcd=1237320 isbn=978-1-4012-3314-3 0.9 | "COL JLA Vol. 01 (2008)" 256pp = CV 74723 "JLA" #1 issue 481458 "Volume 1" and GCD 81721 #1 row 1237320 (2011-09-28, 260pp) — the X-011 row 2653842 was a French edition
I 66790 cv=481459 gcd=1237321 isbn=978-1-4012-3518-5 0.9 | "COL JLA Vol. 02 (2012)" 322pp = CV 74723 #2 issue 481459 and GCD 81721 #2 row 1237321 (340pp, roll-up s5747 #10-17)
I 66791 cv=481460 gcd=1237322 isbn=978-1-4012-3832-2 0.9 | "COL JLA Vol. 03 (2012)" 336pp = CV 74723 #3 issue 481460 and GCD 81721 #3 row 1237322 (348pp, roll-up #18-31)
I 66792 cv=481461 gcd=1237323 isbn=978-1-4012-4385-2 0.9 | "COL JLA Vol. 04 (2014)" 369pp = CV 74723 #4 issue 481461 and GCD 81721 #4 row 1237323 (396pp, roll-up #32-46)
I 66793 cv=456005 gcd=1237324 isbn=9781401247508 0.9 | "COL JLA Vol. 05 (2014)" 433pp = CV 74723 #5 issue 456005 and GCD 81721 #5 row 1237324 (452pp, roll-up #47-60)
I 66794 cv=476773 gcd=1356161 isbn=978-1-4012-5136-9 0.9 | "COL JLA Vol. 06 (2015)" 411pp = CV 74723 #6 issue 476773 and GCD 81721 #6 row 1356161 (436pp, roll-up #61-76)
I 66795 cv=489305 gcd=1356198 isbn=978-1-4012-5528-2 0.9 | "COL JLA Vol. 07 (2015)" 408pp = CV 74723 #7 issue 489305 and GCD 81721 #7 row 1356198 (420pp, roll-up #77-93)
I 66796 cv=528485 gcd=1565295 isbn=978-1-4012-6342-3 0.9 | "COL JLA Vol. 08 (2016)" 344pp = CV 74723 #8 issue 528485 and GCD 81721 #8 row 1565295 (364pp, roll-up #94-106)
I 66797 cv=571640 gcd=1661607 isbn=978-1-4012-6567-0 0.9 | "COL JLA Vol. 09 (2016)" 461pp = CV 74723 #9 issue 571640 and GCD 81721 #9 row 1661607 (484pp, roll-up #107-125)
N 67542 no-record | "COL JLA - Year One (2024)" 322pp: its stored GCD row 2620938 is the 620pp "JLA Book One" (JLA #1-9) — another book; CV has only the 1999 one-issue TPB 51383 and GCD 22898; no 2024 Year One edition row in either leg
C 67542 cv=6171 gcd=5981 #1-12 0.9 | "JLA - Year One" 322pp collects JLA: Year One (DC 1998, 12-issue mini: CV 6171 / GCD 5981) #1-12 by its title and size (12 issues of 22-38pp) — not the 1997 ongoing this shelf stays

# --- Justice League America (1989)
S 65010 cv=4198 gcd=3804 0.9 | signals a-C (gcd 3804 named by C lines on S17259 / S18388, the Superman and Justice League America trades — the same run), b (per-file CV 2014, JLA 1960, on 81/89) and e (89 files) are benign: Justice League America #36-113 (1990-1996, "Justice League America v1 (1989)" plus Oa second rips of #82-83, #100-102) = CV 4198 (DC 1989, 89 = #0, #26-113) = GCD 3804 (1989-1996, 89, per-file 83/89); ComicInfo Count "113"; 0.9 for the six Annuals #4-9 (the "4-9" on the ladder), their own record
N 65010 the numbering continues Justice League (1987) #1-6 / Justice League International #7-25 (CV 3798 / GCD 3366, S94641's run) — the L-212 retitle shape; no #1-35 file is on this shelf, so nothing is proposed here

# --- Justice League Beyond 2.0 (2013) — the stored volume is the wrong series
R 10125 | signal e (27 files) opened the folder: the 24 files are "Justice League Beyond 2.0 001-024 (2013-2014)" in "Justice League Beyond 2.0 (2013)" = CV 66176 "Justice League Beyond 2.0" (DC 2013, 24, #1-8 titled "Power Struggle, Part 1-8"), not the stored CV 45573 "Justice League Beyond" (DC 2012, 25 — the Batman Beyond Unlimited feature); the three trades in "Justice League Beyond v1 (2012)" are Konstriction and In Gods We Trust (the 2012 series, two whole trades) and Power Struggle (2.0 #1-8) — two records, co-equal under the residue ruling
F 10125 split-needed | 67001, 67002 -> "Justice League Beyond (2012)" (cv=45573; GCD indexes only the trades); the 24 "Justice League Beyond 2.0" chapters and 67003 Power Struggle stay as cv=66176
F 10125 wrong-cv-link | stored CV 45573 is Justice League Beyond (2012); the 24 chapters here are Justice League Beyond 2.0 = CV 66176
F 10125 needs-fetch cv=66176 | CV 66176 "Justice League Beyond 2.0" 2013 is named from the rip only
F 10125 provider-missing | GCD indexes neither digital series, only the three trades as one-book series (110365, 110541, 110634)
N 10125 the judged ranges #1-10 (0.65) on 67001 and #11-24 (0.75) on 67002 are unverified — GCD 1658410 says Konstriction reprints Batman Beyond Unlimited #1-11 (the print home of the 2012 chapters); no C written for them
I 67001 cv=- gcd=1658410 isbn=9781401240233 0.95 | "COL Justice League Beyond Vol. 01 - Konstriction (2013)" 177pp = GCD 110365 row 1658410 (180pp, reprints Batman Beyond Unlimited #1-11)
I 67002 cv=- gcd=1659382 isbn=9781401247546 0.95 | "COL Justice League Beyond Vol. 02 - In Gods We Trust (2014)" 211pp = GCD 110541 row 1659382 (212pp)
I 67003 cv=- gcd=1660164 isbn=9781401250737 0.95 | "COL Justice League Beyond Vol. 03 - Power Struggle (2014)" 178pp = GCD 110634 row 1660164 (180pp)
C 67003 cv=66176 #1-8 0.9 | Power Struggle collects Justice League Beyond 2.0 (DC 2013, 24 digital chapters, CV 66176) #1-8, whose CV titles are "Power Struggle, Part 1 of 8" … "Part 8 of 8"

# --- Justice League Dark (2018)
S 94780 cv=112455 gcd=127112 0.95 | signal b (per-file CV 42996, JLD 2011, on 6/8) is the wrong-relaunch stamp: JLD 2018 = CV 112455 (DC 2018, 29, cached #1-29) = GCD 127112 (2018-2021, 29); #29 (2021), 1pp variants of #12-14 and Vol. 01-04 (GCD 141756: #1-3/#5-7, #8-13, #14-19, #20-28) — nothing but the run and its own trades — raised from 0.9
F 94780 wrong-cv-link | per-file CV stamped the 2011 volume (42996) on 6/8 files
I 67014 cv=- gcd=1932337 isbn=978-1-4012-8811-2 0.9 | Vol. 01 The Last Age of Magic (2019) 146pp = GCD 141756 #1 row 1932337 (164pp)
C 67014 cv=112455 gcd=127112 #1-3 0.9 | The Last Age of Magic collects Justice League Dark (DC 2018, 29: CV 112455 / GCD 127112) #1-3 and #5-7 per GCD 1932337's notes and roll-up — #4 is not in it, so the judged #1-7 is narrowed
N 67014 its other stretch is #5-7 (roll-up "#1-3, #5-7")
I 67015 cv=- gcd=2024442 isbn=978-1-4012-9460-1 0.9 | Vol. 02 Lords of Order (2019) 171pp = GCD 141756 #2 row 2024442 (188pp, #8-13 + Annual #1) — the X-011 row 1948548 was a Mexican edition
I 67016 cv=- gcd=2104563 isbn=978-1-77950-034-2 0.9 | Vol. 03 The Witching War (2020) 128pp = GCD 141756 #3 row 2104563 (148pp, #14-19)
I 67017 cv=- gcd=2188361 isbn=978-1-77950-714-3 0.9 | Vol. 04 A Costly Trick of Magic (2021) 206pp = GCD 141756 #4 row 2188361 (220pp, #20-28)

# --- Justice League International (2011)
S 10137 cv=42590 gcd=59309 0.9 | signal b (per-file CV 3798, JLI 1987, on 14/14) is the wrong-relaunch stamp: "Justice League International 001-006 - November 2011 … April 2012" + #7-12 (2012) = CV 42590 (DC 2011, 12, cached #1-12) = GCD 59309 (2011-2012, 12) — ladder 1-12 complete, plus Vol. 01 The Signal Masters (#1-6); 0.9 until the one 1987 issue below leaves
F 10137 split-needed | 16795 -> join S94641 — "Justice League International 007.cbr" 39pp in "05 Justice league - A New Beginning" is the 1987 series' #7, the first issue under the International title; S94641 is that run (S cv=3798 gcd=3366; its v01 collects Justice League #1-6 + JLI #7)
F 10137 wrong-cv-link | per-file CV 3798 (JLI 1987) on 14/14 files is the stamp
I 67089 cv=336126 gcd=- isbn=- 0.9 | "COL Justice League International Vol. 01 - The Signal Masters (2012)" 141pp = CV 55320 #1 issue 336126 "Volume 1: The Signal Masters"; GCD's stored row 978699 is a German edition and no English trade row is in the dump

# --- Justice League Unlimited (2004) — the 2025 series found
R 10146 | signal e (58 files) hides a second run: the dominant Justice League Unlimited (DC 2004) #1-46 = CV 11057 (46) = GCD 11988 (2004-2008, 46, per-file 46/58) with the three 2020 digests that reprint it — and nine files in "Justice League Unlimited (2025)": #1-3 (2025) and six 1pp variants of #3 = the 2025 series (CV 161311 / GCD 216154, 19, ComicInfo Volume 2025 x3), a different run with its own issues, not residue
F 10146 split-needed | 66694-66702 -> "Justice League Unlimited (2025)" (cv=161311 gcd=216154); the 2004 run (cv=11057 gcd=11988) stays
F 10146 needs-fetch cv=161311 | CV 161311 "Justice League Unlimited" 2025 is named from the rip only
I 67441 cv=795901 gcd=- 0.9 | "Galactic Justice" (2020) own record: CV volume 129772 issue 795901; no GCD row
I 67442 cv=827113 gcd=- 0.9 | "Hocus Pocus" (2020) own record: CV volume 133529 issue 827113; no GCD row
I 67443 cv=815620 gcd=- 0.9 | "Time After Time" (2020) own record: CV volume 131618 issue 815620; no GCD row

# --- Justice League (2016)
S 94650 cv=92373 gcd=104347 0.9 | signal b (per-file CV 42488, JL 2011, on 9/12) is the stamp: the Rebirth Justice League = CV 92373 (DC 2016, 43, cached #1-43) = GCD 104347 (2016-2018, 43); Vol. 01-07 (GCD 111398, roll-ups #1-5 … #34-38) and Rebirth Deluxe Books 01-03 (GCD 115386: #1-11, #12-25, #26-33); #12-13 join from S10105; 0.9 for the Justice League Day 2017 special and the 64pp #1 Director's Cut, their own records
N 94650 the overlap flag #614 is Dismissed; the five Vol. 01s are on sibling shelves
I 67469 cv=- gcd=1667275 isbn=978-1-4012-6779-7 0.9 | Vol. 01 The Extinction Machines (2016) 157pp = GCD 111398 #1 row 1667275 (172pp, Rebirth #1 + #1-5)
I 67470 cv=- gcd=1693480 isbn=9781401268701 0.9 | Vol. 02 Outbreak (2017) 139pp = GCD 111398 #2 row 1693480 (156pp, #6-11)
I 67471 cv=- gcd=1721556 isbn=978-1-4012-7112-1 0.9 | Vol. 03 Timeless (2017) 137pp = GCD 111398 #3 row 1721556 (148pp)
I 67473 cv=- gcd=1746657 isbn=978-1-4012-7397-2 0.9 | Vol. 04 Endless (2017) 143pp = GCD 111398 #4 row 1746657 (156pp)
I 67474 cv=- gcd=1788602 isbn=978-1-4012-7725-3 0.9 | Vol. 05 Legacy (2018) 135pp = GCD 111398 #5 row 1788602 (148pp)
I 67475 cv=- gcd=1818286 isbn=978-1-4012-8076-5 0.9 | Vol. 06 The People vs. the Justice League (2018) 122pp = GCD 111398 #6 row 1818286 (132pp, #34-38)
I 67476 cv=- gcd=1845241 isbn=978-1-4012-8425-1 0.9 | Vol. 07 Justice Lost (2018) 123pp = GCD 111398 #7 row 1845241 (132pp)
