# R-144 — triaged 0.9 tier, 40 Marvel shelves (Black Panther, Captain America, Captain Britain / Knights of Pendragon,
# Carnage, Cloak and Dagger, Conan). Three shapes recur: (1) Epic Collection per-book singletons whose old merge-with
# lines never landed (each stored its own count-1 CV volume) -> S cv=- gcd=<line> + wrong-cv-link + split-lane join onto
# the line shelf (L-392 / L-377): Captain America EC -> S3453, Conan Chronicles EC -> S4094 (in-batch anchor; S4092 "Conan Chronicles Epic
# Collection", outside this batch), Black Panther EC -> S2755; (2) per-file CV stamps of another decade's volume on issue
# files (2400 Captain America 1968, 4402 Knights 1990, 11502 Black Panther 2005, 36240 Carnage 2010) -> I lines restate each
# file's own issue; (3) trades whose run lives on another shelf -> the run's ids + merge-with (L-031 / L-324b). Several
# earlier I lines were wrong and are corrected here: X-058's Coates Captain America rows were PANINI DEUTSCHLAND (GCD
# 142421), the Black Panther Vol. 06-08 CV ids were ISSUES of the 2009 run, Winter Soldier's GCD 68861 is the trade line.

# ===== Black Panther =====
S 95617 cv=11502 gcd=12471 0.95 | Hudlin's Black Panther (2005-2008): CV 11502 (Marvel 2005, 41, cached #1-41) and GCD 12471 (Marvel 2005-2008, 41) agree on publisher, span and count; our #7-9, 14-18, 21-30 floppies, the 2pp #39-40 cover-only files and the eight trades Vol. 01-08 (judged #1-6 ... #35-38; CV titles "Back to Africa" #35-38, "See Wakanda and Die" #39-41) are the run and its editions; #18 twice is a duplicate rip
I 77300 cv=941559 gcd=2425198 isbn=- 0.95 | "... Sentinel of Liberty 003 (2022)" = CV 143632 #3 issue 941559 and GCD 185536 #3 row 2425198
I 77301 cv=946160 gcd=2430409 isbn=- 0.95 | "... Sentinel of Liberty 004 (2022)" = CV 143632 #4 issue 946160 and GCD 185536 #4 row 2430409
I 77302 cv=949636 gcd=2439455 isbn=- 0.95 | "... Sentinel of Liberty 005 (2022)" = CV 143632 #5 issue 949636 and GCD 185536 #5 row 2439455
I 77303 cv=953982 gcd=2451210 isbn=- 0.95 | "... Sentinel of Liberty 006 (2023)" = CV 143632 #6 issue 953982 and GCD 185536 #6 row 2451210
I 77304 cv=981471 gcd=2516394 isbn=- 0.95 | "... Sentinel of Liberty 011 (2023)" = CV 143632 #11 issue 981471 and GCD 185536 #11 row 2516394
I 77348 cv=977479 gcd=2494898 isbn=9781302931438 0.9 | "Book 01 - Revolution (2023)" 169pp = CV 148888 #1 issue 977479 "Volume 1: Revolution" = GCD 196837 #1 row 2494898 (188pp); X-058's 116163 / 2558383 were a 1998 issue and the Panini France row
I 77305 cv=1005249 gcd=2559513 isbn=9781302931445 0.9 | "Vol. 02 - The Invader (2023)" 129pp = CV 148888 #2 issue 1005249 "Volume 2: The Invader" = GCD 196837 #2 row 2559513 (148pp)
I 77976 cv=266800 gcd=1105268 isbn=9780785149637 0.9 | the 1998 mini's collection: CV 39489 (Marvel 2011, 1) issue 266800 HC = GCD 73825 row 1105268 (372pp, reprints s13268 #1-12 + the Rough Cut); 343/372pp fits the digital ratio
C 77976 cv=19381 gcd=13268 #1-12 0.95 | collects Captain America: Sentinel of Liberty (Marvel 1998-1999, 12 issues; CV 19381 / GCD 13268) #1-12 per GCD row 1105268's roll-up and the judged range #1-12

S 21718 cv=45518 gcd=63067 0.95 | Winter Soldier (2012-2013): CV 45518 (Marvel 2012, 19, "The Longest Winter" #1-5 ... "It Ends With A Kiss" #19) and GCD 63067 (Marvel 2012-2013, 19) agree on publisher, span and count; our four trades are GCD 68861 rows 1012609 / 1041887 / 1041892 / 1133398 (collecting #1-5, #6-9, #10-14, #15-19), the run's own editions - the old S line's gcd=68861 was that TRADE line, corrected to the run
N 21718 flag #535 (label-ambiguous, item 77309) is right: the per-file CV row on Vol. 01 was a German Megaband edition; Vol. 01's own record is CV 59296 issue 395044 (I line)
I 77309 cv=395044 gcd=1012609 isbn=9780785144403 0.95 | "Winter Soldier Vol. 01 - The Longest Winter (2012)" 141pp = CV 59296 issue 395044 and GCD 68861 #1 row 1012609 "The Longest Winter" (140pp)
C 77309 cv=45518 gcd=63067 #1-5 0.95 | The Longest Winter collects Winter Soldier (Marvel 2012-2013, 19 issues; CV 45518 = GCD 63067) #1-5 - restated on the RUN's GCD id (X-058 wrote the trade line 68861)
I 77310 cv=395045 gcd=1041887 isbn=9780785144052 0.95 | "Vol. 02 - Broken Arrow (2012)" 95pp = CV 59297 issue 395045 and GCD 68861 #2 row 1041887 (96pp, collects #6-9)
C 77310 cv=45518 gcd=63067 #6-9 0.95 | Broken Arrow collects Winter Soldier (Marvel 2012-2013, 19 issues; CV 45518 = GCD 63067) #6-9 per GCD row 1041887's note
I 77311 cv=395039 gcd=1041892 isbn=9780785167280 0.9 | "Vol. 03 - Black Widow Hunt (2013)" 115pp = CV 59293 issue 395039 "Volume 3" and GCD 68861 #3 row 1041892 (140pp); replaces X-058's cv=319362 (the run's #3)
C 77311 cv=45518 gcd=63067 #10-14 0.95 | Black Widow Hunt collects Winter Soldier (Marvel 2012-2013, 19 issues; CV 45518 = GCD 63067) #10-14, CV's "Black Widow Hunt, Part 1 ... Conclusion"
I 77312 cv=- gcd=1133398 isbn=978-0-7851-8398-3 0.9 | "Vol. 04 - Electric Ghost (2013)" 111pp = GCD 68861 #4 row 1133398 "The Electric Ghost" (116pp); the local CV rip holds no volume under that subtitle
C 77312 cv=45518 gcd=63067 #15-19 0.95 | The Electric Ghost collects Winter Soldier (Marvel 2012-2013, 19 issues; CV 45518 = GCD 63067) #15-19, the run's last five issues (GCD packet roll-up)

# --- Captain America Epic Collection: the line S3453 and ten per-book shelves (L-392 / L-377) ---
S 3453 cv=- gcd=79135 0.9 | the Epic Collection LINE (L-109 / L-392): GCD 79135 "Captain America Epic Collection" (Marvel 2014-?, 22) holds our nine books by volume number, subtitle and ISBN (rows 1207730 #1 ... 1555176 #22, each within 4-36pp of our rips); they reprint Tales of Suspense and Captain America (1968) with annuals and crossovers, and CV mints only a count-1 volume per book, so no CV line id
N 3453 Epic Collections are kept as LINES pending Eric's open question; the ten per-book siblings S3454-S3463 join this shelf by the split lane below (their old merge-with lines never landed - each stored a different per-book CV volume)
I 77325 cv=471586 gcd=1207730 isbn=978-0-7851-8836-0 0.95 | Vol. 01 "Captain America Lives Again" 487pp = CV 78439 issue 471586 "Volume 1" and GCD 79135 #1 row 1207730 (492pp)
C 77325 cv=2007 gcd=1442 #58-96 0.95 | Vol. 01 collects Tales of Suspense (Marvel 1959-1968, 99 issues; CV 2007 = GCD 1442) #58-96 per GCD row 1207730's roll-up and the judged range
I 77326 cv=550348 gcd=1624217 isbn=978-1-302-90007-6 0.95 | Vol. 02 "The Coming of... The Falcon" 479pp = CV 94262 issue 550348 "Volume 2" and GCD 79135 #2 row 1624217 (500pp)
C 77326 cv=2400 gcd=1860 #100-119 0.95 | Vol. 02 collects Captain America (Marvel 1968-1996, CV 2400 = GCD 1860) #100-119 per GCD row 1624217's roll-up (plus Tales of Suspense #97-99)
I 77328 cv=676692 gcd=1824061 isbn=978-1-302-91003-7 0.95 | Vol. 04 "Hero or Hoax" 474pp = CV 112167 issue 676692 "Volume 4" and GCD 79135 #4 row 1824061 (478pp)
C 77328 cv=2400 gcd=1860 #139-159 0.95 | Vol. 04 collects Captain America (Marvel 1968-1996, CV 2400 = GCD 1860) #139-159 per GCD row 1824061's roll-up
I 77329 cv=997421 gcd=2549672 isbn=978-1-302-94873-3 0.95 | Vol. 05 "The Secret Empire" 413pp = CV 151716 issue 997421 "Volume 5" and GCD 79135 #5 row 2549672 (420pp)
C 77329 cv=2400 gcd=1860 #160-179 0.95 | Vol. 05 collects Captain America (Marvel 1968-1996, CV 2400 = GCD 1860) #160-179 per GCD row 2549672's note
I 77334 cv=590789 gcd=1688933 isbn=978-1-302-90420-3 0.95 | Vol. 13 "Justice is Served" 512pp = CV 100563 issue 590789 "Volume 13" and GCD 79135 #13 row 1688933 (516pp)
C 77334 cv=2400 gcd=1860 #318-332 0.95 | Vol. 13 collects Captain America (Marvel 1968-1996, CV 2400 = GCD 1860) #318-332 per GCD row 1688933's roll-up
I 77336 cv=667634 gcd=1801106 isbn=978-1-302-91002-0 0.95 | Vol. 15 "The Bloodstone Hunt" 495pp = CV 110078 issue 667634 "Volume 15" and GCD 79135 #15 row 1801106 (500pp)
C 77336 cv=2400 gcd=1860 #351-371 0.95 | Vol. 15 collects Captain America (Marvel 1968-1996, CV 2400 = GCD 1860) #351-371 per GCD row 1801106's roll-up
I 77338 cv=703937 gcd=1938904 isbn=978-1-302-91620-6 0.95 | Vol. 17 "The Superia Stratagem" 468pp = CV 117737 issue 703937 "Volume 17" and GCD 79135 #17 row 1938904 (476pp)
C 77338 cv=2400 gcd=1860 #387-397 0.95 | Vol. 17 collects Captain America (Marvel 1968-1996, CV 2400 = GCD 1860) #387-397 per GCD row 1938904's note (plus Adventures of Captain America #1-4)
I 77342 cv=1044014 gcd=2606379 isbn=978-1-302-95634-9 0.95 | Vol. 21 "Twilight's Last Gleaming" 448pp = CV 156673 issue 1044014 "Volume 21" and GCD 79135 #21 row 2606379 (484pp)
C 77342 cv=2400 gcd=1860 #431-443 0.95 | Vol. 21 collects Captain America (Marvel 1968-1996, CV 2400 = GCD 1860) #431-443 per GCD row 2606379's roll-up
I 77343 cv=525022 gcd=1555176 isbn=978-0-7851-9510-8 0.95 | Vol. 22 "Man Without A Country" 424pp = CV 89584 issue 525022 "Volume 22" and GCD 79135 #22 row 1555176 (460pp)
C 77343 cv=2400 gcd=1860 #444-454 0.95 | Vol. 22 collects Captain America (Marvel 1968-1996, CV 2400 = GCD 1860) #444-454 per GCD row 1555176's roll-up

S 3454 cv=- gcd=79135 0.9 | volume 19 "Arena of Death" of the Captain America Epic Collection LINE: GCD 79135 #19 row 2372073 (502pp, ISBN 978-1-302-93445-3) is our 483pp book; CV 144786 is only its count-1 book volume (issue 944348, on the I line)
F 3454 wrong-cv-link | the stored CV 144786 "Captain America Epic Collection: Arena of Death" is the Vol. 19 book's own count-1 volume, not the line
F 3454 split-needed | item 77340 -> join S3453 on its ParsedKey "Captain America Epic Collection" (S3453's S line is the same GCD 79135 line; L-377); the shelf empties by the join
I 77340 cv=944348 gcd=2372073 isbn=978-1-302-93445-3 0.95 | Vol. 19 "Arena of Death" 483pp = CV 144786 issue 944348 and GCD 79135 #19 row 2372073 (502pp)
C 77340 cv=2400 gcd=1860 #411-419 0.95 | Vol. 19 collects Captain America (Marvel 1968-1996, CV 2400 = GCD 1860) #411-419 per GCD row 2372073's note (plus Annual #11-12, U.S. Agent #1-4)
S 3455 cv=- gcd=79135 0.9 | volume 18 "Blood and Glory" of the same LINE: GCD 79135 #18 row 2099392 (500pp, ISBN 978-1-302-92279-5) is our 490pp book; CV 125815 is only its count-1 book volume (issue 742421)
F 3455 wrong-cv-link | the stored CV 125815 "Captain America Epic Collection: Blood and Glory" is the Vol. 18 book's own count-1 volume, not the line
F 3455 split-needed | item 77339 -> join S3453 on its ParsedKey "Captain America Epic Collection" (same GCD 79135 line; L-377); the shelf empties by the join
I 77339 cv=742421 gcd=2099392 isbn=978-1-302-92279-5 0.95 | Vol. 18 "Blood and Glory" 490pp = CV 125815 issue 742421 and GCD 79135 #18 row 2099392 (500pp)
C 77339 cv=2400 gcd=1860 #398-410 0.95 | Vol. 18 collects Captain America (Marvel 1968-1996, CV 2400 = GCD 1860) #398-410 per GCD row 2099392's note (plus Blood and Glory #1-3)
S 3456 cv=- gcd=79135 0.9 | volume 03 "Bucky Reborn" of the same LINE: GCD 79135 #3 row 1720098 (404pp, ISBN 978-1-302-90419-7) is our 401pp book; CV 102578 is only its count-1 book volume (issue 606620)
F 3456 wrong-cv-link | the stored CV 102578 "Captain America Epic Collection: Bucky Reborn" is the Vol. 03 book's own count-1 volume, not the line
F 3456 split-needed | item 77327 -> join S3453 on its ParsedKey "Captain America Epic Collection" (same GCD 79135 line; L-377); the shelf empties by the join
I 77327 cv=606620 gcd=1720098 isbn=978-1-302-90419-7 0.95 | Vol. 03 "Bucky Reborn" 401pp = CV 102578 issue 606620 and GCD 79135 #3 row 1720098 (404pp)
C 77327 cv=2400 gcd=1860 #120-138 0.95 | Vol. 03 collects Captain America (Marvel 1968-1996, CV 2400 = GCD 1860) #120-138 per GCD row 1720098's note (plus Annual #1)
S 3457 cv=- gcd=79135 0.9 | volume 09 "Dawn's Early Light" of the same LINE: GCD 79135 #9 row 1180514 (500pp, ISBN 978-0-7851-8866-7) is our 488pp book; CV 71799 is only its count-1 book volume (issue 445811)
F 3457 wrong-cv-link | the stored CV 71799 "Captain America Epic Collection: Dawn's Early Light" is the Vol. 09 book's own count-1 volume, not the line
F 3457 split-needed | item 77330 -> join S3453 on its ParsedKey "Captain America Epic Collection" (same GCD 79135 line; L-377); the shelf empties by the join
I 77330 cv=445811 gcd=1180514 isbn=978-0-7851-8866-7 0.95 | Vol. 09 "Dawn's Early Light" 488pp = CV 71799 issue 445811 and GCD 79135 #9 row 1180514 (500pp)
C 77330 cv=2400 gcd=1860 #247-266 0.95 | Vol. 09 collects Captain America (Marvel 1968-1996, CV 2400 = GCD 1860) #247-266 per GCD row 1180514's roll-up (plus Annual #5)
S 3458 cv=- gcd=79135 0.9 | volume 20 "Fighting Chance" of the same LINE: GCD 79135 #20 row 2527832 (500pp, ISBN 978-1-302-95156-6) is our 491pp book; CV 150186 is only its count-1 book volume (issue 988154)
F 3458 wrong-cv-link | the stored CV 150186 "Captain America Epic Collection: Fighting Chance" is the Vol. 20 book's own count-1 volume, not the line
F 3458 split-needed | item 77341 -> join S3453 on its ParsedKey "Captain America Epic Collection" (same GCD 79135 line; L-377); the shelf empties by the join
I 77341 cv=988154 gcd=2527832 isbn=978-1-302-95156-6 0.95 | Vol. 20 "Fighting Chance" 491pp = CV 150186 issue 988154 and GCD 79135 #20 row 2527832 (500pp)
C 77341 cv=2400 gcd=1860 #420-430 0.95 | Vol. 20 collects Captain America (Marvel 1968-1996, CV 2400 = GCD 1860) #420-430 per GCD row 2527832's roll-up (plus Annual #13, Nomad #18-19)
S 3459 cv=- gcd=79135 0.9 | volume 10 "Monsters and Men" of the same LINE: GCD 79135 #10 row 2156477 (508pp, ISBN 978-1-302-92323-5) is our 506pp book; CV 131207 is only its count-1 book volume (issue 810758)
F 3459 wrong-cv-link | the stored CV 131207 "Captain America Epic Collection: Monsters and Men" is the Vol. 10 book's own count-1 volume, not the line
F 3459 split-needed | item 77331 -> join S3453 on its ParsedKey "Captain America Epic Collection" (same GCD 79135 line; L-377); the shelf empties by the join
I 77331 cv=810758 gcd=2156477 isbn=978-1-302-92323-5 0.95 | Vol. 10 "Monsters and Men" 506pp = CV 131207 issue 810758 and GCD 79135 #10 row 2156477 (508pp)
C 77331 cv=2400 gcd=1860 #267-285 0.95 | Vol. 10 collects Captain America (Marvel 1968-1996, CV 2400 = GCD 1860) #267-285 per GCD row 2156477's note (plus Annual #6, Defenders #106)
S 3460 cv=- gcd=79135 0.9 | volume 12 "Society of Serpents" of the same LINE: GCD 79135 #12 row 1201114 (436pp, ISBN 978-0-7851-8896-4) is our 413pp book; CV 76582 is only its count-1 book volume (issue 463084)
F 3460 wrong-cv-link | the stored CV 76582 "Captain America Epic Collection: Society of Serpents" is the Vol. 12 book's own count-1 volume, not the line
F 3460 split-needed | item 77333 -> join S3453 on its ParsedKey "Captain America Epic Collection" (same GCD 79135 line; L-377); the shelf empties by the join
I 77333 cv=463084 gcd=1201114 isbn=978-0-7851-8896-4 0.95 | Vol. 12 "Society of Serpents" 413pp = CV 76582 issue 463084 and GCD 79135 #12 row 1201114 (436pp)
C 77333 cv=2400 gcd=1860 #302-317 0.95 | Vol. 12 collects Captain America (Marvel 1968-1996, CV 2400 = GCD 1860) #302-317 per GCD row 1201114's roll-up (plus Marvel Fanfare #18)
S 3461 cv=- gcd=79135 0.9 | volume 16 "Streets of Poison" of the same LINE: GCD 79135 #16 row 1309966 (516pp, ISBN 978-0-7851-9265-7) is our 493pp book; CV 82670 is only its count-1 book volume (issue 492213)
F 3461 wrong-cv-link | the stored CV 82670 "Captain America Epic Collection: Streets of Poison" is the Vol. 16 book's own count-1 volume, not the line
F 3461 split-needed | item 77337 -> join S3453 on its ParsedKey "Captain America Epic Collection" (same GCD 79135 line; L-377); the shelf empties by the join
I 77337 cv=492213 gcd=1309966 isbn=978-0-7851-9265-7 0.95 | Vol. 16 "Streets of Poison" 493pp = CV 82670 issue 492213 and GCD 79135 #16 row 1309966 (516pp)
C 77337 cv=2400 gcd=1860 #372-386 0.95 | Vol. 16 collects Captain America (Marvel 1968-1996, CV 2400 = GCD 1860) #372-386 per GCD row 1309966's note (plus Annual #9-10)
S 3462 cv=- gcd=79135 0.9 | volume 11 "Sturm und Drang" of the same LINE: GCD 79135 #11 row 2424268 (524pp, ISBN 978-1-302-94536-7) is our 514pp book; CV 144781 is only its count-1 book volume (issue 944332)
F 3462 wrong-cv-link | the stored CV 144781 "Captain America Epic Collection: Sturm Und Drang" is the Vol. 11 book's own count-1 volume, not the line
F 3462 split-needed | item 77332 -> join S3453 on its ParsedKey "Captain America Epic Collection" (same GCD 79135 line; L-377); the shelf empties by the join
I 77332 cv=944332 gcd=2424268 isbn=978-1-302-94536-7 0.95 | Vol. 11 "Sturm und Drang" 514pp = CV 144781 issue 944332 and GCD 79135 #11 row 2424268 (524pp)
C 77332 cv=2400 gcd=1860 #286-301 0.95 | Vol. 11 collects Captain America (Marvel 1968-1996, CV 2400 = GCD 1860) #286-301 per GCD row 2424268's note (plus Annual #7, Falcon #1-4)
S 3463 cv=- gcd=79135 0.9 | volume 14 "The Captain" of the same LINE: GCD 79135 #14 row 2253646 (508pp, ISBN 978-1-302-93070-7) is our 499pp book; CV 138272 is only its count-1 book volume (issue 879513)
F 3463 wrong-cv-link | the stored CV 138272 "Captain America Epic Collection: The Captain" is the Vol. 14 book's own count-1 volume, not the line
F 3463 split-needed | item 77335 -> join S3453 on its ParsedKey "Captain America Epic Collection" (same GCD 79135 line; L-377); the shelf empties by the join
I 77335 cv=879513 gcd=2253646 isbn=978-1-302-93070-7 0.95 | Vol. 14 "The Captain" 499pp = CV 138272 issue 879513 and GCD 79135 #14 row 2253646 (508pp)
C 77335 cv=2400 gcd=1860 #333-350 0.95 | Vol. 14 collects Captain America (Marvel 1968-1996, CV 2400 = GCD 1860) #333-350 per GCD row 2253646's roll-up

# ===== Captain Britain / Knights of Pendragon =====
S 3516 cv=20687 gcd=2371 0.9 | CV 20687 "Captain Britain" (Marvel UK 1976, 39) and GCD 2371 (Marvel UK 1976-1977, 39) agree on publisher, span and count; ComicInfo Count "39" / Volume 1976 on 37 files and Web ids 127490-127493 on the Marika rips, our ladder 1-39 fills the weekly, and the 2022 Omnibus (judged #1-39) is its edition; 0.9 for the 1978 Annual and a misfiled 2002 TPB
F 3516 misfiled | item 87217 "003 Captain Britain TPB" 196pp (X-Men Chronology folder "0075 The Sword is Drawn") is the 2002 Marvel TPB (CV 22653 / GCD 12098) of the Alan Moore / Alan Davis strips from The Daredevils and The Mighty World of Marvel (1982-84), not the 1976 weekly
I 77441 cv=259753 gcd=817612 isbn=7235-0456-3 0.9 | "Captain Britain Annual 1978 (c2c)" 62pp = CV 38737 "Captain Britain Annual" (1978, 1) issue 259753 and GCD 57174 row 817612 (World Distributors, "#1978", 64pp)
I 77980 cv=968232 gcd=2386191 isbn=978-1-302-93226-8 0.9 | "Captain Britain Omnibus (2022)" 1347pp = CV 147895 issue 968232 and GCD 183804 row 2386191 (1368pp)
I 87217 cv=135888 gcd=215589 isbn=0-7851-0855-6 0.9 | the 2002 TPB: CV 22653 issue 135888 and GCD 12098 row 215589 (204pp vs our 196pp)
C 87217 gcd=2680 #1-11 0.9 | the 2002 TPB collects the Captain Britain strip from The Daredevils (Marvel UK 1983, GCD 2680) #1-11 per GCD row 215589's roll-up, plus Mighty World of Marvel #7-13

S 10467 cv=4402 gcd=4030 0.9 | Knights of Pendragon (1990-1991): CV 4402 (Marvel UK 1990, 18) and GCD 4030 (Marvel UK 1990-1991, 18) agree on publisher, span and count; ComicInfo Volume 1990 and Web ids 93503-93506 (= CV 4402 #1-4 issue ids) on the Marika rips, ladder 1-6, 11, 13-18 inside; 0.9 for three v2 issues split below
F 10467 split-needed | items 98924-98926 ("095-097 - Knights Of Pendragon V2 013-015", folder Death's Head\2. Death's Head (Minion)) are Knights of Pendragon (1992) #13-15, CV 21071 / GCD 12253, which S98108 stores -> join S98108 on its ParsedKey "Knights of Pendragon v2 (1992)"
N 10467 flag #308 (label-ambiguous, item 98924) is right: the V2 013-015 files are single issues, not collections
I 98924 cv=126543 gcd=219560 isbn=- 0.95 | "095 - Knights Of Pendragon V2 013" 20pp = CV 21071 #13 issue 126543 "Night of the Hunters" and GCD 12253 #13 row 219560 (1993-07)
I 98925 cv=126545 gcd=219561 isbn=- 0.95 | "096 - Knights Of Pendragon V2 014" 21pp = CV 21071 #14 issue 126545 and GCD 12253 #14 row 219561 (1993-08)
I 98926 cv=126548 gcd=219562 isbn=- 0.95 | "097 - Knights Of Pendragon V2 015" 22pp = CV 21071 #15 issue 126548 and GCD 12253 #15 row 219562 (1993-09)

S 98108 cv=21071 gcd=12253 1.0 | the 1992 series: ComicInfo Web ids 126368 / 126384 / 126386 / 126387 on the Marika rips ARE CV 21071 #7-10 issue ids and Volume says 1992 on all eight; CV 21071 (Marvel UK 1992, 15) and GCD 12253 (Marvel UK 1992-1993, rows #5-15) agree, and our ladder 7-10, 12-15 sits inside both - GCD's count 11 is partial indexing (#1-4 missing), not a shorter run
F 98108 wrong-cv-link | per-file CV 4402 (the 1990 series) on all eight files is the restart-numbering stamp; each file's own issue is on its I line
I 77505 cv=126368 gcd=219554 isbn=- 1.0 | "Knights of Pendragon 007 (1993)" ComicInfo Web 126368 = CV 21071 #7 issue; GCD 12253 #7 row 219554
I 77506 cv=126384 gcd=219555 isbn=- 1.0 | "Knights of Pendragon 008 (1993)" ComicInfo Web 126384 = CV 21071 #8 issue; GCD 12253 #8 row 219555
I 77507 cv=126386 gcd=219556 isbn=- 1.0 | "Knights of Pendragon 009 (1993)" ComicInfo Web 126386 = CV 21071 #9 issue; GCD 12253 #9 row 219556
I 77508 cv=126387 gcd=219557 isbn=- 1.0 | "Knights of Pendragon 010 (1993)" ComicInfo Web 126387 = CV 21071 #10 issue; GCD 12253 #10 row 219557
I 77510 cv=126512 gcd=219559 isbn=- 0.95 | "Knights of Pendragon 012 (1993)" = CV 21071 #12 issue 126512 "King of Pain" and GCD 12253 #12 row 219559
I 77511 cv=126543 gcd=219560 isbn=- 0.95 | "Knights of Pendragon 013 (1993)" = CV 21071 #13 issue 126543 and GCD 12253 #13 row 219560
I 77512 cv=126545 gcd=219561 isbn=- 0.95 | "Knights of Pendragon 014 (1993)" = CV 21071 #14 issue 126545 and GCD 12253 #14 row 219561
I 77513 cv=126548 gcd=219562 isbn=- 0.95 | "Knights of Pendragon 015 (1993)" = CV 21071 #15 issue 126548 and GCD 12253 #15 row 219562

# ===== Carnage / Cloak and Dagger =====
S 94574 cv=141919 gcd=182878 0.95 | Carnage (2022-2023): CV 141919 (Marvel 2022, 14) and GCD 182878 (Marvel 2022-2023, 14) agree on publisher, span and count; our #13-14 and the two trades (GCD 193048 rows 2456777 / 2537471, judged #1-5 / #6-12) are the run and its editions
F 94574 wrong-cv-link | per-file CV 36240 (Carnage 2010) on the two floppies is a number stamp; their own issues are on the I lines
I 77709 cv=992314 gcd=2538894 isbn=- 0.95 | "Carnage 013 (2023)" 22pp = CV 141919 #13 issue 992314 "Carnage Reigns, Part 3 of 7" and GCD 182878 #13 row 2538894
I 77710 cv=994371 gcd=2545682 isbn=- 0.95 | "Carnage 014 (2023)" 22pp = CV 141919 #14 issue 994371 "Carnage Reigns, Part 5 of 7" and GCD 182878 #14 row 2545682
I 77711 cv=963468 gcd=2456777 isbn=978-1-302-93460-6 0.95 | "Carnage Vol. 01 - In The Court Of Crimson (2022)" 153pp = CV 147307 issue 963468 "Vol. 1" and GCD 193048 #1 row 2456777 (164pp)
I 77712 cv=992583 gcd=2537471 isbn=978-1-302-93461-3 0.95 | "Carnage Vol. 02 - Carnage In Hell (2023)" 150pp = CV 150845 issue 992583 "Vol. 2" and GCD 193048 #2 row 2537471 (164pp)

S 19174 cv=4060 gcd=3656 0.95 | one run under the chain's first record (L-390 / L-307): CV 4060 "The Mutant Misadventures of Cloak and Dagger" (Marvel 1988, 19, cached #1-19) holds our whole ladder 1-19, GCD splits the mid-run retitle into 3656 (#1-13) and 14574 "Cloak and Dagger" (#14-19, 1990-1991) - together 19 - and ComicInfo Volume 1988 on 16 files; #8 and #9 twice are Acts of Vengeance chronology second rips
N 19174 GCD 14574 "Cloak and Dagger" (1990-1991) is the #14-19 era record; the per-file round2-series stamps are replaced by the I lines below, each file on its own era's row
I 77733 cv=95259 gcd=211668 isbn=- 0.95 | "Cloak and Dagger 001 (1988)" = CV 4060 #1 issue 95259 and GCD 3656 #1 row 211668
I 77734 cv=95260 gcd=211669 isbn=- 0.95 | "Cloak and Dagger 002 (1988)" = CV 4060 #2 issue 95260 and GCD 3656 #2 row 211669
I 77735 cv=95261 gcd=211670 isbn=- 0.95 | "Cloak and Dagger 003 (1989)" = CV 4060 #3 issue 95261 and GCD 3656 #3 row 211670
I 77736 cv=95262 gcd=211671 isbn=- 0.95 | "Cloak and Dagger 004 (1989)" = CV 4060 #4 issue 95262 and GCD 3656 #4 row 211671
I 77737 cv=95263 gcd=211672 isbn=- 0.95 | "Cloak and Dagger 005 (1989)" = CV 4060 #5 issue 95263 and GCD 3656 #5 row 211672
I 77738 cv=95264 gcd=211673 isbn=- 0.95 | "Cloak and Dagger 006 (1989)" = CV 4060 #6 issue 95264 and GCD 3656 #6 row 211673
I 77739 cv=95265 gcd=211674 isbn=- 0.95 | "Cloak and Dagger 007 (1989)" = CV 4060 #7 issue 95265 and GCD 3656 #7 row 211674
I 77740 cv=95266 gcd=211675 isbn=- 0.95 | "Cloak and Dagger 008 (1989)" = CV 4060 #8 issue 95266 and GCD 3656 #8 row 211675
I 87468 cv=95266 gcd=211675 isbn=- 0.95 | "003 The Mutant Misadventures Of Cloak And Dagger #08" (Acts of Vengeance chronology) is a second rip of #8: CV 4060 issue 95266 / GCD 3656 row 211675
I 77741 cv=95267 gcd=211676 isbn=- 0.95 | "Cloak and Dagger 009 (1989)" 39pp = CV 4060 #9 issue 95267 and GCD 3656 #9 row 211676 (52pp)
I 87492 cv=95267 gcd=211676 isbn=- 0.95 | "027 The Mutant Misadventures Of Cloak And Dagger #09" 40pp is a second rip of #9: CV 4060 issue 95267 / GCD 3656 row 211676
I 77742 cv=95268 gcd=211677 isbn=- 0.95 | "Cloak and Dagger 010 (1990)" = CV 4060 #10 issue 95268 and GCD 3656 #10 row 211677
I 77743 cv=95269 gcd=211678 isbn=- 0.95 | "Cloak and Dagger 011 (1990)" = CV 4060 #11 issue 95269 and GCD 3656 #11 row 211678
I 77744 cv=95270 gcd=211679 isbn=- 0.95 | "Cloak and Dagger 012 (1990)" = CV 4060 #12 issue 95270 and GCD 3656 #12 row 211679
I 77745 cv=95271 gcd=211680 isbn=- 0.95 | "Cloak and Dagger 013 (1990)" = CV 4060 #13 issue 95271 and GCD 3656 #13 row 211680
I 77746 cv=132446 gcd=251473 isbn=- 0.95 | "Cloak and Dagger 014 (1990)" = CV 4060 #14 issue 132446 and GCD 14574 "Cloak and Dagger" #14 row 251473 (the retitled era)
I 77747 cv=132447 gcd=251474 isbn=- 0.95 | "Cloak and Dagger 015 (1990)" = CV 4060 #15 issue 132447 and GCD 14574 #15 row 251474
