# X-027 -- item pass over fifteen manga shelves (Dear NOMAN, Delicious in Dungeon, Demon Slayer:
# Kimetsu Academy, Detroit Metal City, Die Wergelder, Dinosaur Sanctuary, Don't Toy With Me Miss
# Nagatoro, Dorohedoro, Dragon Ball, Dragon Ball Z, Dragon Ball Super, the two Dragon Ball Full Color
# arc shelves, Dragon Head, Drifting Dragons). As in X-025/X-026, nearly every per-file GCD pick is a
# reused title-only stamp and several per-file CV picks are foreign-language/foreign-volume twins.
# Every I line comes from the shelf's own header pool (cv issues / gcd issues, ordinal-matched to
# the book's volume number) or a direct gcd_issue query when the header pool split across series,
# not the per-file pick, except where noted the per-file pick agreed.

# S5191 Dear NOMAN: per-file gcd reused 2200348/169093 (v01's row) on v02.
I 44412 cv=825274 gcd=2200348 isbn=9781975320089 0.95 | CV 133314 issue #1 (825274) and GCD 169093 issue #1 (2200348, ISBN 9781975320089) agree by ordinal in the shelf's own header pool
I 41670 cv=449646 gcd=1203315 isbn=978-1-4215-6593-4 0.95 | CV 71337 issue #2 (449646) and GCD 79050 issue #2 (1203315, ISBN 978-1-4215-6593-4) agree by ordinal, matching the shelf's own header pool for this book
I 41671 cv=455547 gcd=1218356 isbn=978-1-4215-6601-6 0.95 | CV 71337 issue #3 (455547) and GCD 79050 issue #3 (1218356, ISBN 978-1-4215-6601-6) agree by ordinal, matching the shelf's own header pool for this book
# All three carry C OWED. lookup.py "Dragon Ball" / "Dragon Ball Z" found only CV 26303 "Dragon
# Ball" 1985 Shueisha (the 42-tankobon Japanese original, indexed by VOLUME not chapter) and the
# sibling shelf's own Dragon Ball Z (S5816, CV 26289 / GCD 44388, also indexed by tankobon volume,
# not chapter); neither catalog gives a CHAPTER-level run whose own numbering the judged ranges
# #1-17 / #18-34 / #35-51 could be stated against without inventing one, so no C is written.
N 41669 no-record | C OWED, but no catalog holds a chapter-level Dragon Ball/Dragon Ball Z run to state the #1-17 range against -- CV 26303 and GCD 44388/26289 are indexed by tankobon volume, not chapter, and inventing a chapter-to-volume mapping is not supported by the packet's pool
N 41670 no-record | C OWED, but no catalog holds a chapter-level Dragon Ball/Dragon Ball Z run to state the #18-34 range against -- CV 26303 and GCD 44388/26289 are indexed by tankobon volume, not chapter, and inventing a chapter-to-volume mapping is not supported by the packet's pool
N 41671 no-record | C OWED, but no catalog holds a chapter-level Dragon Ball/Dragon Ball Z run to state the #35-51 range against -- CV 26303 and GCD 44388/26289 are indexed by tankobon volume, not chapter, and inventing a chapter-to-volume mapping is not supported by the packet's pool

# S5817 Dragon Head: per-file cv is a foreign twin (vol 50685) and per-file gcd reused 1737705/103940
# (a wholly different series) on all 10 -- header pool used throughout; the shelf's own S line caps
# at 0.9 (a dump-only GCD pairing), so the I lines inherit that ceiling.
I 41234 cv=233956 gcd=273330 0.9 | CV 35447 issue #1 (233956) and GCD 16517 issue #1 (273330) agree by ordinal within the shelf's own header pool; the shelf's S line caps at 0.9 (GCD dump-only), inherited here
I 41235 cv=233957 gcd=2797897 0.9 | CV 35447 issue #2 (233957) and GCD 16517 issue #2 (2797897) agree by ordinal within the shelf's own header pool; the shelf's S line caps at 0.9 (GCD dump-only), inherited here
I 41236 cv=233958 gcd=2797898 0.9 | CV 35447 issue #3 (233958) and GCD 16517 issue #3 (2797898) agree by ordinal within the shelf's own header pool; the shelf's S line caps at 0.9 (GCD dump-only), inherited here
I 41237 cv=233959 gcd=2797899 0.9 | CV 35447 issue #4 (233959) and GCD 16517 issue #4 (2797899) agree by ordinal within the shelf's own header pool; the shelf's S line caps at 0.9 (GCD dump-only), inherited here
I 41238 cv=233960 gcd=2797900 0.9 | CV 35447 issue #5 (233960) and GCD 16517 issue #5 (2797900) agree by ordinal within the shelf's own header pool; the shelf's S line caps at 0.9 (GCD dump-only), inherited here
I 41239 cv=233961 gcd=2797901 0.9 | CV 35447 issue #6 (233961) and GCD 16517 issue #6 (2797901) agree by ordinal within the shelf's own header pool; the shelf's S line caps at 0.9 (GCD dump-only), inherited here
I 41240 cv=233962 gcd=2797902 0.9 | CV 35447 issue #7 (233962) and GCD 16517 issue #7 (2797902) agree by ordinal within the shelf's own header pool; the shelf's S line caps at 0.9 (GCD dump-only), inherited here
I 41241 cv=233963 gcd=2797903 0.9 | CV 35447 issue #8 (233963) and GCD 16517 issue #8 (2797903) agree by ordinal within the shelf's own header pool; the shelf's S line caps at 0.9 (GCD dump-only), inherited here
I 41242 cv=233964 gcd=2797904 0.9 | CV 35447 issue #9 (233964) and GCD 16517 issue #9 (2797904) agree by ordinal within the shelf's own header pool; the shelf's S line caps at 0.9 (GCD dump-only), inherited here
I 41243 cv=233965 gcd=2797905 0.9 | CV 35447 issue #10 (233965) and GCD 16517 issue #10 (2797905) agree by ordinal within the shelf's own header pool; the shelf's S line caps at 0.9 (GCD dump-only), inherited here

# S5870 Drifting Dragons: per-file cv is a foreign twin (vol 148105); per-file gcd reused 2051988/153691
I 44495 cv=644268 gcd=2051988 isbn=9781632368904 0.95 | CV 106659 issue #1 (644268) and GCD 153691 issue #1 (2051988, ISBN 9781632368904) agree by ordinal in the shelf's own header pool
I 44496 cv=650706 gcd=2051989 isbn=9781632369444 0.95 | CV 106659 issue #2 (650706) and GCD 153691 issue #2 (2051989, ISBN 9781632369444) agree by ordinal in the shelf's own header pool
I 44497 cv=661791 gcd=2072709 isbn=9781632369451 0.95 | CV 106659 issue #3 (661791) and GCD 153691 issue #3 (2072709, ISBN 9781632369451) agree by ordinal in the shelf's own header pool
I 44498 cv=720646 gcd=2106033 isbn=9781632369512 0.95 | CV 106659 issue #4 (720646) and GCD 153691 issue #4 (2106033, ISBN 9781632369512) agree by ordinal in the shelf's own header pool
I 44499 cv=729323 gcd=2139445 isbn=9781632369529 0.95 | CV 106659 issue #5 (729323) and GCD 153691 issue #5 (2139445, ISBN 9781632369529) agree by ordinal in the shelf's own header pool
I 44500 cv=736344 gcd=2163075 isbn=9781646510351 0.95 | CV 106659 issue #6 (736344) and GCD 153691 issue #6 (2163075, ISBN 9781646510351) agree by ordinal in the shelf's own header pool
I 44501 cv=745546 gcd=2177707 isbn=9781646510368 0.95 | CV 106659 issue #7 (745546) and GCD 153691 issue #7 (2177707, ISBN 9781646510368) agree by ordinal in the shelf's own header pool
#   (v01's row) on v01-05, then a wrong series (200874) on v06-07 -- header pool used throughout.
