# X-024 — Black Clover, Black Lagoon, Blade of the Immortal (collected-line shelf, C OWED on every book),
# BLAME! Master Edition, Blank Canvas, Bleach. Same manga shape as X-022/X-023 for the non-C shelves: nearly
# every "linked" cv/gcd field is a reused stamp or points at a wrong volume/series, and the shelf header's own
# cv-issues/gcd-issues pools matched by ORDINAL position (#N suffix) are the real per-book records.

# S2676 Black Clover cv=90843 gcd=118484 0.95 — linked cv names a wrong volume (87078) throughout; linked gcd
# stamps header's own #9 id (1751664) across all 32 books. Header's 36-row pools by ordinal decide both ids.
I 42810 cv=532937 gcd=1751664 0.95 | ordinal #1 of CV 90843 / GCD 118484 header pools; linked cv 510185/87078 names a wrong volume
I 42446 cv=263696 gcd=676359 isbn=978-1-4215-2387-3 0.95 | ordinal #29 of CV 34586 / GCD 27557 header pools; linked gcd 565303/33596 names a wrong series
I 42447 cv=263697 gcd=676360 isbn=978-1-4215-2388-0 0.95 | ordinal #30 of CV 34586 / GCD 27557 header pools; linked gcd 392968/27557 st0 reuses #13's id, wrong for #30
I 42448 cv=263698 gcd=676361 isbn=978-1-4215-2809-0 0.95 | ordinal #31 of CV 34586 / GCD 27557 header pools; linked gcd 392968/27557 st0 reuses #13's id, wrong for #31
I 42449 cv=263699 gcd=676362 isbn=978-1-4215-2810-6 0.95 | ordinal #32 of CV 34586 / GCD 27557 header pools; linked gcd 392968/27557 st0 reuses #13's id, wrong for #32
I 42450 cv=263700 gcd=676363 isbn=978-1-4215-2811-3 0.95 | ordinal #33 of CV 34586 / GCD 27557 header pools; linked gcd 392968/27557 st0 reuses #13's id, wrong for #33
I 42451 cv=264582 gcd=676364 isbn=978-1-4215-2812-0 0.95 | ordinal #34 of CV 34586 / GCD 27557 header pools; linked gcd 392956/27557 st0 reuses #1's id, wrong for #34
I 42452 cv=272811 gcd=676365 isbn=978-1-4215-3312-4 0.95 | ordinal #35 of CV 34586 / GCD 27557 header pools; linked gcd 392968/27557 st0 reuses #13's id, wrong for #35
I 42453 cv=291138 gcd=874787 isbn=978-1-4215-3313-1 0.95 | ordinal #36 of CV 34586 / GCD 27557 header pools; linked gcd 392968/27557 st0 reuses #13's id, wrong for #36
I 42454 cv=305663 gcd=900476 isbn=978-1-42153-314-8 0.95 | ordinal #37 of CV 34586 / GCD 27557 header pools; linked gcd 392957/27557 st0 reuses #2's id, wrong for #37
I 42455 cv=316144 gcd=916808 isbn=978-1-4215-3597-5 0.95 | ordinal #38 of CV 34586 / GCD 27557 header pools; linked gcd 392968/27557 st0 reuses #13's id, wrong for #38
I 42456 cv=326918 gcd=934861 isbn=978-1-4215-3598-2 0.95 | ordinal #39 of CV 34586 / GCD 27557 header pools; linked gcd 392968/27557 st0 reuses #13's id, wrong for #39
I 42457 cv=338732 gcd=951478 isbn=978-1-4215-4137-2 0.95 | ordinal #40 of CV 34586 / GCD 27557 header pools; linked gcd 392968/27557 st0 reuses #13's id, wrong for #40
I 42458 cv=338733 gcd=951694 isbn=978-1-4215-4138-9 0.95 | ordinal #41 of CV 34586 / GCD 27557 header pools; linked gcd 392968/27557 st0 reuses #13's id, wrong for #41
I 42459 cv=344206 gcd=956216 isbn=978-1-4215-4139-6 0.95 | ordinal #42 of CV 34586 / GCD 27557 header pools; linked gcd 392968/27557 st0 reuses #13's id, wrong for #42
I 42460 cv=344207 gcd=956223 isbn=978-1-4215-4296-6 0.95 | ordinal #43 of CV 34586 / GCD 27557 header pools; linked gcd 392956/27557 st0 reuses #1's id, wrong for #43
I 42461 cv=349740 gcd=991059 isbn=978-1-4215-4297-3 0.95 | ordinal #44 of CV 34586 / GCD 27557 header pools; linked gcd 392968/27557 st0 reuses #13's id, wrong for #44
I 42462 cv=349741 gcd=991082 isbn=978-1-4215-4298-0 0.95 | ordinal #45 of CV 34586 / GCD 27557 header pools; linked gcd 392968/27557 st0 reuses #13's id, wrong for #45
I 42463 cv=355841 gcd=998336 isbn=978-1-4215-4299-7 0.95 | ordinal #46 of CV 34586 / GCD 27557 header pools; linked gcd 392968/27557 st0 reuses #13's id, wrong for #46
I 42464 cv=355842 gcd=998337 isbn=978-1-4215-4300-0 0.95 | ordinal #47 of CV 34586 / GCD 27557 header pools; linked gcd 392968/27557 st0 reuses #13's id, wrong for #47
I 42465 cv=360048 gcd=1012968 isbn=978-1-4215-4301-7 0.95 | ordinal #48 of CV 34586 / GCD 27557 header pools; linked gcd 392957/27557 st0 reuses #2's id, wrong for #48
I 42466 cv=360049 gcd=1032837 isbn=978-1-4215-4302-4 0.95 | ordinal #49 of CV 34586 / GCD 27557 header pools; linked gcd 392968/27557 st0 reuses #13's id, wrong for #49
I 42467 cv=365806 gcd=1032875 isbn=978-1-4215-4303-1 0.95 | ordinal #50 of CV 34586 / GCD 27557 header pools; linked gcd 392968/27557 st0 reuses #13's id, wrong for #50
I 42468 cv=365807 gcd=1032879 isbn=978-1-4215-4304-8 0.95 | ordinal #51 of CV 34586 / GCD 27557 header pools; linked gcd 392968/27557 st0 reuses #13's id, wrong for #51
I 42469 cv=371241 gcd=1037181 isbn=978-1-4215-4305-5 0.95 | ordinal #52 of CV 34586 / GCD 27557 header pools; linked gcd 392968/27557 st0 reuses #13's id, wrong for #52
I 42470 cv=371242 gcd=1037200 isbn=978-1-4215-4949-1 0.95 | ordinal #53 of CV 34586 / GCD 27557 header pools; linked gcd 623401/27557 st0 reuses #24's id, wrong for #53
I 42471 cv=376698 gcd=1042248 isbn=978-1-4215-5138-8 0.95 | ordinal #54 of CV 34586 / GCD 27557 header pools; linked gcd 392957/27557 st0 reuses #2's id, wrong for #54
I 42472 cv=385045 gcd=1071020 isbn=978-1-4215-5236-1 0.95 | ordinal #55 of CV 34586 / GCD 27557 header pools; linked gcd 392968/27557 st0 reuses #13's id, wrong for #55
I 42473 cv=395628 gcd=1098920 isbn=978-1-4215-5476-1 0.95 | ordinal #56 of CV 34586 / GCD 27557 header pools; linked gcd 392968/27557 st0 reuses #13's id, wrong for #56
I 42474 cv=415292 gcd=1128040 isbn=978-1-4215-5882-0 0.95 | ordinal #57 of CV 34586 / GCD 27557 header pools; linked gcd 392968/27557 st0 reuses #13's id, wrong for #57
I 42475 cv=427741 gcd=1145607 isbn=978-1-4215-6135-6 0.95 | ordinal #58 of CV 34586 / GCD 27557 header pools; linked gcd 392956/27557 st0 reuses #1's id, wrong for #58
I 42476 cv=444032 gcd=1179746 isbn=978-1-4215-6237-7 0.95 | ordinal #59 of CV 34586 / GCD 27557 header pools; linked gcd 392968/27557 st0 reuses #13's id, wrong for #59
I 42477 cv=449643 gcd=1203310 isbn=978-1-4215-6458-6 0.95 | ordinal #60 of CV 34586 / GCD 27557 header pools; linked gcd 392968/27557 st0 reuses #13's id, wrong for #60
I 42478 cv=461798 gcd=1303485 isbn=978-1-4215-7383-0 0.95 | ordinal #61 of CV 34586 / GCD 27557 header pools; linked gcd 392968/27557 st0 reuses #13's id, wrong for #61
I 42479 cv=469569 gcd=1303486 isbn=978-1-4215-7681-7 0.95 | ordinal #62 of CV 34586 / GCD 27557 header pools; linked gcd 392968/27557 st0 reuses #13's id, wrong for #62
I 42480 cv=478434 gcd=1330440 isbn=978-1-4215-7855-2 0.95 | ordinal #63 of CV 34586 / GCD 27557 header pools; linked gcd 392968/27557 st0 reuses #13's id, wrong for #63
I 42481 cv=494224 gcd=1447899 isbn=978-1-4215-7973-3 0.95 | ordinal #64 of CV 34586 / GCD 27557 header pools; linked gcd 392968/27557 st0 reuses #13's id, wrong for #64
I 42482 cv=504157 gcd=1510128 isbn=978-1-4215-8084-5 0.95 | ordinal #65 of CV 34586 / GCD 27557 header pools; linked gcd 392957/27557 st0 reuses #2's id, wrong for #65
I 42483 cv=517669 gcd=1545775 isbn=978-1-4215-8262-7 0.95 | ordinal #66 of CV 34586 / GCD 27557 header pools; linked gcd 392968/27557 st0 reuses #13's id, wrong for #66
I 42484 cv=538415 gcd=1638927 isbn=978-1-4215-8506-2 0.95 | ordinal #67 of CV 34586 / GCD 27557 header pools; linked gcd 392968/27557 st0 reuses #13's id, wrong for #67
