# R-053 — the P-013 split's shelves in pair groups: the legacy Amazing Spider-Man and its four later runs, Wolverine (1988) and its seven
# siblings, X-Men (1991) and its eleven siblings, plus the Day of the Atom revisit. Most shelves were read before (R-026..R-050, C-035..C-064);
# this pass re-reads each after the joins landed, restates its identity, and re-declares every book line on it (I lines are never optional).
# Surprises: (1) the Amazing Spider-Man legacy title has no single record on either leg — CV 2127 spans 1963 #1-441 + 2003 #500-700 and keeps
# the 1999 #1-58 apart (CV 78701), GCD spans 1999 #1-58 + #500-700 as 11288 and keeps 1963-1998 as 1570; (2) the X-Men Omnibus files carry
# crossed ComicInfo Web ids — page count decides (Book 01 771pp = Volume 1 776pp, Book 02 905pp = Volume Two 920pp); (3) the 2022 ASM shelf
# now holds the run, not the Zeb Wells trade line C-035 gave it.

# ---- Amazing Spider-Man ---------------------------------------------------------------------------------------------------------------

S 64133 cv=2127 gcd=1570 0.9 | the KEPT legacy shelf: "01 Amazing Spider-Man v1 (1963)" #1-441 (1963-1998) + "03 ... v1 (2003)" #500-700 incl. 654.1/679.1/699.1 = CV 2127 "The Amazing Spider-Man" (Marvel 1963, 651 = 441 + the #500-700.x stretch, cached 651) whose span is exactly our ladder 1-441 + 500-700; GCD 1570 (Marvel 1963-1998, 443) is the same run's first 441 numbers (379 per-file links); ComicInfo Volume "1963" x7, Count "681", Web 64599/64433; residue that is a different comic caps 0.9: the Annual #1-42 (38 files, own series CV 2189 / GCD 1635), four Facsimile Editions (own one-shot records), and the 1999 v2 #20-58 (see N)
I 94736 cv=494943 gcd=1325207 isbn=9780785192343 0.95 | "Amazing Spider-Man Vol. 03 - Spider-Verse" 143pp, the second rip of the same TPB (CV 83232 / GCD row 1325207)
C 94736 cv=55552 gcd=71030 #32-32 0.95 | the second rip of Spider-Verse also collects Superior Spider-Man (2013) #32 per GCD row 1325207
I 94737 cv=498381 gcd=1450278 isbn=9780785193388 0.95 | "Amazing Spider-Man Vol. 04 - Graveyard Shift" 100pp, the second rip (CV 84084 / GCD row 1450278)
C 94737 gcd=85112 #1-1 0.95 | the second rip of Graveyard Shift also collects Amazing Spider-Man Annual (2015, GCD 85112) #1 per GCD row 1450278
I 94738 cv=501015 gcd=1460652 isbn=9780785193166 0.95 | "Amazing Spider-Man Vol. 05 - Spiral" 107pp, the second rip (CV 84745 / GCD row 1460652)
I 94740 cv=482151 gcd=1330487 0.95 | "Amazing Spider-Man Special 001 (2015)" 33pp = CV 80596 issue 482151 "Inhuman Error: Part 1 of 3" and GCD 87139 row 1330487 (40pp, 2015-03-11)

# ---- Wolverine --------------------------------------------------------------------------------------------------------------------------

S 66293 cv=4250 gcd=3865 0.95 | the KEPT half is Wolverine (1988-2003) #1-189 incl. #102.5 (the X-Men Complete Chronology rips): CV 4250 "Wolverine" (Marvel 1988, 192) and GCD 3865 (Marvel 1988-2003, 190) agree on start year and run length; ComicInfo on 32 files asserts Volume "1988", Count "189", Publisher Marvel Comics, and its Web ids 64312-64315 are CV 4250's own issues (64312 = #49); our ladder 1-189 sits inside both; GCD per-file 3865 on 127/186; the only oddity is #102.5, the run's own half-issue
F 66293 merge-with=101454 | S101454 "Wolverine v2 (1988)" (153 files, C-052 S cv=4250 gcd=3865) is the same 1988 ongoing — its #45-189 ladder and this shelf's chronology rips of #1-189 are one run; both S lines now carry cv=4250, so P-013's pending join lands through the shared CV
F 66293 wrong-cv-link | the per-file CV pick 69993 "Wolverine" (Panini Comics 1989, 445) on 186/186 files is the Italian edition (L-313's franchise-wide stamp); the English Marvel volume is 4250

S 103813 cv=69789 gcd=77972 0.95 | split-reader ids CONFIRMED: four "Wolverine by Jason Aaron - The Complete Collection Book 01-04" (383-437pp) = CV 69789 "Wolverine by Jason Aaron: The Complete Collection" (Marvel 2013, 4) = GCD 77972 (Marvel 2013-2014, 4); the line spans Wolverine Weapon X, Wolverine (2003), Manifest Destiny, Wolverine (2010) and Astonishing Spider-Man & Wolverine, so it is its own identity (multi-run line, L-109); ISBNs on all four GCD rows; flag #675 is already Dismissed
F 103813 needs-fetch cv=69789 | named from the rip only; no CvVolume row
I 98096 cv=435873 gcd=1166699 isbn=978-0-7851-8541-3 0.95 | Book 01 (2013) 383pp = CV 69789 issue 435873 "Vol. 1" and GCD 77972 #1 row 1166699 (396pp, ISBN 978-0-7851-8541-3)
C 98096 cv=26150 gcd=36479 #1-5 0.95 | Book 01's GCD roll-up includes Wolverine Weapon X (Marvel 2009, 16; CV 26150 / GCD 36479) #1-5 entire — the "Adamantium Men" arc
C 98096 cv=23486 gcd=32294 #1-4 0.9 | Book 01 also collects the whole four-issue "Wolverine: Manifest Destiny" (Marvel 2008, 4; CV 23486 / GCD 32294)
C 98096 cv=10809 gcd=11723 #62-65 0.9 | Book 01 also collects Wolverine (Marvel 2003, 75; CV 10809 / GCD 11723) #62-65 per GCD row 1166699 (the larger stretch; #56 and #73-74 on the N line)
N 98096 Book 01 also reprints Wolverine (2003) #56 and #73-74 (disjoint from #62-65) and Wolverine (1988) #175 (CV 4250 / GCD 3865), per GCD row 1166699's roll-up
I 98097 cv=449283 gcd=1192799 isbn=978-0-7851-8576-5 0.95 | Book 02 (2014) 321pp = CV 69789 issue 449283 "Vol. 2" and GCD 77972 #2 row 1192799 (324pp, ISBN 978-0-7851-8576-5)
C 98097 cv=26150 gcd=36479 #6-16 0.95 | Book 02 finishes Wolverine Weapon X (Marvel 2009, 16; CV 26150 / GCD 36479) with #6-16, which is its judged range exactly
I 98098 cv=472433 gcd=2223287 isbn=978-0-7851-8908-4 0.95 | Book 03 (2014) 437pp = CV 69789 issue 472433 "Vol. 3" and GCD 77972 #3 row 2223287 (460pp, ISBN 978-0-7851-8908-4)
C 98098 cv=35263 gcd=52076 #1-9 0.95 | Book 03 collects Wolverine (Marvel 2010, 40; CV 35263 / GCD 52076) #1-9 including #5.1 per GCD notes of row 2223287
C 98098 gcd=48355 #1-6 0.9 | Book 03 also collects the whole six-issue "Astonishing Spider-Man & Wolverine" (Marvel 2010-2011, GCD 48355, 6) per GCD notes of row 2223287
I 98099 cv=471553 gcd=2479593 isbn=978-0-7851-8909-1 0.95 | Book 04 (2014) 396pp = CV 69789 issue 471553 "Vol. 4" and GCD 77972 #4 row 2479593 (412pp, ISBN 978-0-7851-8909-1)
C 98099 cv=35263 gcd=52076 #10-20 0.95 | Book 04 collects Wolverine (Marvel 2010, 40; CV 35263 / GCD 52076) #10-20 per GCD notes of row 2479593 (the larger stretch; #300-304 on the N line)
N 98099 Book 04 also collects the legacy-numbered Wolverine #300-304 (same GCD series 52076, "Legacy numbering begins after #20"), disjoint from #10-20

S 101456 cv=10809 gcd=11723 0.95 | Wolverine (2003-2009) #0-74: the stored CV 10809 "Wolverine" (Marvel 2003, 75, cached #1-900) and GCD 11723 (Marvel 2003-2009, 81) agree; per-file GCD 11723 on 49/94; the joined "Wolverine v3 032, 050-055 (B&W)" files are second (black-and-white) rips of the run's own #32 and #50-55, costing nothing; the Rucka Ultimate Collection and Vol. 01-12 trades are the run's own editions (GCD notes #1-19, #33-35, #36-40, #41/#49, #66-72); flag #538 is label-ambiguous, not conflated/overlap
F 101456 wrong-cv-link | per-file CV 69993 (Panini Comics Italian "Wolverine" 1989, 445) on 82/94 files is the franchise-wide foreign stamp (L-313); the English volume is the stored 10809
I 97998 cv=308204 gcd=2732985 isbn=9780785158455 0.95 | "Wolverine Vol. 01-03 - Greg Rucka Ultimate Collection" 433pp = CV 44773 issue 308204 and GCD 223516 row 2732985 (collects Wolverine 2003 #1-19)
I 97800 cv=236737 gcd=- 0.9 | "Wolverine Vol. 01 - Brotherhood" 140pp = CV 35767 "Wolverine: The Brotherhood" issue 236737 "Volume 1"; no GCD row found
I 97801 cv=237582 gcd=- 0.9 | "Vol. 02 - Coyote Crossing" 117pp = CV 35932 issue 237582 "Volume 2"; no GCD row found
I 97802 cv=237584 gcd=- 0.9 | "Vol. 03 - Return Of The Native" 174pp = CV 35933 issue 237584 "Volume 3"; no GCD row found
I 97804 cv=235669 gcd=1077148 isbn=9780785119227 0.95 | "Vol. 05 - House of M" 149pp = CV 35641 "House of M: World of M Featuring Wolverine" issue 235669 and GCD 72055 row 1077148 (156pp; Wolverine #33-35 + tie-ins)
C 97804 cv=11499 gcd=12466 #10-10 0.95 | House of M also collects Captain America (Marvel 2005 series, CV 11499 / GCD 12466) #10 per GCD row 1077148's roll-up
C 97804 cv=11310 gcd=12256 #10-10 0.95 | House of M also collects The Pulse (Marvel 2004, 14; CV 11310 / GCD 12256) #10 per GCD row 1077148's roll-up
C 97804 cv=11502 gcd=12471 #7-7 0.95 | House of M also collects Black Panther (Marvel 2005, 41; CV 11502 / GCD 12471) #7 per GCD row 1077148's roll-up
I 97805 cv=186402 gcd=1105296 0.95 | "Vol. 06 - Origins & Endings" 123pp = CV 30231 issue 186402 and GCD 73845 row 1105296 (120pp; notes: Wolverine (2003) #36-40)
I 97806 cv=138868 gcd=394274 0.95 | "Vol. 07 - Blood & Sorrow" 124pp = CV 23047 issue 138868 (TPB) and GCD 27793 row 394274 (124pp; #41, #49 + Giant-Size Wolverine #1 + XMU #12)
C 97806 cv=20385 gcd=19897 #1-1 0.95 | Blood & Sorrow also collects Giant-Size Wolverine (Marvel 2006, 1; CV 20385 / GCD 19897) #1 per GCD row 394274
C 97806 cv=10745 gcd=11652 #12-12 0.95 | Blood & Sorrow also collects X-Men Unlimited (Marvel 2004, 14; CV 10745 / GCD 11652) #12 per GCD row 394274
I 97807 cv=171452 gcd=- 0.9 | "Vol. 08 - Civil War" 161pp = CV 27959 "Wolverine: Civil War" issue 171452; no GCD row found
I 97808 cv=132521 gcd=865106 isbn=9780785122555 0.9 | "Vol. 09 - Evolution" 126pp = CV 21973 issue 132521 and GCD 60015 row 865106 (2007, no page count)
I 97810 cv=179761 gcd=1105264 0.95 | "Vol. 11 - Get Mystique" 98pp = CV 29178 issue 179761 (TPB) and GCD 73814 row 1105264
I 97811 cv=198497 gcd=1094173 isbn=9780785131724 0.95 | "Vol. 12 - Old Man Logan (2010)" 199pp = CV 31674 issue 198497 (TPB, 2010-09) and GCD 72767 row 1094173 (228pp, 2010-09-08; #66-72 + Giant-Size)
C 97811 cv=28080 gcd=40012 #1-1 0.95 | Old Man Logan also collects Wolverine: Old Man Logan Giant-Size (Marvel 2009, 1; CV 28080 / GCD 40012) #1 per GCD row 1094173
I 117941 cv=198497 gcd=1094173 isbn=9780785131724 0.95 | a second rip of "Vol. 12 - Old Man Logan (2010)" 199pp — the same record as item 97811 (CV 31674 issue 198497 / GCD 72767 row 1094173)
C 117941 cv=28080 gcd=40012 #1-1 0.95 | the second rip of Old Man Logan also collects Wolverine: Old Man Logan Giant-Size (Marvel 2009, 1) #1 per GCD row 1094173

S 21775 cv=159036 gcd=213936 1.0 | ComicInfo Web "1064356" on the 31pp book is CV 159036 "Wolverine No. 88 Facsimile Edition" (Marvel 2024, 1)'s own issue, and GCD 213936 (Marvel 2024, 1) row 2647687 (36pp) agrees by title and year; the joined 83129-83130 are 1pp variant covers of the same book and cost nothing; the per-file GCD 3865 / 185205 picks are round2 stamps, rejected
I 83134 cv=1064356 gcd=2647687 1.0 | "Wolverine 088 - Facsimile Edition (2024)" 31pp: ComicInfo Web 1064356 = CV 159036 issue 1064356, and GCD 213936 row 2647687 (2024-07-24, 36pp)

S 66295 cv=34272 gcd=65580 0.95 | the Wolverine Omnibus line: Books 01-05 (1043-1226pp, Book 03 joined) + a 1pp cover of Book 05 = the stored CV 34272 "Wolverine Omnibus" (Marvel 2009, 6) = GCD 65580 (2009-, 6), rows #1-#5 matching our five books within 30-160pp of reprint back-matter; the line spans Wolverine 1988, Marvel Comics Presents and a dozen minis, so it is its own identity (multi-run line)
I 97627 cv=223579 gcd=945068 isbn=9780785134770 0.95 | "COL Wolverine Omnibus Book 01 (2020)" 1043pp = CV 34272 #1 issue 223579 and GCD 65580 #1 row 945068 (1072pp)
C 97627 cv=4250 gcd=3865 #1-10 0.95 | Book 01 collects Wolverine (Marvel 1988, 192; CV 4250 / GCD 3865) #1-10 per GCD row 945068's roll-up (#166-167 on the N line)
C 97627 cv=4058 gcd=3654 #72-84 0.95 | Book 01 collects Marvel Comics Presents (Marvel 1988, 175; CV 4058 / GCD 3654) #72-84, the Weapon X serial (the larger stretch; #1-10 on the N line)
C 97627 cv=3348 gcd=2876 #1-6 0.95 | Book 01 collects Kitty Pryde and Wolverine (Marvel 1984, 6; CV 3348 / GCD 2876) #1-6 per GCD row 945068
C 97627 cv=3157 gcd=2671 #1-4 0.95 | Book 01 collects Wolverine (Marvel 1982 limited series, 4; CV 3157 / GCD 2671) #1-4 per GCD row 945068
N 97627 Book 01 also collects Wolverine (1988) #166-167 and Marvel Comics Presents #1-10 — disjoint second stretches of runs already named on its C lines
I 97628 cv=878286 gcd=2253642 isbn=9781302929954 0.95 | "COL Wolverine Omnibus Book 02 (2022)" 1180pp = CV 34272 #2 issue 878286 and GCD 65580 #2 row 2253642 (1252pp)
C 97628 cv=4250 gcd=3865 #11-30 0.95 | Book 02 collects Wolverine (Marvel 1988, 192; CV 4250 / GCD 3865) #11-30 per GCD row 2253642's roll-up
C 97628 cv=4058 gcd=3654 #38-71 0.95 | Book 02 collects Marvel Comics Presents (Marvel 1988, 175; CV 4058 / GCD 3654) #38-71 per GCD row 2253642
C 97628 cv=4055 gcd=3651 #1-4 0.95 | Book 02 collects Havok & Wolverine: Meltdown (Marvel 1988, 4; CV 4055 / GCD 3651) #1-4 per GCD row 2253642
I 97629 cv=965997 gcd=2481452 isbn=978-1-302-94651-7 0.9 | the joined "COL Wolverine Omnibus Book 03 (2023)" 1226pp = CV 34272 #3 issue 965997 "Volume 3" and GCD 65580 #3 row 2481452 (1272pp; two more variant rows 2482298/2482318 carry the same book), so 0.9
C 97629 cv=4250 gcd=3865 #31-59 0.95 | Book 03 collects Wolverine (Marvel 1988, 192; CV 4250 / GCD 3865) #31-59 — its judged range and GCD row 2481452's roll-up agree
C 97629 gcd=3654 #85-108 0.9 | Book 03 also collects Marvel Comics Presents (Marvel 1988-1995, GCD 3654, 175) #85-108, the Wolverine serial in that anthology
C 97629 gcd=4254 #4-7 0.9 | Book 03 also collects X-Men (Marvel 1991-2001, GCD 4254, 118) #4-7, the Omega Red arc, per GCD row 2481452
C 97629 gcd=2657 #54-55 0.9 | Book 03 also collects Marvel Fanfare (Marvel 1982-1992, GCD 2657, 60) #54-55 per GCD row 2481452
I 97630 cv=1013817 gcd=2566840 isbn=9781302953997 0.95 | "COL Wolverine Omnibus Book 04 (2023)" 1140pp = CV 34272 #4 issue 1013817 and GCD 65580 #4 row 2566840 (1184pp)
C 97630 cv=4250 gcd=3865 #60-75 0.95 | Book 04 collects Wolverine (Marvel 1988, 192; CV 4250 / GCD 3865) #60-75 per GCD row 2566840's roll-up
C 97630 cv=4058 gcd=3654 #109-142 0.95 | Book 04 collects Marvel Comics Presents (Marvel 1988, 175; CV 4058 / GCD 3654) #109-142 per GCD row 2566840
C 97630 cv=5041 gcd=4727 #1-4 0.95 | Book 04 collects Sabretooth (Marvel 1993 limited series, 4; CV 5041 / GCD 4727) #1-4 per GCD row 2566840
C 97630 gcd=7740 #1-3 0.95 | Book 04 collects Wolverine and the Punisher: Damaging Evidence (Marvel 1993, GCD 7740, 3) #1-3 per GCD row 2566840
I 97631 cv=1056252 gcd=2629278 isbn=9781302958060 0.95 | "COL Wolverine Omnibus Book 05 (2024)" 1144pp = CV 34272 #5 issue 1056252 and GCD 65580 #5 row 2629278 (1304pp)
C 97631 cv=4250 gcd=3865 #76-101 0.95 | Book 05 collects Wolverine (Marvel 1988, 192; CV 4250 / GCD 3865) #76-101 per GCD row 2629278's roll-up (the LEGACY run, not the 2024 relaunch)
C 97631 gcd=3654 #150-155 0.95 | Book 05 collects Marvel Comics Presents (Marvel 1988, GCD 3654, 175) #150-155 per GCD row 2629278
C 97631 gcd=7739 #1-4 0.95 | Book 05 collects Wolverine / Gambit: Victims (Marvel 1995, GCD 7739, 4) #1-4 per GCD row 2629278
I 97996 cv=1056252 gcd=2629278 0.9 | "Wolverine Omnibus Book 05 (2024) (Variant)" 1pp = the variant cover of CV 34272 #5 issue 1056252 / GCD 65580 #5 row 2629278

S 66292 cv=3157 gcd=2671 0.95 | Wolverine (1982) #1-4 "(of 04)" on two rip sets (8 files) = CV 3157 "Wolverine" (Marvel 1982, 4, cached #1-4) = GCD 2671 (1982, 4-issue miniseries), per-file GCD 2671 on 8/9; the joined Claremont & Miller Deluxe Edition is this mini's own edition (GCD roll-up s2671 #1-4) and costs nothing; duplicate rips cost nothing
I 97997 cv=939445 gcd=2305092 isbn=978-1-302-93164-3 0.95 | the joined "Wolverine by Claremont & Miller - Deluxe Edition (2021)" 159pp = CV 144228 "Wolverine by Claremont & Miller Deluxe Edition" (2022, 1) issue 939445 and GCD 180761 row 2305092 (164pp, ISBN 978-1-302-93164-3)
C 97997 cv=3157 gcd=2671 #1-4 0.95 | the Deluxe Edition collects the whole four-issue Wolverine (Marvel 1982, 4; CV 3157 / GCD 2671), this shelf's own run — judged range #1-4
C 97997 gcd=2605 #172-173 0.9 | it also collects The Uncanny X-Men (Marvel 1981-2011, GCD 2605) #172-173, the two-part sequel to the mini, per GCD row 2305092's roll-up

S 21844 cv=27131 gcd=11776 1.0 | ComicInfo Web "164832" = CV 27131 "Wolverine 2000" (Marvel 2000, 1)'s own issue, and GCD 11776 "Wolverine 2000" (2000, 1) row 207791 (52pp) agrees; the joined 89236 "003 Wolverine 2000 (2000)" 40pp is a second rip of the same one-shot; the GCD per-file picks 100686 / 7737 are a Danish series and a round2-folder stamp, rejected
I 97639 cv=164832 gcd=207791 1.0 | "Wolverine 2000 001 (2000)" 40pp: ComicInfo Web 164832 = CV 27131 issue 164832, and GCD 11776 row 207791 (2000-11-08, 52pp)
I 89236 cv=164832 gcd=207791 0.95 | the joined "003 Wolverine 2000 (2000) (noads)" 40pp = CV 27131 issue 164832 / GCD 11776 row 207791, the same annual one-shot as item 97639

S 21845 cv=27132 gcd=11777 1.0 | ComicInfo Web "164833" = CV 27132 "Wolverine 2001" (Marvel 2001, 1)'s own issue, and GCD 11777 "Wolverine 2001" (2001, 1) row 207792 (52pp) agrees; the joined 89362 "005 Wolverine 2001 (2001)" 40pp is a second rip of the same one-shot; per-file 100686 / 7737 rejected as for S21844
I 97640 cv=164833 gcd=207792 1.0 | "Wolverine 2001 001 (2001)" 40pp: ComicInfo Web 164833 = CV 27132 issue 164833, and GCD 11777 row 207792 (2001-11-07, 52pp)
I 89362 cv=164833 gcd=207792 0.95 | the joined "005 Wolverine 2001 (2001) (noads)" 40pp = CV 27132 issue 164833 / GCD 11777 row 207792, the same one-shot as item 97640

# ---- X-Men ------------------------------------------------------------------------------------------------------------------------------

S 66349 cv=4605 gcd=4254 0.9 | the KEPT half is X-Men (1991-2001) #-1, #0.5, #1-113: the stored CV 4605 "X-Men" (Marvel 1991, 115, cached #1-113) = GCD 4254 (Marvel 1991-2001, 118 incl. #-1/#0.5), per-file GCD 4254 on 122/244; ComicInfo Volume "1991" x23, Count "113" x8, and Web 65726/65799-65801 are CV 4605's own issues (65726 = #25); the ratio 2.12 is the X-Men Complete Chronology second rips of the same issues (L-034), costing nothing; 0.9 for the annuals (Annual 001 1992 x2 rips, Annual 1995/1996/1997/1998/2000 — their own annual series)
F 66349 wrong-cv-link | the per-file CV 43640 (Panini France "X-Men" 1997, 169) on 219/244 files is the franchise-wide foreign stamp (L-313); GCD's 59620/30303/98823 per-file picks are Spanish/Danish editions — the English pair is the stored 4605 / 4254
N 66349 the shelf's alias key "X-Men" still carries a Manual SeriesKeyLink gcd=11638 (X-Men 2004) left from the landed merge of S22216 (C-054); the 2004 run now has its own shelf S103816, so that link belongs there, not here

S 103744 cv=2133 gcd=1576 0.95 | The X-Men (1963) after the joins: "X-Men 095-141 (1975-1981)" (43 files, 17-36pp), the 27 COL-labelled "Uncanny X-Men-V1-067..093" issue files of 0003 Reprints (GCD rows 23912..28694 all in s1576) and the Lee & Kirby Omnibus Books 01-02 = CV 2133 "The X-Men" (Marvel 1963, 141) = GCD 1576 (Marvel 1963-1981, 141); ladder 67-141 inside both counts; the omnibus books reprint ONLY this run (#1-31, #32-66) and are its own editions (L-109: a one-run line goes to the run); raises R-047's 0.9 now that the Book 01 join removed the only doubt; #1-66 issues sit on S6791 awaiting its split
F 103744 needs-fetch cv=2133 | named from the rip only; no CvVolume row
N 103744 the per-file CV 43640 (Panini France) stamp on 43/72 and the GCD round2-series 4254 on 12/72 are rejected; flag #547 (label-ambiguous, the 0pp COL-labelled issue files) is not a conflated/overlap flag
I 92980 cv=167612 gcd=847024 isbn=978-0-7851-2958-5 0.95 | "X-Men by Lee & Kirby Omnibus Book 01 (2011)" 771pp = CV 27489 "X-Men Omnibus" #1 issue 167612 "Volume 1" and GCD 59257 #1 row 847024 (776pp, ISBN 978-0-7851-2958-5) — page count decides; CORRECTS X-061's cv=273105 (Volume Two, 920pp), which came from the crossed ComicInfo Web ids on these two files
C 92980 cv=2133 gcd=1576 #1-31 0.95 | Book 01 collects The X-Men (Marvel 1963, 141; CV 2133 / GCD 1576) #1-31 per GCD row 847024's roll-up (92 stories)
I 92981 cv=273105 gcd=847025 isbn=9780785153078 0.95 | "X-Men by Lee & Kirby Omnibus Book 02 (2009)" 905pp = CV 27489 #2 issue 273105 "Volume Two" and GCD 59257 #2 row 847025 (920pp, ISBN 978-0-7851-5307-8); its ComicInfo Web 167612 is Volume 1, wrong for a 905pp book
C 92981 cv=2133 gcd=1576 #32-66 0.95 | Book 02 collects The X-Men (Marvel 1963, 141; CV 2133 / GCD 1576) #32-66 per GCD row 847025's roll-up (125 stories)
I 86557 cv=11168 gcd=23912 0.9 | "002 Uncanny X-Men-V1-067" = The X-Men (1963) #67 (Dec 1970): CV 2133 issue 11168 and GCD 1576 row 23912 (52pp); the file reads 0pp, so the filename's number is the only evidence
I 86558 cv=11288 gcd=24054 0.9 | "003 Uncanny X-Men-V1-068" = The X-Men (1963) #68 (Feb 1971): CV 2133 issue 11288 and GCD 1576 row 24054; 0pp file, number-only evidence
I 86559 cv=11391 gcd=24177 0.9 | "004 Uncanny X-Men-V1-069" = The X-Men (1963) #69 (Apr 1971): CV 2133 issue 11391 and GCD 1576 row 24177; 0pp file, number-only evidence
I 86560 cv=11499 gcd=24309 0.9 | "005 Uncanny X-Men-V1-070" = The X-Men (1963) #70 (Jun 1971): CV 2133 issue 11499 and GCD 1576 row 24309; 0pp file, number-only evidence
I 86561 cv=11611 gcd=24436 0.9 | "006 Uncanny X-Men-V1-071" = The X-Men (1963) #71 (Aug 1971): CV 2133 issue 11611 and GCD 1576 row 24436; 0pp file, number-only evidence
I 86562 cv=11728 gcd=24576 0.9 | "007 Uncanny X-Men-V1-072" = The X-Men (1963) #72 (Oct 1971): CV 2133 issue 11728 and GCD 1576 row 24576; 0pp file, number-only evidence
I 86564 cv=11855 gcd=24721 0.9 | "009 Uncanny X-Men-V1-073" = The X-Men (1963) #73 (Dec 1971): CV 2133 issue 11855 and GCD 1576 row 24721; 0pp file, number-only evidence
I 86565 cv=12004 gcd=24890 0.9 | "010 Uncanny X-Men-V1-074" = The X-Men (1963) #74 (Feb 1972): CV 2133 issue 12004 and GCD 1576 row 24890; 0pp file, number-only evidence
I 86566 cv=12133 gcd=25039 0.9 | "011 Uncanny X-Men-V1-075" = The X-Men (1963) #75 (Apr 1972): CV 2133 issue 12133 and GCD 1576 row 25039; 0pp file, number-only evidence
I 86567 cv=12280 gcd=25208 0.9 | "012 Uncanny X-Men-V1-076" = The X-Men (1963) #76 (Jun 1972): CV 2133 issue 12280 and GCD 1576 row 25208; 0pp file, number-only evidence
I 86568 cv=12432 gcd=25381 0.9 | "013 Uncanny X-Men-V1-077" = The X-Men (1963) #77 (Aug 1972): CV 2133 issue 12432 and GCD 1576 row 25381; 0pp file, number-only evidence
I 86569 cv=12592 gcd=25564 0.9 | "014 Uncanny X-Men-V1-078" = The X-Men (1963) #78 (Oct 1972): CV 2133 issue 12592 and GCD 1576 row 25564; 0pp file, number-only evidence
I 86570 cv=12757 gcd=25749 0.9 | "015 Uncanny X-Men-V1-079" = The X-Men (1963) #79 (Dec 1972): CV 2133 issue 12757 and GCD 1576 row 25749; 0pp file, number-only evidence
I 86571 cv=12945 gcd=25956 0.9 | "016 Uncanny X-Men-V1-080" = The X-Men (1963) #80 (Feb 1973): CV 2133 issue 12945 and GCD 1576 row 25956; 0pp file, number-only evidence
I 86572 cv=13130 gcd=26158 0.9 | "017 Uncanny X-Men-V1-081" = The X-Men (1963) #81 (Apr 1973): CV 2133 issue 13130 and GCD 1576 row 26158; 0pp file, number-only evidence
I 86573 cv=13302 gcd=26343 0.9 | "018 Uncanny X-Men-V1-082" = The X-Men (1963) #82 (Jun 1973): CV 2133 issue 13302 and GCD 1576 row 26343; 0pp file, number-only evidence
I 86574 cv=13500 gcd=26560 0.9 | "019 Uncanny X-Men-V1-083" = The X-Men (1963) #83 (Aug 1973): CV 2133 issue 13500 and GCD 1576 row 26560; 0pp file, number-only evidence
I 86575 cv=13724 gcd=26799 0.9 | "020 Uncanny X-Men-V1-084" = The X-Men (1963) #84 (Oct 1973): CV 2133 issue 13724 and GCD 1576 row 26799; 0pp file, number-only evidence
I 86576 cv=13899 gcd=26993 0.9 | "021 Uncanny X-Men-V1-085" = The X-Men (1963) #85 (Dec 1973): CV 2133 issue 13899 and GCD 1576 row 26993; 0pp file, number-only evidence
I 86577 cv=14080 gcd=27192 0.9 | "022 Uncanny X-Men-V1-086" = The X-Men (1963) #86 (Feb 1974): CV 2133 issue 14080 and GCD 1576 row 27192; 0pp file, number-only evidence
I 86578 cv=14214 gcd=27339 0.9 | "023 Uncanny X-Men-V1-087" = The X-Men (1963) #87 (Apr 1974): CV 2133 issue 14214 and GCD 1576 row 27339; 0pp file, number-only evidence
I 86579 cv=14361 gcd=27499 0.9 | "024 Uncanny X-Men-V1-088" = The X-Men (1963) #88 (Jun 1974): CV 2133 issue 14361 and GCD 1576 row 27499; 0pp file, number-only evidence
I 86580 cv=14516 gcd=27668 0.9 | "025 Uncanny X-Men-V1-089" = The X-Men (1963) #89 (Aug 1974): CV 2133 issue 14516 and GCD 1576 row 27668; 0pp file, number-only evidence
I 86581 cv=14696 gcd=27863 0.9 | "026 Uncanny X-Men-V1-090" = The X-Men (1963) #90 (Oct 1974): CV 2133 issue 14696 and GCD 1576 row 27863; 0pp file, number-only evidence
I 86582 cv=14866 gcd=28046 0.9 | "027 Uncanny X-Men-V1-091" = The X-Men (1963) #91 (Dec 1974): CV 2133 issue 14866 and GCD 1576 row 28046; 0pp file, number-only evidence
I 86583 cv=15083 gcd=28277 0.9 | "028 Uncanny X-Men-V1-092" = The X-Men (1963) #92 (Feb 1975): CV 2133 issue 15083 and GCD 1576 row 28277; 0pp file, number-only evidence
I 86584 cv=15298 gcd=28694 0.9 | "029 Uncanny X-Men-V1-093" = The X-Men (1963) #93 (Apr 1975): CV 2133 issue 15298 and GCD 1576 row 28694 (36pp); 0pp file, number-only evidence

