# R-051 — the P-012 split's shelves in pair groups (Flash, Adventures of Superman, Thor, Archie, Wonder Woman, Green Lantern / GLC, Exiles, Excalibur) plus the WW creator-line revisits.
# Conventions seen: DC "#DC Events" read-order folders are second rips (L-015) EXCEPT where the title's own shelf is thin — the
# Green Lantern (2011) and Flash (2010) issues in "As seen from Oa" are the bulk of our holdings of those runs, not second rips.
# Where BOTH catalogues cut a continuously numbered run at the same number (GL 1960 #205 / The Green Lantern Corps #206, CV and
# GCD alike) the cut is an identity boundary; where they cut at DIFFERENT numbers (Archie Comics: CV at #113/114, GCD at #101/102)
# the shelf keeps one identity on the majority records and an N names the other era (L-198 / L-307 shape).

# ---- Flash ----
R 94717 | two co-equal runs plus foreign rips: the 1987 Flash (CV 3790 "The Flash" 1987 DC 250 / GCD 3358 "Flash" 1987-2006 232, with GCD 26125 for #231-247) holds "04 The Flash v2 (1987)" #0-230, Annuals #2-13, the joined "Flash v2 #207-217" and "06 The Flash v2 (2007)" #231-247 and the Johns/Waid/Morrison books; but Flash (2010) (CV 32562 / GCD 47018, 12) sits here as TWO whole trades (Vol. 01 74335, Vol. 02 74336 + its second rip 19293) plus #1-6 (Brightest Day folder) and #9-12 (Flashpoint prelude) — a co-equal run by the RESIDUE ruling, and --who-stores cv=32562 finds no shelf for it
I 76140 cv=872312 gcd=2246217 isbn=9781779510228 0.95 | Vol. 05 - Lords & Liars 256pp = CV 137670 issue 872312 and GCD 160653 row #5 2246217 (268pp)
C 76135 cv=91774 gcd=103460 #58-65 0.95 | The Just War collects Wonder Woman (DC 2016, 134; CV 91774 / GCD 103460) #58-65 per GCD row 2026898's notes
C 76137 cv=91774 gcd=103460 #66-73 0.95 | Love Is a Battlefield collects Wonder Woman (DC 2016, 134; CV 91774 / GCD 103460) #66-73 per GCD row 2100552
C 76139 cv=91774 gcd=103460 #750-758 0.9 | The Four Horsewomen collects Wonder Woman (DC 2016, 134; CV 91774 / GCD 103460) #82-83 and #750-758 per GCD row 2218065 — the larger stretch #750-758 is stated, #82-83 on the N
N 76139 The Four Horsewomen also collects Wonder Woman (2016) #82-83 (GCD row 2218065), a stretch separate from #750-758
C 76139 cv=101798 gcd=114405 #3-4 0.95 | The Four Horsewomen also collects Wonder Woman Annual (DC 2017-2020, 4; CV 101798 / GCD 114405) #3-4 per GCD row 2218065's notes
C 76140 cv=91774 gcd=103460 #759-769 0.95 | Lords & Liars collects Wonder Woman (DC 2016, 134; CV 91774 / GCD 103460) #759-769 per GCD row 2246217's notes
S 366 cv=160511 gcd=216727 0.95 | CV 160511 "Absolute Wonder Woman" (DC 2024, 20) and GCD 216727 (2024-?, 20) agree on name, year and count; our ladder 1-4 (2024-2025, the "Absolute Wonder Woman v1 (2024)" folder) fits; the per-file GCD picks are the Spanish Panini editions (224760 / 224767), rejected on publisher and language
S 103797 cv=101798 gcd=114405 0.95 | CV 101798 "Wonder Woman Annual" (DC 2016, 4: #3 "Virtue and Vendetta" 2019-12) and GCD 114405 (2017-2020, 4; #3 row 2028243 on sale 2019-10-30) agree; our two 39pp "Wonder Woman Annual 003 (2019)" files (one in the Event Leviathan tie-ins, one in the 2018 folder's Annuals) are two rips of that #3; the per-file GCD 113680 is the German Panini edition
F 103797 needs-fetch cv=101798 | CV 101798 "Wonder Woman Annual" (DC 2016, 4) is named from the rip only; no CvVolume row
S 103798 cv=101807 gcd=114682 0.95 | a one-shot: CV 101807 "Wonder Woman Day Special Edition" (DC 2017, 1, issue 598556) and GCD 114682 "Wonder Woman 1 Wonder Woman Day Special Edition" (2017, 1, row 1709609 on sale 2017-06-03) agree, against our 23pp "Wonder Woman 001 - Wonder Woman Day Special Edition (2017)"; the per-file GCD 112292 is the 2017 trade line
I 76127 cv=598556 gcd=1709609 0.95 | the one-shot's own record: CV 101807 issue 598556 and GCD 114682 row 1709609 (2017-06-03) against our 23pp rip
S 103800 cv=101293 gcd=113905 0.95 | a one-shot: CV 101293 "Wonder Woman Special Edition: Free Comic Book Day" (DC 2017, 1, issue 594569 "Year One Part One") and GCD 113905 "Wonder Woman 1 Free Comic Book Day 2017 Special Edition" (2017, 1, row 1697528 on sale 2017-05-06) agree on our 22pp "Wonder Woman 001 Free Comic Book Day 2017 Special Edition"
F 103800 needs-fetch cv=101293 | CV 101293 "Wonder Woman Special Edition: Free Comic Book Day" is named from the rip only; no CvVolume row
I 76128 cv=594569 gcd=1697528 0.95 | the FCBD one-shot's own record: CV 101293 issue 594569 and GCD 113905 row 1697528 (36pp) against our 22pp rip
C 76128 cv=91774 gcd=103460 #2-2 0.9 | the FCBD 2017 Special Edition reprints Wonder Woman (DC 2016, 134; CV 91774 / GCD 103460) #2 "Year One Part One" per GCD row 1697528's notes (with #4's cover)
S 103803 cv=138903 gcd=176029 0.95 | a one-book anthology: CV 138903 "Wonder Woman: 80 Years of the Amazon Warrior: The Deluxe Edition" (DC 2021, 1, issue 884580 HC) and GCD 176029 (2021, 1, row 2262112 424pp) agree on our 415pp file; it reprints single issues from four runs, so it is its own book (L-109)
F 103803 needs-fetch cv=138903 | CV 138903 is named from the rip only; no CvVolume row
I 76311 cv=884580 gcd=2262112 isbn=978-1-77951-157-7 0.95 | the anthology's own record: CV 138903 issue 884580 and GCD 176029 row 2262112 (424pp) against our 415pp — this supersedes X-013's 0.7 pick of a 2016-run row
N 76311 no C: the book reprints scattered single issues (All-Star #8, Sensation #1, Wonder Woman 1942 #5/78/98/124/162/203/206, 1987 #6/57/73/170, Future State: Immortal WW #1-2, 2016 #750) — no contiguous stretch of any run beyond two issues of Future State
S 103799 cv=25656 gcd=4425 0.95 | a one-shot: CV 25656 "Wonder Woman Special" (DC 1992, 1, issue 151200 "Operation: Cheetah Part 1") and GCD 4425 (1992, 1, row 50623 52pp) agree; ComicInfo on our 38pp file says Series "Wonder Woman Special" / Volume 1992 / DC
F 103799 needs-fetch cv=25656 | CV 25656 "Wonder Woman Special" (1992) is named from the rip only; no CvVolume row
I 75523 cv=151200 gcd=50623 0.95 | the one-shot's own record: CV 25656 issue 151200 and GCD 4425 row 50623 (52pp, 1992-03-19) against our 38pp digital rip
S 66314 cv=18525 gcd=277 0.95 | the kept half is Wonder Woman (1942): CV 18525 (DC 1942, 329, cached #1-329, per-file on 290/290) and GCD 277 (1942-1986, 329, per-file on 282) agree; our "02 Wonder Woman v1 (1942)" ladder 1-250 / 285-302 / 306-329 fits (ComicInfo Volume 1942 x95, Count 329/310); the #199 c2c second rip costs nothing; the Canadian 14622 / 32470 stamps are regional reprints (L-216)
N 66314 the empty key "Wonder Woman (1942)" carries gcd=61069 (the New 52 series) — a stale key link, not this shelf's identity; item 75599 "Wonder Woman 075 (1988) (SpookyResin)" 32pp beside the 1955 #75 is unresolved (the 1987 run's #75 is dated 1993), most likely a mis-dated second rip; #303-305 of this run are on S101470 (F misfiled there)

# ---- Green Lantern / Green Lantern Corps ----
R 64823 | four runs with their own records on both legs share this shelf: Green Lantern (1960) #1-205 (CV 2839 / GCD 1448, 205 — the majority, "02 Green Lantern v2 (1960)" + the "As seen from Oa" 1960s-80s folders); The Green Lantern Corps #206-224 (CV 3600 / GCD 3148, 19 — both catalogues cut the retitled run at #206, ~43 files incl. the P-012-joined "Green Lantern Corps v1" rips); Green Lantern (2011) #1-46 + #23.1 + Annuals 1-4 (CV 42808 / GCD 60924, ~55 files in folders 149-175, while its own shelf S94613 holds 10); Green Lantern (2005) #44-59 (CV 18216 / GCD 13519, 16 files, Blackest Night / Brightest Day) and GL (2023) #10-12
F 64823 split-needed | proposed: [GL 1960 — stays] CV 2839 / GCD 1448: #1-205 incl. 15460-15465, 65143-65147, 65404-65408 (#201-205, which BOTH legs keep in the 1960 records) and the facsimiles 63923/63924; [new key "The Green Lantern Corps (1986)"] CV 3600 / GCD 3148 (--who-stores finds no shelf): 15466, 15468, 15474-15481, 15484-15487, 15492, 15499, 15501-15503, 65148-65163, 65165, 65166, 65409-65418 (#206-224); [join S94613, CV 42808 / GCD 60924] 16466-16471, 16493-16498, 16514-16518, 16532, 16536, 16540, 16544, 16548-16550, 16557, 16561, 16565-16567, 16579-16583, 16585, 16587, 16589, 16636, 16642, 16648, 16654, 16658, 16660, 16662, 16692-16694, 16696-16702; [join S64826, CV 18216 / GCD 13519] 16297, 16302, 16309, 16313, 16324, 16338, 16353, 16359, 16365, 16384, 16397, 16404, 16408, 16427, 16441, 16454; [join S94615, GCD 200158 / CV 150172] 70586-70588
N 64823 revisit verdict on the #201-224 question: the "GLC record with #201-205 as residue" option is not needed — #201-205 are inside CV 2839 and GCD 1448 on both legs, so they stay with Green Lantern (1960), and only #206-224 (CV 3600 #206-224, GCD 3148 rows from #206 1986-07) form the new shelf; L-212's "same run, merge" predates the finding that both catalogues cut at #206
S 103791 cv=42916 gcd=61068 0.9 | the New 52 Green Lantern Corps: CV 42916 (DC 2011, 41) and GCD 61068 (2011-2015, 41) agree on publisher, span and count; our ladder 1-40 (48 "As seen from Oa" files: Fearsome … The Dark, plus Zero Year #25) fits exactly; 0.9 for Green Lantern Corps Annual #1-2 (CV 56372 / GCD 71608, a separate annual record); the per-file CV 18248 is the 2006 volume's stamp
F 103791 needs-fetch cv=42916 | CV 42916 "Green Lantern Corps" (DC 2011, 41) is named from the rip only; no CvVolume row
S 7917 cv=82860 gcd=90341 0.9 | CV 82860 "Green Lantern: Lost Army" (DC 2015, cached #1-6) and GCD 90341 (2015-2016, 6) agree; our ladder 1-6 fills it and the joined trade 65464 collects it; 0.9 for item 65549, the 12pp "000 (DC Sneak Peek)" preview (CV 81951, its own record)
I 65464 cv=523226 gcd=1553022 isbn=978-1-4012-6126-9 0.95 | "COL Green Lantern Corps Vol. 01 - The Lost Army (2016)" 144pp = CV 89365 "Green Lantern Corps: Lost Army" issue 523226 (TPB) and GCD 99288 row 1553022 (156pp)
C 65464 cv=82860 gcd=90341 #1-6 0.95 | the Lost Army trade collects Green Lantern: Lost Army (DC 2015-2016, 6; CV 82860 / GCD 90341) #1-6 — the run this shelf is; the trade's own title says Green Lantern Corps
S 7938 cv=18248 gcd=18427 0.95 | the kept half is the 2006 Green Lantern Corps: CV 18248 (DC 2006, 63) and GCD 18427 (2006-2011, 63) agree; our 62 files are its #1-38 ("v2 01"-"v2 38"), #40-54 and 2007-2008 DCP rips of #14-26, all in the "As seen from Oa" folders — second rips of the run whose home is S102449
F 7938 merge-with=102449 | S102449 stores cv=18248 and holds this run's own #7-63 rips and trades; one run in two shelves — the merge takes effect once S102449's split (R-052) lets it take the same cv on its S line

# ---- Exiles ----
S 96764 cv=109764 gcd=123546 0.95 | Exiles (2018): CV 109764 (Marvel 2018, 12) and GCD 123546 (2018-2019, 12) agree; our two trades are its two halves — GCD rows 1851951 / 1932001 roll up s123546 #1-6 and #7-12 — and per-file CV 109764 on 2/2
I 84501 cv=686379 gcd=1851951 0.95 | "Exiles Vol. 01 - Test Of Time (2018)" 130pp = CV 113868 "Exiles: Test of Time" issue 686379 "Volume 1" and GCD 130419 row #1 1851951 (140pp)
I 84502 cv=702464 gcd=1932001 0.95 | "Exiles Vol. 02 - The Trial Of The Exiles (2019)" 133pp = CV 117446 issue 702464 "Volume 2" and GCD 130419 row #2 1932001 (140pp)
C 84501 cv=109764 gcd=123546 #1-6 0.95 | Test of Time collects Exiles (Marvel 2018, 12; CV 109764 / GCD 123546) #1-6 per GCD row 1851951's roll-up (C-046's gcd=130419 named the trade line, not the run)
C 84502 cv=109764 gcd=123546 #7-12 0.95 | The Trial of the Exiles collects Exiles (Marvel 2018, 12; CV 109764 / GCD 123546) #7-12 per GCD row 1932001's notes
S 6312 cv=6983 gcd=7516 0.9 | the kept half is Exiles (2001): CV 6983 (Marvel 2001, 100) and GCD 7516 (2001-2008, 100) agree; our ladder 1-100 ("01 Exiles v1 (2001)" + the X-Men Complete Chronology second rips, per-file GCD on 200/220), the run's 17 trades (GCD 53302 rolls up s7516 #1-100) and the Complete Collection Book 01 (s7516 #1-19); 0.9 for two rips of Exiles Annual (2007) (CV 18008 / GCD 30872)
I 85967 cv=686378 gcd=1877379 0.9 | "Exiles - The Complete Collection Book 01 (2019)" 465pp = CV 113867 issue 686378 and GCD 134833 row 1877379 (484pp)
I 84503 cv=686378 gcd=1877379 0.9 | "Exiles - Ultimate Collection v01 (2019)" 465pp is a second rip of the same Complete Collection Book 01 (GCD row 1877379 reprints s7516 #1-19)
I 84478 cv=237732 gcd=787873 0.9 | Vol. 01 - Down the Rabbit Hole 109pp = CV 35967 issue 237732 and GCD 53302 row #1 787873 (116pp); a twin printing row keeps it at 0.9
I 84479 cv=237733 gcd=787874 0.95 | Vol. 02 - A World Apart 159pp = CV 35968 issue 237733 "Volume 2" and GCD 53302 row #2 787874 (164pp)
I 84480 cv=238391 gcd=787875 0.95 | Vol. 03 - Out of Time 188pp = CV 36111 issue 238391 and GCD 53302 row #3 787875 (196pp)
I 84481 cv=238397 gcd=787876 0.95 | Vol. 04 - Legacy 149pp = CV 36116 issue 238397 "Volume 4" and GCD 53302 row #4 787876 (148pp)
I 84482 cv=238437 gcd=787877 0.95 | Vol. 05 - Unnatural Instinct 133pp = CV 36132 issue 238437 "Volume 5" and GCD 53302 row #5 787877 (148pp)
I 84483 cv=238447 gcd=787878 0.95 | Vol. 06 - Fantastic Voyage 177pp = CV 36136 issue 238447 "Volume 6" and GCD 53302 row #6 787878 (172pp)
I 84484 cv=238551 gcd=787879 0.95 | Vol. 07 - A Blink In Time 208pp = CV 36163 issue 238551 "Volume 7" and GCD 53302 row #7 787879 (196pp)
I 84485 cv=238588 gcd=787880 0.95 | Vol. 08 - Earn Your Wings 140pp = CV 36176 issue 238588 "Volume 8" and GCD 53302 row #8 787880 (148pp)
I 84486 cv=238589 gcd=787881 0.95 | Vol. 09 - Bump In The Night 159pp = CV 36177 issue 238589 "Volume 9" and GCD 53302 row #9 787881 (172pp)
I 84487 cv=238591 gcd=787882 0.95 | Vol. 10 - Age of Apocalypse 125pp = CV 36179 issue 238591 "Volume 10" and GCD 53302 row #10 787882 (132pp)
I 84488 cv=239479 gcd=787883 0.95 | Vol. 11 - Timebreakers 170pp = CV 36292 issue 239479 "Volume 11" and GCD 53302 row #11 787883 (172pp)
I 84489 cv=239511 gcd=787884 0.95 | Vol. 12 - World Tour Book One 145pp = CV 36303 #1 issue 239511 "Book One" and GCD 53302 row #12 787884 (148pp)
I 84490 cv=240070 gcd=787885 0.9 | Vol. 13 - World Tour Book Two (HD) 207pp = CV 36303 #2 issue 240070 and GCD 53302 row #13 787885 (220pp); item 84491 is a second rip
I 84491 cv=240070 gcd=787885 0.9 | Vol. 13 - World Tour Book Two (SD) 220pp, the second rip beside item 84490: CV issue 240070 / GCD row 787885 (220pp)
I 84492 cv=240203 gcd=787886 0.95 | Vol. 14 - The New Exiles 176pp = CV 36388 issue 240203 "Volume 14" and GCD 53302 row #14 787886 (188pp)
I 84493 cv=240183 gcd=787887 0.95 | Vol. 15 - Enemy of the Stars 123pp = CV 36384 issue 240183 "Volume 15" and GCD 53302 row #15 787887 (124pp)
I 84494 cv=240184 gcd=787888 0.95 | Vol. 16 - Starting Over 182pp = CV 36385 issue 240184 "Volume 16" and GCD 53302 row #16 787888 (188pp)

# ---- Excalibur ----
S 94593 cv=11292 gcd=12238 0.95 | the 2004 Claremont Excalibur: CV 11292 (Marvel 2004, 14, issue titles Forging the Sword … The Devil's Own) and GCD 12238 (2004-2005, 14) agree; our ladder 1-14 (the P-012-joined arc folders plus two House of M prelude rips of #8-9) fits exactly and both trades' judged #1-4 / #5-10 equal GCD's roll-ups; the per-file CV 4052 is the 1988 volume's stamp
I 84469 cv=254508 gcd=814769 0.95 | "Excalibur Vol. 01 - Forging The Sword (2004)" 102pp = CV 38072 "Excalibur: Forging the Sword" issue 254508 and GCD 56708 row 814769 (roll-up s12238 #1-4)
I 84470 cv=254510 gcd=814770 0.95 | "Excalibur Vol. 02 - Saturday Night Fever (2005)" 150pp = CV 38073 issue 254510 and GCD row 814770 (roll-up s12238 #5-10)
S 12807 cv=18019 gcd=16508 0.95 | New Excalibur: CV 18019 (Marvel 2006, 24) and GCD 16508 (2006-2007, 24) agree; our ladder 1-24 is complete — the P-012-joined "Excalibur 010-012" files carry CV 18019's own #10-12 titles "The Last Days of Camelot" — and the three trades' judged ranges fit GCD 63081's notes (#1-7, #8-15, #16-24)
I 84471 cv=201073 gcd=911774 0.9 | "New Excalibur Vol. 01 - Defenders of the Realm" 177pp = CV 32059 issue 201073 "Volume 1" and GCD 63081 row #1 911774 (192pp) — page count 15 short
I 84472 cv=201180 gcd=911775 0.95 | "New Excalibur Vol. 02 - Last Days of Camelot" 188pp = CV 32068 issue 201180 "Volume 2" and GCD 63081 row #2 911775 (196pp)
I 84473 cv=190498 gcd=911776 0.9 | "New Excalibur Vol. 03 - Battle For Eternity" 225pp = CV 30821 issue 190498 "Volume 3" and GCD 63081 row #3 911776 (196pp) — our rip runs 29pp long
C 84471 cv=18019 gcd=16508 #1-7 0.95 | Defenders of the Realm collects New Excalibur (Marvel 2006, 24; CV 18019 / GCD 16508) #1-7 per GCD row 911774's notes — the judged #1-6 is one short
S 6305 cv=122488 gcd=151427 0.95 | Excalibur (2019): CV 122488 (Marvel 2019, 26) and GCD 151427 (2019-2022, 26) agree; our ladder 1-26 (ComicInfo Volume 2019 x27, per-file GCD 151427 on 30/35) with the Hellfire Gala and X of Swords second rips, and the Tini Howard trades that collect it (GCD rows roll up s151427 #1-6, #16-21, #22-26); the per-file CV 4052 / 125178 are the 1988 volume and a Spanish edition
I 84474 cv=751964 gcd=2257401 isbn=978-1-302-91991-7 0.95 | "Excalibur by Tini Howard Vol. 01" 176pp = CV 126520 #1 issue 751964 and GCD 175481 row #1 2257401 (180pp)
I 84475 cv=819827 gcd=2257402 isbn=978-1-302-92146-0 0.95 | Vol. 02 157pp = CV 126520 #2 issue 819827 and GCD 175481 row #2 2257402 (164pp)
I 84476 cv=885080 gcd=2262190 isbn=978-1-302-92484-3 0.95 | Vol. 03 159pp = CV 126520 #3 issue 885080 and GCD 175481 row #3 2262190 (164pp, roll-up s151427 #16-21)
I 84477 cv=910247 gcd=2364837 isbn=978-1-302-92790-5 0.95 | Vol. 04 135pp = CV 126520 #4 issue 910247 and GCD 175481 row #4 2364837 (140pp, roll-up s151427 #22-26)
I 85966 cv=878298 gcd=2252641 isbn=978-1-302-92970-1 0.9 | "Excalibur by Tini Howard Collection Book 01" 318pp = CV 138154 #1 issue 878298 and GCD 174661 row #1 2252641 (344pp, roll-up s151427 #1-12)
C 85966 cv=122488 gcd=151427 #1-12 0.95 | the Collection Book 01 collects Excalibur (Marvel 2019, 26; CV 122488 / GCD 151427) #1-12 per GCD row 2252641's roll-up — the judged #12-20 is wrong
C 84475 cv=122488 gcd=151427 #7-12 0.9 | Tini Howard Vol. 02 collects Excalibur (2019, 26) #7-12: Vol. 01 is #1-6 and the Collection Book 01 is #1-12 (GCD rows 2257401 / 2252641); GCD row 2257402 carries no collect note
N 84475 the packet's "GCD says" row for Vol. 02 (2438544, #16-26) is Collection Book 02's row (GCD 174661 #2, 304pp) — a stamp from another book, void
S 6284 cv=4052 gcd=3648 0.9 | the kept half is Excalibur (1988): CV 4052 (Marvel 1988, 126 incl. #-1) and GCD 3648 (1988-1998, 126) agree; our ladder -1, 1-125 (ComicInfo Volume 1988 x33, Count 125) fits, the doubled numbers are the X-Men Complete Chronology second rips, the five Excalibur Classic trades are the run's own; 0.9 for Excalibur Annual #1-2 (CV 9101 / GCD 9832, separate annual records)
I 84454 cv=157336 gcd=807884 0.95 | Excalibur Classic Vol. 01 - The Sword is Drawn = CV 26398 #1 issue 157336 and GCD 55975 row 807884 (notes: Excalibur 1988 #1-5)
I 84455 cv=157337 gcd=807885 0.95 | Excalibur Classic Vol. 02 - Two-Edged Sword = CV 26398 #2 issue 157337 and GCD 55975 row 807885 (212pp; notes #6-11 + Mojo Mayhem)
I 84456 cv=157357 gcd=807886 0.95 | Excalibur Classic Vol. 03 - Cross Time Caper Book One = CV 26398 #3 issue 157357 and GCD 55975 row 807886 (228pp; notes #12-20)
I 84457 cv=191319 gcd=807887 0.95 | Excalibur Classic Vol. 04 - Cross Time Caper Book Two = CV 26398 #4 issue 191319 and GCD 55975 row 807887 (228pp; notes #21-28)
I 84458 cv=191320 gcd=807888 0.95 | Excalibur Classic Vol. 05 = CV 26398 #5 issue 191320 and GCD 55975 row 807888 (220pp; notes #29-34)

# ---- revisits: the Wonder Woman creator lines ----
S 21996 cv=3824 gcd=3396 0.9 | run wins (R-042): the Perez line reprints ONE run — GCD rows for our four books say Wonder Woman (DC, 1987 series) #1-14, #36-45, #46-57, #58-62 (plus annuals and the War of the Gods crossover in Vol. 06) — and P-012 already sent this line's Vol. 01-03 to the 1987 run's shelf S101470; CV 3824 / GCD 3396 (228) is that run; the stored CV 84053 is the 3-volume hardcover Omnibus, another edition
F 21996 merge-with=101470 | same run through the shared CV 3824: S101470's S line is cv=3824 gcd=3396 and holds Perez Vol. 01-03 (items 76350-76352); these four books are the same line's Vol. 01 (second rip) and Vol. 04-06
F 21996 wrong-cv-link | stored cv=84053 "Wonder Woman by George Perez Omnibus" (2015, 3 HC) is neither our TPB line (CV 93210 / GCD 105499, 6) nor the run; the run CV 3824 exists
I 75823 cv=544974 gcd=1616025 0.9 | Perez Vol. 01 (Minutemen-Thoth rip, 346pp) = CV 93210 #1 issue 544974 and GCD 105499 row #1 1616025 (356pp) — a second rip of item 76350; a later-printing twin row keeps it at 0.9
I 76353 cv=736992 gcd=2068702 0.95 | Perez Vol. 04 (2020) 287pp = CV 93210 #4 issue 736992 and GCD 105499 row #4 2068702
I 76354 cv=823801 gcd=2182850 0.95 | Perez Vol. 05 (2020) 304pp = CV 93210 #5 issue 823801 and GCD 105499 row #5 2182850
I 76355 cv=889240 gcd=2267843 0.95 | Perez Vol. 06 (2021) 292pp = CV 93210 #6 issue 889240 and GCD 105499 row #6 2267843
C 75823 cv=3824 gcd=3396 #1-14 0.95 | Perez Vol. 01 collects Wonder Woman (DC 1987, 228; CV 3824 / GCD 3396) #1-14 per GCD row 1616025's notes
C 76353 cv=3824 gcd=3396 #36-45 0.95 | Perez Vol. 04 collects Wonder Woman (DC 1987, 228; CV 3824 / GCD 3396) #36-45 per GCD row 2068702's notes (plus Annual #2)
C 76354 cv=3824 gcd=3396 #46-57 0.95 | Perez Vol. 05 collects Wonder Woman (DC 1987, 228; CV 3824 / GCD 3396) #46-57 per GCD row 2182850's notes
C 76355 cv=3824 gcd=3396 #58-62 0.95 | Perez Vol. 06 collects Wonder Woman (DC 1987, 228; CV 3824 / GCD 3396) #58-62 per GCD row 2267843's notes
C 76355 cv=4572 gcd=4216 #1-4 0.95 | Perez Vol. 06 also collects War of the Gods (DC 1991, 4-issue mini; CV 4572 / GCD 4216) #1-4 per GCD row 2267843's notes
S 21998 cv=3824 gcd=3396 0.9 | run wins (R-042): Byrne Vol. 03 reprints Wonder Woman (1987) #125-136 (GCD row 2004333's roll-up, plus Secret Files #1), and the Byrne line as a whole is #101-136 of that one run — Vol. 01-02 already sit on S101470 by P-012; CV 3824 / GCD 3396 (228) is the run; stored CV 101800 is the trade line's record
F 21998 merge-with=101470 | same run through the shared CV 3824: S101470's S line is cv=3824 gcd=3396 and holds Byrne Vol. 01-02 (items 76359-76360)
F 21998 wrong-cv-link | stored cv=101800 "Wonder Woman by John Byrne" (2017, 3) is the trade line's record; the numbered run it reprints (CV 3824) exists, so it goes on the I line
I 76361 cv=714623 gcd=2004333 isbn=978-1-4012-9224-9 0.95 | Byrne Vol. 03 (2019) 310pp = CV 101800 #3 issue 714623 and GCD 114406 row #3 2004333
C 76361 cv=3824 gcd=3396 #125-136 0.95 | Byrne Vol. 03 collects Wonder Woman (DC 1987, 228; CV 3824 / GCD 3396) #125-136 per GCD row 2004333's roll-up
S 21987 cv=3824 gcd=3396 0.9 | run wins (R-042): the Rucka line reprints Wonder Woman (1987) #195-226 (GCD rows: Vol. 01 #195-205 + The Hiketeia, Vol. 03 #218-226 + Blackest Night: Wonder Woman #1-3) with Vol. 02 (#206-217) already on S101470 by P-012; its extras are an OGN and a 3-issue tie-in, not a second run; CV 3824 / GCD 3396 is the run; stored CV 92217 is the trade line's record
F 21987 merge-with=101470 | same run through the shared CV 3824: S101470's S line is cv=3824 gcd=3396 and holds Rucka Vol. 02 (item 76357)
F 21987 wrong-cv-link | stored cv=92217 "Wonder Woman By Greg Rucka" (2016, 3) is the trade line's record; the numbered run it reprints (CV 3824) exists, so it goes on the I line
I 76356 cv=539227 gcd=1602263 isbn=978-1-4012-6332-4 0.95 | Rucka Vol. 01 (2016) 381pp = CV 92217 #1 issue 539227 and GCD 104139 row #1 1602263; ComicInfo Web 539227 asserts the same CV issue
I 76358 cv=715225 gcd=2005982 isbn=978-1-4012-9342-0 0.95 | Rucka Vol. 03 (2019) 280pp = CV 92217 #3 issue 715225 and GCD 104139 row #3 2005982
C 76356 cv=3824 gcd=3396 #195-205 0.95 | Rucka Vol. 01 collects Wonder Woman (DC 1987, 228; CV 3824 / GCD 3396) #195-205 per GCD row 1602263's notes (plus The Hiketeia OGN)
C 76358 cv=3824 gcd=3396 #218-226 0.95 | Rucka Vol. 03 collects Wonder Woman (DC 1987, 228; CV 3824 / GCD 3396) #218-226 per GCD row 2005982's notes
C 76358 cv=30163 gcd=39991 #1-3 0.95 | Rucka Vol. 03 also collects Blackest Night: Wonder Woman (DC 2010, 3-issue mini; CV 30163 / GCD 39991) #1-3 per GCD row 2005982's notes
S 21956 cv=139664 gcd=176953 0.95 | the file is the 2021 book: "Wonder Woman 001 Wonder Woman Day Special Edition (2021)" 23pp = CV 139664 "Wonder Woman #1 Wonder Woman Day Special Edition" (DC 2021, 1, issue 889996) and GCD 176953 (2021, 1, row 2268982 36pp on sale 2021-10-21), which agree on name, year and count; the stored CV 101807 is the 2017 Wonder Woman Day book, now on S103798
F 21956 wrong-cv-link | stored cv=101807 "Wonder Woman Day Special Edition" (2017) names the 2017 book (item 76127, S103798); this shelf's only file is dated 2021 and titled "#1 Wonder Woman Day Special Edition (2021)"
F 21956 needs-fetch cv=139664 | CV 139664 is named from the rip only; no CvVolume row
I 76146 cv=889996 gcd=2268982 0.95 | the 2021 one-shot's own record: CV 139664 issue 889996 and GCD 176953 row 2268982 (36pp, 2021-10-21) against our 23pp rip
