# R-164 (triaged 0.9 tier, Marvel: the Thunderbolts 2006 / 2024 runs, the Thunderbolts Epic Collection line and its per-book shelf, Burning Down the House; the Ultimate line - Ultimate Elektra, Ultimate Iron Man, Ultimate Spider-Man 2000 and the Bendis line, Ultimate X-Men, Ultimates 2, Ultimate Comics Ultimates; What If? Classic).
# Folders: Marvel\_Thunderbolts\NN Thunderbolts vN (year) with Trades / Variant Covers, Thunderbolts Epic Collections, _Trades; Marvel\_Ultimate Comics\<Title> (year)\NN <Title> (year) with Deluxe / Omnibus / Annuals subfolders; Marvel\_What If..._\What If v1 (1977); chronology trees file second rips.
# Run-vs-line (L-395 / L-403): What If? Classic (a trade line reprinting What If? 1977 only), Burning Down the House (a Thunderbolts 2006 trade), and the Ultimate Comics Spider-Man by Bendis line (UCSM 2011 only) give way to their runs; the Thunderbolts Epic Collection stays a LINE (open question with Eric) and its per-book shelf joins it (L-392).
# Surprises: S94864's two 1pp "Thunderbolts 001 (2023)" covers are the Asrar / Perez variant rows of Thunderbolts (2024) GCD 206551 - not the 2022 mini GCD 188709 that C-051 stored (L-404 method); Ultimate Comics Ultimates HAS an English GCD series - "Ultimates" 60917 (2011-2013, 31) - so C-064's provider-missing was a spelling miss; C-052's misfiled claim on What If "v1 027 / 031 / 033" was wrong - they ARE What If? (1977) #27 / #31 / #33 (Phoenix / Wolverine-Hulk / Dazzler); "Ultimate Spider-Man 200 (2014)" is GCD 60934 / CV 42821 #200, the 2011 run's.

S 94814 cv=18128 gcd=17522 0.95 | Thunderbolts (Marvel 2006-2012, #100-174): CV 18128 (2006, 76 issues) and GCD 17522 (Marvel 2006-2012, 76) agree on publisher, span and count; ComicInfo Volume "2006" x4; our "04 Thunderbolts v1 (2006)" ladder 100-102, 110-125, 130-143, 148-168 (+ #163.1) sits inside, and the four trades in its Trades folder are this run's own editions (Guardian Protocols #104-109, Burning Down the House #126-129, Cage #144-147, Like Lightning #169-174); the four #122-125 doubles are second rips
I 97158 cv=235449 gcd=945195 isbn=- 0.95 | the second rip of "Vol. 11 - The Most Dangerous Game" 101pp = CV issue 235449 and GCD 65610 #11 row 945195
I 97159 cv=235541 gcd=945196 isbn=- 0.95 | "Vol. 12 - Hard Lessons" 109pp = CV issue 235541 and GCD 65610 #12 row 945196 (#58-60 + Annual #1)
I 97160 cv=235543 gcd=945197 isbn=- 0.95 | "Vol. 13 - Magnetic North (2006)" 125pp = CV 35628 issue 235543 and GCD 65610 #13 row 945197; its stored GCD row 1599861 (a German "X-Men" book) is void
I 97161 cv=235543 gcd=945197 isbn=- 0.95 | "Vol. 13 - Magnetic North (2013)" 126pp, the other rip = CV issue 235543 and GCD 65610 #13 row 945197 (#61-65)
I 97162 cv=235546 gcd=945198 isbn=- 0.95 | "Vol. 14 - Phoenix (2006)" 136pp = CV 35629 "Ultimate X-Men: Phoenix?" issue 235546 and GCD 65610 #14 row 945198
I 97163 cv=235546 gcd=945198 isbn=- 0.95 | "Vol. 14 - Phoenix (2013)" 138pp, the other rip = CV issue 235546 and GCD 65610 #14 row 945198 (#66-71)
I 97164 cv=235552 gcd=945199 isbn=- 0.95 | "Vol. 15 - Magical (2007)" 115pp = CV 35630 issue 235552 and GCD 65610 #15 row 945199 (116pp, #72-74 + Annual #2)
I 97165 cv=235552 gcd=945199 isbn=- 0.95 | "Vol. 15 - Magical (2014)" 107pp, the other rip = CV issue 235552 and GCD 65610 #15 row 945199
I 97166 cv=235554 gcd=945200 isbn=- 0.95 | "Vol. 16 - Cable" 142pp = CV 35632 issue 235554 and GCD 65610 #16 row 945200 (164pp, #75-80)
I 97167 cv=235555 gcd=945201 isbn=- 0.95 | "Vol. 17 - Sentinels (2008)" 179pp = CV 35633 issue 235555 and GCD 65610 #17 row 945201 (196pp)
I 97168 cv=235555 gcd=945201 isbn=- 0.95 | "Vol. 17 - Sentinels (2014)" 181pp, the other rip = CV issue 235555 and GCD 65610 #17 row 945201
I 97169 cv=235556 gcd=945202 isbn=978-0-7851-2550-1 0.95 | "Vol. 18 - Apocalypse" 107pp = CV 35634 issue 235556 and GCD 65610 #18 row 945202 (124pp)
I 97170 cv=235557 gcd=945203 isbn=978-0-7851-2944-8 0.95 | "Vol. 19 - Absolute Power" 99pp = CV 35635 issue 235557 and GCD 65610 #19 row 945203 (116pp)
I 97189 cv=985228 gcd=2440305 isbn=- 0.95 | "COL Ultimate X-Men Omnibus Book 01 (2022)" = CV "Ultimate X-Men Omnibus" issue 985228 and GCD row 2440305 (roll-up s7826 #1-33 + Ultimate War #1-4)
C 97189 gcd=11056 #1-4 0.95 | Omnibus Book 01 also collects the Ultimate War mini (Marvel 2003, GCD 11056, 4) #1-4 per GCD row 2440305's roll-up
I 97190 cv=1046475 gcd=2608569 isbn=- 0.95 | "COL Ultimate X-Men Omnibus Book 02 (2024)" 1043pp = CV "Ultimate X-Men Omnibus" issue 1046475 and GCD row 2608569 (roll-up s7826 #34-74)
C 97190 gcd=18994 #1-2 0.95 | Omnibus Book 02 also collects Ultimate X-Men Annual (Marvel 2005, GCD 18994) #1-2 per GCD row 2608569's roll-up

S 103737 cv=18326 gcd=16676 0.9 | The Ultimates 2 (Marvel 2005-2007, 13): the two trades Gods and Monsters / Grand Theft America reprint it - CV 18326 (2005, 13 cached) = GCD 16676 (Marvel 2005-2007, 13 rows); 0.9 for "Ultimates 2 014 (2007)" 23pp, a number past both counts whose identity is not in our data
F 103737 needs-fetch cv=18326 | CV 18326 "The Ultimates 2" (Marvel 2005, 13) is named from the rip only; no CvVolume row
N 103737 R-047's "GCD has no row for this trade" was a probe miss: GCD 33033 "Ultimates 2" (2005-2007, 2) is the trade line - rows on the I lines; item 97195 (#14) stays unexplained
I 97197 cv=162205 gcd=556234 isbn=- 0.95 | "COL Ultimates 2 Vol. 01 - Gods And Monsters (2006)" 153pp = CV 26943 issue 162205 "Volume 1: Gods and Monsters" and GCD 33033 #1 row 556234 "Gods & Monsters" (156pp)
I 97198 cv=162206 gcd=556235 isbn=0-7851-1790-3 0.95 | "COL Ultimates 2 Vol. 02 - Grand Theft America (2007)" 210pp = CV 26943 issue 162206 "Volume 2: Grand Theft America" and GCD 33033 #2 row 556235 (240pp)

S 20610 cv=42322 gcd=60917 0.95 | Ultimate Comics Ultimates (Marvel 2011-2013, 30 + #18.1): CV 42322 (2011, 31 cached #1-30 + #18.1) and GCD 60917 "Ultimates" (Marvel 2011-2013, 31 rows #1-30 + #18.1, 2011-08-24 to 2013-09-11) agree on publisher, span and count; our ladder 1-30 plus #18.1 is the whole run, #13-18 also held as Divided We Fall chronology rips
N 20610 C-064's F provider-missing is withdrawn: GCD files the run as "Ultimates" (60917), not "Ultimate Comics Ultimates"; the per-file GCD 61242 (Ultimate Comics X-Men, round2-folder) on the six chronology rips is a stamp; S103738 "Ultimates 3 (2008)" carries per-file 60917 on 9 files - a stamp there for that shelf's revisit

S 36271 cv=2918 gcd=2410 0.9 | RUN WINS (L-395 / L-403): What If? Classic (CV 28489 / GCD 27819, 7 volumes) reprints What If? (Marvel 1977-1984) only - GCD roll-ups s2410 #1-6, #7-12, #14-20, #21-26, #27-32, #33-38, #40-47 - so the seven books are editions of CV 2918 (1977, 47 cached) = GCD 2410 (Marvel 1977-1984, 47), and the chronology rips "What If v1 027 / 031 / 033" are that run's #27 / #31 / #33; 0.9 for the What If? Newer Fantastic Four one-shot (2 rips) and What If? #200 (2011), specials with their own records
F 36271 wrong-cv-link | the stored CV 28489 "What If? Classic" (2005, 7 "Volume N" issues) is the trade line's record, not the run; it moves to the I lines
N 36271 C-052's F misfiled on 86643 / 86759 / 86802 was wrong: What If? (1977) #31 "What if Wolverine had Killed the Hulk?", #27 "What If Phoenix Had Not Died?" and #33 "What if Dazzler had become the Herald of Galactus?" are the v1 run's own issues (per-file CV 4249, the 1989 volume, is a number stamp); no other shelf stores cv=2918 (S101402 merged here)
I 86759 cv=21393 gcd=35506 isbn=- 0.95 | "017 What If - v1 - 027 - Phoenix had not died" 41pp = CV 2918 #27 issue 21393 "What If Phoenix Had Not Died?" and GCD 2410 #27 row 35506 (52pp)
I 86643 cv=21953 gcd=36127 isbn=- 0.95 | "004 What If v1 031 - Wolverine Had Killed The Hulk" 39pp = CV 2918 #31 issue 21953 and GCD 2410 #31 row 36127 (52pp)
I 86802 cv=22249 gcd=36458 isbn=- 0.95 | "026 What If - v1 - 033 - Dazzler and Iron Man" 39pp = CV 2918 #33 issue 22249 (Dazzler / Iron Man stories) and GCD 2410 #33 row 36458 (52pp)
I 97440 cv=147292 gcd=558371 isbn=- 0.95 | "What If Newer Fantastic Four (2009)" 42pp = CV 24926 "What If? Newer Fantastic Four" issue 147292 and GCD 33154 #1 row 558371 (52pp)
I 97509 cv=147292 gcd=558371 isbn=- 0.95 | "What If - Newer Fantastic Four 01 (2009)" 41pp, a second rip = CV 24926 issue 147292 and GCD 33154 row 558371
I 97457 cv=253596 gcd=795857 isbn=- 0.95 | "What If 200 (2011)" 56pp = CV 159232 "What If? 200" issue 253596 and GCD 54480 #1 row 795857 (68pp) - the 2011 anniversary one-shot, not an issue of the 1977 run
I 97458 cv=175521 gcd=394379 isbn=- 0.95 | "What If Classic Vol. 01 (2005)" 215pp = CV 28489 issue 175521 "Volume 1" and GCD 27819 #1 row 394379 (collects s2410 #1-6)
I 97459 cv=175572 gcd=394380 isbn=- 0.95 | "What If Classic Vol. 02 (2006)" 213pp = CV 28489 issue 175572 and GCD 27819 #2 row 394380 (#7-12)
I 97460 cv=175593 gcd=394381 isbn=- 0.95 | "What If Classic Vol. 03 (2007)" 218pp = CV 28489 issue 175593 and GCD 27819 #3 row 394381 (#14-15, #17-20)
I 97461 cv=175729 gcd=394382 isbn=- 0.95 | "What If Classic Vol. 04 (2008)" 236pp = CV 28489 issue 175729 and GCD 27819 #4 row 394382 (#21-26)
I 97462 cv=185211 gcd=799567 isbn=- 0.95 | "What If Classic Vol. 05 (2009)" 245pp = CV 28489 issue 185211 and GCD 27819 #5 row 799567 (#27-32)
I 97463 cv=192526 gcd=799568 isbn=- 0.95 | "What If Classic Vol. 06 (2010)" 237pp = CV 28489 issue 192526 and GCD 27819 #6 row 799568 (#33-38)
I 97464 cv=261667 gcd=799569 isbn=- 0.95 | "What If Classic Vol. 07 (2011)" 298pp = CV 28489 issue 261667 and GCD 27819 #7 row 799569 (#40-47)
