# R-177 - triaged 0.9 tier: 65 shelves (Monkeybrain, Oni, Panel Syndicate, Papercutz, Scout, Source Point, Titan, Valiant,
# Vault, SLG) last read in A-029..A-031, B-065..B-069, C-060..C-062, D-017, R-013..R-047. Most identities stand; the re-read
# under the later rulings changed these:
# - Valiant "_Chronological Valiant" folders hold the 1990s runs, read-order prefixed ("027. Harbinger 00", "149. Rai 00"
#   between #8 and #9): S8317 Harbinger and S14355 Rai were stored as the 2012 / 2014 relaunches, but their ladders 0-41 / 0-33
#   are exactly the 42-issue 1992 Harbinger (CV 4827) and the 34-issue 1992 Rai (CV 4828) - the cheapest mis-link test. Both
#   shelves also hold whole trades of the relaunches -> R + split-needed.
# - Bloodshot 1993 and Ninjak 1994 each hold six-ten issues of the 1997 relaunch whose shelf exists (S64339, S65365) -> joins.
# - Armorines, Solar and Lenore hold co-equal second runs with no shelf -> R + split-needed.
# - One-run omnibus / line gives way to the run: X-O Manowar Classic Omnibus -> merge-with S66390 (CV 4831).
# - Line spanning two runs keeps its own identity: Long Lost's two books (GCD 143368 notes: season 1 #1-6, "Part Two" #1-6).
# - Stored ids that were a TPB line, not the run: Good Boy v3 (CV 142228 = the three TPBs; the run is Prodigal Son 149249),
#   Barbaric cover gallery (148007 = the TPB line), Conan Battle of the Black Stone (GCD 208813 = the Conan TPB line).
# - GCD rows the packet did not surface: Action Journalism with Kate Kelly 230823, X-O Manowar 2012 65343 (was provider-missing).

S 95059 cv=23553 gcd=19825 0.95 | American Splendor (DC/Vertigo 2006-2007, 4): CV 23553 (2006, 4 cached) and GCD 19825 (2006-2007, 4) agree on publisher, year and count; our 12 files are three complete rips of #1-4 (Shadowcat-Empire 104811-104814, the DCP set 104815-104818, digital-Empire 112274-112277, 33-34pp, 2006-2007) - duplicate rips cost nothing
I 109336 cv=452078 gcd=1204062 isbn=- 0.95 | "The Smurfs Silver Book (FCBD) (2014)" 33pp = CV 73592 issue 452078 and GCD 74272 row 1204062 (32pp)

# ---- SLG / Titan: Lenore ----
R 10712 | three runs share this shelf: Lenore (SLG 1998-2007, 13; CV 22998 / GCD 19028) = the 13 "Lenore v1 01-13" files, the largest; Lenore (Titan 2009-2014, 11; CV 41875 #1-11 2011-02 ... 2014-12 / GCD 53104 #1 2009 ... #11 2014-10) = the 11 "Lenore 001-011 (2009-2014)" files; and Lenore (Titan 2019, 1; CV 120560 / GCD 178490) = "Lenore 001 (2019)"; a whole 11-issue second volume is a co-equal run with no shelf (lookup --who-stores cv=41875: 0 rows)
F 10712 split-needed | Lenore (1998, CV 22998 / GCD 19028) stays with items 109571-109583; items 109584-109594 "Lenore 001-011 (2009-2014)" 26-30pp -> new key "Lenore v2 (2009)" (CV 41875 / GCD 53104); item 111880 "Lenore 001 (2019) (2 covers)" 30pp -> new key "Lenore v3 (2019)" (CV 120560 / GCD 178490)
N 10712 kept run: cv=22998 gcd=19028 (SLG 1998-2007, 13 = our v1 01-13); flag #315 label-ambiguous (item 109571) is answered - the v1 files are 21-33pp single issues (L-367)

# ---- Scout Comics ----
S 10919 cv=112457 gcd=143368 0.95 | Long Lost is a two-book LINE spanning two runs, so the line keeps its identity (L-109): CV 112457 (Scout 2018, 2: "Book 1" 2018-07-24, "Book 2" 2019-03-21) and GCD 143368 (Scout 2018-?, 2: rows 2018-07-25 / 2019-03-27) agree, and GCD's notes give each book a different season
F 10919 wrong-cv-link | the stored CV 106301 is the FIRST season alone (Scout 2017, 6), which Book 02 does not collect
I 109424 cv=677922 gcd=1943173 isbn=9781635353006 0.95 | "COL Long Lost Book 01 (2018)" 181pp = CV 112457 #1 issue 677922 "Book 1" and GCD 143368 #1 row 1943173 (2018-07-25)
I 109425 cv=703989 gcd=1943174 isbn=9781949514094 0.95 | "COL Long Lost Book 02 (2019)" 156pp = CV 112457 #2 issue 703989 "Book 2" and GCD 143368 #2 row 1943174 (2019-03-27)
C 109424 cv=106301 gcd=118940 #1-6 0.95 | GCD 1943173's notes: collects Long Lost (Scout Comics, 2017 series) #1-6 = CV 106301 (2017-11 ... 2018-05, 6) / GCD 118940 (2017-2018, 6)
C 109425 cv=112589 gcd=204424 #1-6 0.95 | GCD 1943174's notes: collects Long Lost Part Two (Scout Comics, 2018 series) #1-6 = CV 112589 (2018, 6) / GCD 204424 (2018-2019, 6)
S 12027 cv=134639 gcd=178010 0.9 | Midnight Western Theatre (Scout 2021, 5): CV 134639 (#1 2021-03-22 ... #5 2021-09-26) and GCD 178010 (2021, 5) agree, and our "v01 (2021)" 24pp is its #1; 0.9 for the other file, #1 of the 2023 sequel Witch Trial (CV 155782 / GCD 202132), a sequel's issue with no shelf
N 12027 flag #342 label-ambiguous (item 109429): answered - the "COL ... v01" is a 24pp single issue, #1 of the run (L-367)
I 109429 cv=839138 gcd=2278075 isbn=- 0.95 | "COL Midnight Western Theatre v01 (2021)" 24pp is issue #1: CV 134639 #1 issue 839138 (2021-03-22) and GCD 178010 #1 row 2278075
I 109428 cv=1038604 gcd=2555068 isbn=- 0.95 | "Midnight Western Theatre - Witch Trial 001 (2023)" 23pp = CV 155782 #1 issue 1038604 (2023-07) and GCD 202132 #1 row 2555068 (2023)
S 12149 cv=101400 gcd=114193 0.95 | Mindbender (Scout 2017-2018, 6): CV 101400 (2017, 6) and GCD 114193 (2017-2018, 6) agree on publisher, start year and count, and our one 161pp book is the run's own trade (six 27pp issues); the per-file CV 111434 is that trade's own record, used on its I line
I 109923 cv=672370 gcd=2277948 isbn=- 0.9 | "COL Mindbender v01 (2018)" 161pp = CV 111434 "Mindbender" (Scout 2018, 1) issue 672370 "Volume 1" (2018-06-06) and GCD 178104 row 2277948 (2018); GCD's row has no pages to check
S 16361 cv=107667 gcd=120211 0.9 | Stabbity Bunny (Scout 2018-): CV 107667 (11, #1 2018-01 ... #11 2020-08) and GCD 120211 (2018-?, 12) agree on title, publisher and year, and our two books are the run's own Vol. 01-02; 0.9 because the counts disagree (11 vs 12)
I 109444 cv=680665 gcd=2282621 isbn=978-1-63535-371-6 0.95 | "COL Stabbity Bunny v01 (2018)" 178pp = CV 112967 #1 issue 680665 "Volume 1" (2018-08) and GCD 178097 row 2282621 (176pp, 2018-07)
C 109444 cv=107667 gcd=120211 #1-6 0.95 | the packet's GCD row 2282621 roll-up: Stabbity Bunny (2018) #1-6 = CV 107667 / GCD 120211, the shelf's own run
I 109445 cv=1059009 gcd=- isbn=- 0.9 | "COL Stabbity Bunny v02 (2022)" 198pp = CV 112967 #2 issue 1059009 "Volume 2" (2022-10); GCD 178097 has no #2 row
S 16379 cv=117997 gcd=143431 0.95 | Star Bastard (Scout 2019-2020, 6): CV 117997 (2019, 6) and GCD 143431 (2019-2020, 6) agree, and GCD's trade row 2400499 says the book collects #1-6; our one 151pp book is the run's own trade
I 109948 cv=788994 gcd=2400499 isbn=9781949514315 0.9 | "COL Star Bastard v01 (2020)" 151pp = CV 129318 issue 788994 "TPB" (2020-08-08) and GCD 184954 row 2400499 (160pp, 2020-08-05, collects #1-6); GCD mints a twin 224294 (row 2741288, 144pp), so 0.9
S 18512 cv=131362 gcd=168051 0.9 | The Electric Black Presents (Scout 2020-2021, 3): CV 131362 (3) and GCD 168051 (3 rows 2020-11 ... 2021-03-10, 28pp) agree with our "Presents 001-003" 24-25pp; 0.9 for the fourth file, the trade of The Electric Black (2019), a different run with no shelf
F 18512 wrong-cv-link | the per-file CV 118508 "The Electric Black" (2019, 4) is stamped on all four files, including the three Presents issues
I 109452 cv=778163 gcd=- isbn=- 0.9 | "COL The Electric Black v01 (2020)" 142pp = CV 128518 "The Electric Black" (Scout 2020, 1) issue 778163 "Volume 1" (2020-07-14); GCD has no trade row
C 109452 cv=118508 gcd=144757 #1-4 0.95 | collects The Electric Black (Scout 2019-2020, 4; CV 118508 / GCD 144757, 28pp rows) #1-4 per the judged range - not the shelf's Presents run
S 19650 cv=114441 gcd=144041 0.95 | The Source (Scout 2018-2019, 4): CV 114441 (2018, 4) and GCD 144041 (2018-2019, 4) agree on publisher, start year and count; our one 139pp book is the run's own trade (four 30pp issues); CV 110225 is the Ashcan
I 109963 cv=726329 gcd=2278060 isbn=- 0.9 | "COL The Source v01 (2019)" 139pp = CV 122696 issue 726329 "Book 1" (2019-11-08) and GCD 178093 row 2278060 (2020); GCD's row carries no pages or date to check
S 22797 cv=111575 gcd=131884 0.95 | Zinnober (Scout 2018-2019, 7): CV 111575 (2018, 7) and GCD 131884 (2018-2019, 7) agree, and GCD's trade row 1935075 says the book collects #1-7; our one 160pp book is the run's own trade
I 109977 cv=702520 gcd=1935075 isbn=9781949514056 0.95 | "COL Zinnober v01 (2019)" 160pp = CV 117484 issue 702520 "Volume 1" (2019-03-07) and GCD 142151 row 1935075 (2019-03-06, collects #1-7)

# ---- Source Point Press ----
S 97300 cv=149249 gcd=193773 0.95 | Good Boy: Prodigal Son (Source Point 2022-2023, 4) is the third Good Boy series: CV 149249 (#1-2 2022-12, #3 2023-01, #4 2023-02) and GCD 193773 (#1 2022-12-07 ... #4 2023-02-15) agree with our "Good Boy Vol.3 01-04 (of 04) (2022-2023)" 24-25pp by count and dates
F 97300 wrong-cv-link | the stored CV 142228 "Good Boy" (2022, 3) is the TRADE line ("Volume 1", "Good Boy", "Good Boy: Prodigal Son") and the per-file CV 140335 is the first series; neither is this run
F 97300 needs-fetch cv=149249 | "Good Boy: Prodigal Son" (Source Point 2022, 4) is named from the rip and has no CvVolume row
S 13179 cv=114439 gcd=134554 0.9 | Ogre (Source Point 2018-2019, 3): CV 114439 (3) and GCD 134554 (3) agree, and GCD's trade row 1943413 says "Ogre v01" collects #1-3; 0.9 for the second book, the trade of the 2019 sequel Ogres, a different run with no shelf
F 13179 wrong-cv-link | the per-file CV 117982 (Ogre Vol. 1 TPB, count 1) is stamped on both books, including the Ogres volume
I 109638 cv=704858 gcd=1943413 isbn=9781945940446 0.95 | "COL Ogre v01 (2019)" 98pp = CV 117982 issue 704858 "TPB" (2019-03-28) and GCD 143428 row 1943413 (100pp, 2019-03-27, collects Ogre #1-3)
I 109639 cv=814274 gcd=- isbn=- 0.9 | "COL Ogre v02 - Ogres (2020)" 120pp = CV 131503 "Ogres" (Source Point 2020, 1) issue 814274 "Volume 2" (2020-10-29); X-054's gcd=1881355 is Ogre #2, a 32pp floppy, not this book
C 109639 cv=123093 gcd=156006 #1-4 0.9 | collects Ogres (Source Point 2019-2020, 4; CV 123093 / GCD 156006) #1-4 - 120pp is four issues; not the shelf's Ogre run

# ---- Titan ----
S 2862 cv=120232 gcd=148828 0.9 | Blade Runner 2019 (Titan 2019-2020, 12): CV 120232 and GCD 148828 agree, and GCD's roll-ups say our Vol. 01-03 collect #1-4 / #5-8 / #9-12; 0.9 for the FCBD 2020 one-shot; the 2039 Vol. 01 joins its shelf
F 2862 split-needed | item 110060 "COL Blade Runner 2039 Vol. 01 - Luv (2023)" 105pp collects Blade Runner 2039 #1-4 (GCD 2654808's notes; CV 146794 / GCD 193782), the run S2865 stores -> join S2865 on its key "Blade Runner 2039" (L-368)
N 2862 flag #186 label-ambiguous (item 111858): answered - items 110050 and 111858 are two rips of Vol. 01 and 110060 is the misfiled 2039 volume (L-367)
I 110050 cv=728398 gcd=2039431 isbn=9781787731615 0.95 | Vol. 01 - Los Angeles 105pp = CV 122978 issue 728398 and GCD 152805 #1 "Los Angeles" row 2039431 (116pp)
I 111858 cv=728398 gcd=2039431 isbn=9781787731615 0.95 | a second rip of Vol. 01 - Los Angeles (110pp) = CV 122978 issue 728398 / GCD 152805 row 2039431
I 110051 cv=799930 gcd=2174306 isbn=9781787731929 0.95 | Vol. 02 - Off World 104pp = CV 130387 issue 799930 and GCD 152805 #2 "Off-World" row 2174306 (116pp)
I 110052 cv=829749 gcd=2254837 isbn=9781787731936 0.95 | Vol. 03 - Home Again, Home Again 125pp = CV 134026 issue 829749 and GCD 152805 #3 row 2254837 (132pp)
I 111857 cv=793241 gcd=2133352 isbn=- 0.95 | "Blade Runner 2019 - Free Comic Book Day (2020)" 23pp = CV 129517 issue 793241 and GCD 162806 row 2133352 (24pp)
I 110060 cv=1018587 gcd=2654808 isbn=9781787738447 0.95 | Blade Runner 2039 Vol. 01 - Luv 105pp = CV 153750 issue 1018587 and GCD 214913 #1 "Luv" row 2654808 (116pp)
C 110060 cv=146794 gcd=193782 #1-4 0.95 | GCD 2654808's notes: collects Blade Runner 2039 (Titan, 2023 series) #1-4 = CV 146794 / GCD 193782 (12 issues)
S 2865 cv=146794 gcd=193782 0.95 | Blade Runner 2039 (Titan 2022-2024, 12): CV 146794 (12 cached) and GCD 193782 ([limited series] 12) agree and hold our "Blade Runner 2039 009-012 (2024)" 32-35pp; the Vol. 02 trade is the run's own book, and Vol. 01 arrives from S2862
I 110061 cv=- gcd=2666989 isbn=978-1787738454 0.9 | "COL Blade Runner 2039 Vol. 02 - Upgrade (2024)" 115pp = GCD 214913 #2 "Upgrade" row 2666989 (2024-02-14); ComicVine mints only Vol. 1 (153750)
C 110061 cv=146794 gcd=193782 #5-8 0.9 | Vol. 02 "Upgrade" is the middle of GCD 214913's three books (#1 Luv = #1-4 per its notes, #3 Ash last) over the 12-issue run, so #5-8 - the judged #9-12 is the last book's range
S 4123 cv=159622 gcd=215811 0.95 | Conan the Barbarian: Battle of the Black Stone (Titan 2024-2025, 4): CV 159622 (#1 "Eyes Upon Us" 2024-09-04 ... #4 2024-12-04) and GCD 215811 "Conan: Battle of the Black Stone" (#1 2024-09-04 ... #4 2025-01) agree issue for issue with our 001-004 (2024-2025)
F 4123 wrong-cv-link | the per-file CV 152857 (the 2023 Titan Conan ongoing) is stamped on all four files; also the stored GCD 208813 is Titan's Conan TPB line ("Bound in Black Stone" = #1-4 of the ongoing), not this mini
S 4466 cv=139986 gcd=94803 0.9 | Cutting Edge: CV 139986 (Titan 2021, 1, issue 892591) is Titan's English collection, which our two identical 173pp rips are; it gathers two Titan 2-issue minis, so the book's own record is the identity; GCD holds only the French original 94803 (Delcourt 2013-2015, 4 albums)
F 4466 wrong-cv-link | the per-file CV 131870 "Cutting Edge: The Siren's Song" (2020, 2) is one of the two minis the book collects, stamped on one rip
I 111864 cv=892591 gcd=- isbn=- 0.9 | "Cutting Edge (2021)" 173pp = CV 139986 issue 892591; GCD has no English row
I 111865 cv=892591 gcd=- isbn=- 0.9 | a second 173pp rip (DrVink-DCP) of the same book = CV 139986 issue 892591
C 111864 cv=131870 #1-2 0.9 | collects Cutting Edge: The Siren's Song (Titan 2020, 2; CV 131870 #1 2020-11, #2 2020-12) - 173pp over four 40pp chapters
C 111864 cv=133351 #1-2 0.9 | collects Cutting Edge: The Devil's Mirror (Titan 2021, 2; CV 133351 #1 2021-01, #2 2021-03) - the second half of the book
S 5029 cv=151361 gcd=205468 0.9 | Dead by Daylight (Titan 2023-2024, 4): CV 151361 (4) and GCD 205468 (4) agree, and our "Dead by Daylight 001-003 (2023)" 34-38pp are #1-3; 0.9 for the misfiled Broken Icon graphic novel "The Dead"
F 5029 wrong-cv-link | the per-file CV 71155 "The Dead" (2014, self-published) is stamped on the three Dead by Daylight issues
F 5029 misfiled | item 27511 "COL The Dead (2020) (Broken Icon)" 192pp (folder Graphic Novels) is a different comic; no shelf stores its CV 125725
I 27511 cv=741149 gcd=- isbn=- 1.0 | ComicInfo Web 741149 is CV 125725 "The Dead" (Broken Icon 2020, 1) issue 741149 (2020-03-14) - the collection asserts it
S 14764 cv=10781 gcd=21439 0.9 | Robotech: The Macross Saga (Comico 1984-1989): the archive line reprints this one run and gives way to it; CV 10781 caches #1-36 with #1 "Booby Trap" (1984-12) = the "Macross" #1 whose numbering the retitle continued, so under L-212 the GCD leg is the chain's FIRST record, GCD 21439 "Macross" (Comico 1984, 1) - GCD files #2-36 as 11694; 0.9 because GCD splits the chain
N 14764 the chain on GCD: 21439 "Macross" #1 (1984-11, 36pp) -> 11694 "Robotech: The Macross Saga" #2-36 (1985-1989); if the lead prefers the long record, gcd=11694 is the alternative
N 14764 flag #384 label-ambiguous (item 111899): answered - it named two rips of Vol. 01; only item 110504 remains on the shelf (L-367)
I 110504 cv=665981 gcd=1832655 isbn=978-1-78586-294-6 0.95 | Vol. 01 359pp = CV 109785 "Robotech Archives" #1 issue 665981 "The Macross Saga Volume 1" and GCD 127371 #1 row 1832655 (372pp, 2018-04)
I 110505 cv=679319 gcd=1835601 isbn=978-1-78586-295-3 0.95 | Vol. 02 334pp = CV 109785 #2 issue 679319 "The Macross Saga Volume 2" and GCD 127371 #2 row 1835601 (340pp, 2018-08)
I 110506 cv=692022 gcd=2037480 isbn=978-1-78586-296-0 0.95 | Vol. 03 362pp = CV 109785 #3 issue 692022 "The Macross Saga Volume 3" and GCD 127371 #3 row 2037480 (372pp, 2018-11)
C 110504 cv=10781 #1-11 0.95 | GCD 1832655's notes: Robotech: The Macross Saga (Comico) #1-11 = CV 10781 #1-11 ("Booby Trap" ... "First Contact")
C 110504 cv=31614 gcd=22817 #1-1 0.95 | GCD 1832655's notes also name the Graphic Novel (Comico, 1986) = CV 31614 "Robotech: The Graphic Novel" / GCD 22817, one book
C 110506 cv=10781 gcd=11694 #24-36 0.95 | GCD 2037480's notes: Robotech: The Macross Saga (Comico, 1985 series) #24-36 = CV 10781 #24-36 in the same numbering
C 110505 cv=10781 #12-23 0.9 | Vol. 02 has no note, but Vol. 01 ends at #11 and Vol. 03 starts at #24 on the 36-issue run; 334pp is about twelve 28pp issues
S 15139 cv=81618 gcd=88763 0.9 | Scarlett Couture (Titan 2015, 4): CV 81618 (4) and GCD 88763 ([limited series] 4) agree, and "01 Scarlett Couture (2015)" 129pp is the mini's hardcover; 0.9 for the second book, the trade of the 2023 sequel The Munich File (no shelf of its own)
I 110523 cv=509759 gcd=- isbn=- 0.9 | "01 Scarlett Couture (2015)" 129pp = CV 86990 "Scarlett Couture" (Titan 2015, 1) issue 509759 "HC"; GCD indexes no collection of the 2015 mini
C 110523 cv=81618 gcd=88763 #1-4 0.95 | the hardcover collects the whole four-issue 2015 mini, CV 81618 / GCD 88763 (four 36pp issues)
I 110524 cv=- gcd=2622446 isbn=- 0.9 | "COL 02 Scarlett Couture - The Munich File v01 (2024)" 132pp = GCD 211016 (Titan 2024, collected edition, 1) row 2622446; ComicVine mints no collected volume for it
C 110524 cv=154597 gcd=207037 #1-5 0.95 | collects Scarlett Couture: The Munich File (Titan 2023, 5; CV 154597 / GCD 207037) #1-5 - the sequel, not the shelf's 2015 run
S 46611 cv=155113 gcd=- 0.9 | Sea of Thieves: Sea Dog's Search (Titan 2023-2024, 3): CV 155113 (#1 2023-10, #2 2024-01, #3 2024-03) holds our "Sea Dog's Search 001-003 (2023-2024)" 24-25pp, with ComicInfo Series asserting the title; one leg only
F 46611 provider-missing | GCD's Sea of Thieves rows are the 2018 mini 127358, its trade 129887 and Origins 198319 - none is Sea Dog's Search
S 103230 cv=122657 gcd=151942 0.9 | Shades of Magic: The Rebel Army (Titan 2019-2020, 4): GCD 151942 (#1 2019-11-06 ... #4 2020-03-11) and CV 122657 (4) are the four issues our "Shades of Magic 009-012 (2019-2020)" are - the ripper's running count after the eight-issue first volume; one leg's dates checked, the CV leg uncached
F 103230 needs-fetch cv=122657 | "Shades of Magic: The Steel Prince: The Rebel Army" (Titan 2019, 4) has no CvVolume row
F 103230 wrong-cv-link | the per-file CV 114267 "Shades of Magic" (2018, 8 = The Steel Prince #1-4 + Night of Knives #5-8) is stamped on all four Rebel Army issues
S 8135 cv=- gcd=200285 0.9 | Guardian of Fukushima (Tokyopop 2023, 1): GCD 200285 row 2528375 (148pp, ISBN 9781427871367) carries our file's exact title, publisher and year, and ComicInfo says TOKYOPOP; our rip is 136pp
F 8135 provider-missing | ComicVine's "#Guardian" / "Guardian" hits are Awesome Reads, self-published and Spectrum books; no Tokyopop Guardian of Fukushima
I 110656 cv=- gcd=2528375 isbn=9781427871367 0.9 | "Guardian of Fukushima (2023)" 136pp = GCD 200285 row 2528375 (148pp, ISBN 9781427871367); the book is the shelf
N 8135 the per-file gcd 200285 on S8314's "Happy Noodle Boy" (a 7pp strip extract) is a stray stamp, not a second copy of this book

# ---- Valiant (2012- relaunch shelves) ----
S 2970 cv=81357 gcd=88490 0.9 | Bloodshot Reborn (Valiant 2015-2017, #0-18): CV 81357 (19 cached #0-18) and GCD 88490 (19 rows) agree; our four trades and two Deluxe Editions collect it (GCD roll-ups #1-5, #6-9, #10-13, #14-18, Deluxe 1 = #1-13) and item 111953 is #0 (2017); 0.9 for the Analog Man Director's Cut one-shot
N 2970 flag #126 duplicate-edition (item 110803): answered - Deluxe Book 02 and v04 both collect #14-18, two editions of one block, not two comics
I 110798 cv=499734 gcd=1709781 isbn=9781939346674 0.95 | v01 - Colorado 137pp = CV 84413 issue 499734 "TPB" and GCD 114603 #1 "Colorado" row 1709781 (148pp)
I 110799 cv=514423 gcd=1709782 isbn=9781939346827 0.95 | v02 - The Hunt 109pp = CV 87938 issue 514423 "Volume 2" and GCD 114603 #2 "The Hunt" row 1709782 (116pp)
I 110800 cv=539229 gcd=1709783 isbn=9781682151334 0.95 | v03 - The Analog Man 122pp = CV 92171 issue 539229 "Volume 3" and GCD 114603 #3 row 1709783 (116pp)
I 110801 cv=571653 gcd=1709784 isbn=9781682151679 0.95 | v04 - Bloodshot Island 182pp = CV 97408 issue 571653 "Volume 4" and GCD 114603 #4 row 1709784 (196pp)
I 110802 cv=562588 gcd=1709785 isbn=9781682151556 0.95 | Deluxe Edition Book 01 364pp = CV 96131 #1 issue 562588 and GCD 114616 #1 row 1709785 (372pp)
I 110803 cv=630511 gcd=1744535 isbn=9781682152270 0.9 | Deluxe Edition Book 02 389pp = CV 96131 #2 issue 630511 (2017-10) and GCD 114616 #2 row 1744535 (no pages)
I 111952 cv=516941 gcd=1777674 isbn=- 0.95 | "The Analog Man - Director's Cut 001 (2016)" 41pp = CV 88375 issue 516941 and GCD 120371 row 1777674 (52pp, 2016-02)
C 110801 cv=89146 gcd=98608 #1-1 0.95 | GCD 1709784's roll-up names Bloodshot Reborn Annual 2016 #1 beside #14-18 = CV 89146 / GCD 98608 (68pp one-shot), a run that is not the shelf's
C 110802 cv=81357 gcd=88490 #1-13 0.95 | GCD 1709785's roll-up: Bloodshot Reborn (2015) #1-13 = CV 81357 / GCD 88490, the shelf's own run
S 95772 cv=50367 gcd=66766 0.9 | Bloodshot (Valiant 2012-2014): #1-13 retitled "Bloodshot and H.A.R.D. Corps" #14-23 and back to "Bloodshot" #24-25 with the numbering continuing - one run storing the chain's FIRST record (L-212): CV 50367 (#0-13 + #24-25) and GCD 66766 (#0-13); our six trades, two Deluxe and the Definitive collect it; 0.9 because both legs file #14-23 separately
F 95772 wrong-cv-link | the per-file CV 5067 (Bloodshot 1993) is stamped on all nine books of the 2012 run
I 110815 cv=388550 gcd=1709773 isbn=9780979640964 0.95 | v01 - Setting the World on Fire 108pp = CV 57959 issue 388550 "Volume 1" and GCD 114602 #1 row 1709773 (116pp)
I 110816 cv=413649 gcd=1709774 isbn=9781939346032 0.95 | v02 - The Rise and the Fall 123pp = CV 64244 issue 413649 "Volume 2" and GCD 114602 #2 row 1709774 (132pp)
I 110817 cv=428852 gcd=1709775 isbn=9781939346322 0.9 | v03 - Harbinger Wars 108pp = CV 68319 issue 428852 "Volume 3" and GCD 114602 #3 row 1709775 (132pp - 24pp short)
I 110818 cv=441400 gcd=1709776 isbn=9781939346193 0.95 | v04 - H.A.R.D. Corps 141pp = CV 70701 issue 441400 "Volume 4" and GCD 114602 #4 row 1709776 (132pp)
I 110819 cv=462882 gcd=1709777 isbn=9781939346315 0.95 | v05 - Get Some! 139pp = CV 76536 issue 462882 "Volume 5" and GCD 114602 #5 row 1709777 (132pp)
I 110820 cv=490870 gcd=1709778 isbn=9781939346711 0.95 | v06 - The Glitch and Other Tales 113pp = CV 82346 issue 490870 "Volume 6" and GCD 114602 #6 row 1709778 (116pp)
I 110821 cv=449586 gcd=1709779 isbn=9781939346216 0.95 | Deluxe Edition Book 01 359pp = CV 72788 #1 issue 449586 "Book One" and GCD 114615 #1 row 1709779 (372pp)
I 110822 cv=502848 gcd=1709780 isbn=9781939346810 0.9 | Deluxe Edition Book 02 442pp = CV 72788 #2 issue 502848 "Book Two" (2015-10) and GCD 114615 #2 row 1709780 (no pages)
I 110823 cv=718699 gcd=2014850 isbn=9781682153406 0.95 | Definitive Edition 347pp = CV 121228 issue 718699 "TPB" and GCD 150194 row 2014850 (356pp, 2019-09-11)
C 110823 cv=50367 gcd=66766 #0-13 0.95 | GCD 2014850's notes: collects Bloodshot (Valiant Entertainment, 2012 series) #0-13 - replaces the judged #1-13
C 110818 cv=67621 gcd=78088 #14-17 0.95 | GCD 1709776's roll-up: Bloodshot and H.A.R.D.Corps (2013) #14-17 = CV 67621 / GCD 78088 (the retitled stretch, #14 2013-09 ... #17 2013-12)
C 110819 cv=67621 gcd=78088 #18-19 0.95 | GCD 1709777's roll-up: Bloodshot and H.A.R.D.Corps (2013) #18-19 and #22-23 = CV 67621 / GCD 78088; the larger-first stretch #18-19 here, #22-23 on the N
N 110819 also collects Bloodshot and H.A.R.D.Corps #22-23 (CV 67621 / GCD 78088) and the H.A.R.D. Corps #0 one-shot (GCD 114727) per GCD 1709777
C 110820 cv=50367 gcd=83268 #24-25 0.95 | GCD 1709778's roll-up: Bloodshot (2014) #24-25 = GCD 83268 rows #24 2014-10 / #25 2014-11 and CV 50367's own #24-25 - replaces the judged #24-26
S 98889 cv=80599 gcd=87401 0.9 | Ninjak (Valiant 2015-2017): CV 80599 (28, #0-27) and GCD 87401 (2015-2017, 27) are the run our six trades and Deluxe Book 02 collect (Vol. 01 judged #0-6, Vol. 02 #7-13); 0.9 because the counts differ by one
F 98889 wrong-cv-link | the per-file CV 5348 (Ninjak 1994) is stamped on 5 of the 7 books of the 2015 run
I 110886 cv=501606 gcd=1712303 isbn=9781939346667 0.95 | Vol. 01 - Weaponeer 179pp = CV 84987 issue 501606 "Volume 1" and GCD 114646 #1 "Weaponeer" row 1712303 (180pp)
I 110887 cv=507169 gcd=1712304 isbn=9781939346940 0.95 | Vol. 02 - The Shadow Wars 148pp = CV 86381 issue 507169 "Volume 2" and GCD 114646 #2 row 1712304 (148pp)
I 110888 cv=531872 gcd=1712305 isbn=9781682151259 0.95 | Vol. 03 - Operation: Deadside 146pp = CV 90717 issue 531872 "Volume 3" and GCD 114646 #3 row 1712305 (148pp)
I 110889 cv=549506 gcd=1712306 isbn=9781682151617 0.95 | Vol. 04 - The Siege of King's Castle 145pp = CV 94132 issue 549506 "Volume 4" and GCD 114646 #4 row 1712306 (148pp)
I 110890 cv=580737 gcd=1712307 isbn=9781682151792 0.95 | Vol. 05 - The Fist & The Steel 147pp = CV 98754 issue 580737 "Volume 5" and GCD 114646 #5 row 1712307 (148pp)
I 110891 cv=608199 gcd=- isbn=- 0.9 | Vol. 06 - The Seven Blades of Master Darque 164pp = CV 102769 issue 608199 "Volume 6" (2017-07); GCD 114646 stops at #5
I 111978 cv=662732 gcd=1712309 isbn=- 0.9 | Deluxe Edition Book 02 478pp = CV 98352 #2 issue 662732 "Volume 2" (2018-03) and GCD 114645 #2 row 1712309 (no pages)
S 35823 cv=105656 gcd=119452 0.9 | Quantum and Woody! (Valiant 2017-2018): CV 105656 (13 = #0.0001½ + #1-12) holds our "0.0001.5 (2017)" 23pp as issue 633359, and GCD 119452 (24 = twelve issues each indexed twice, L-153) is the same run; our two trades collect #1-5 / #6-12 (GCD notes); 0.9 for the pre-order doubling
I 110903 cv=675876 gcd=1823793 isbn=9781682152690 0.95 | Vol. 01 - Kiss Kiss, Klang Klang 145pp = CV 112050 issue 675876 "Volume 1" and GCD 126755 #1 row 1823793 (148pp, 2018-07-04)
