# R-034 — revisit of the split lane's P-004, first half: the new shelves P-004 created, each read beside the KEPT shelf
# it came from; plus the ten shelves R-032 withheld (their partners took F wrong-cv-link in R-033 / wave 19, so the CV
# is free now), and two open-flag questions (He-Man S8477, Punisher S94684). Every split-reader run id was re-probed
# with lookup.py (--issues / --gcd-issues / --collects / names) before it went on an S line.

# ================= the ten R-032 withheld shelves: the run confirmed again, the CV now written =================

S 102613 cv=27055 gcd=38419 0.95 | the RUN wins: our one 630pp "Do Androids Dream of Electric Sheep - Omnibus (2015)" collects the 24-issue Boom! adaptation — GCD's own row 1514806 (s95044, 644pp, ISBN 9781608867844) reprints s38419 #1-24 — and CV 27055 (Boom! 2009, 24, #1-24 cached) and GCD 38419 (Boom! 2009-2011, 24) agree on title, publisher, years and count; R-032 withheld cv=27055 only because S5586 (Dust to Dust, now S cv=33382 + F wrong-cv-link in R-033) still stored it
C 35361 cv=19000 gcd=18441 #8-14 0.9 | Gula collects Casanova (Image 2006-2008, 14 issues, CV 19000 / GCD 18441) #8-14 per the judged range (conf 0.9); Gula is the second arc of the Image run, #8 "In Media Res" to #14 "Hallo Spaceboy"
I 35362 cv=883737 gcd=1996941 isbn=978-1632151919 0.95 | Avaritia's own records: CV 138766 "Casanova: Avaritia - The Complete Edition" issue 883737 (Volume Three, 2015-04) and GCD 148774 #3 row 1996941 (176pp against our 150pp)
C 35362 cv=42660 gcd=61426 #1-4 0.95 | Avaritia collects Casanova: Avaritia (Marvel/Icon 2011-2012, 4 issues, CV 42660 / GCD 61426) #1-4 — the judged range #1-4 counts in THAT mini, not the 2006 run

# ================= Valiant\Divinity (2015): five books, four runs and a tie-in collection =================

S 102767 cv=89778 gcd=100119 0.95 | split run confirmed: our 113pp "Divinity II (2016)" is the TPB of Divinity II — CV 89778 (Valiant 2016, 4, "Book One-Four") and GCD 100119 (Valiant 2016, 4 rows) agree on title, publisher, year and count, 113pp is four issues; its own records are CV 94268 / GCD 114623
I 110839 cv=550341 gcd=1709230 isbn=9781682151518 0.95 | the TPB's own records: CV 94268 issue 550341 (TPB, 2016-09) and GCD 114623 row 1709230 (2016-10-04, 116pp against our 113pp)
S 102769 cv=97037 gcd=110719 0.95 | split run confirmed: our 115pp "Divinity III - Stalinverse (2017)" is the TPB of Divinity III: Stalinverse — CV 97037 (Valiant 2016, 4, "Book One-Four") and GCD 110719 (Valiant 2016-2017, 4 rows) agree on title, publisher, years and count; its own records are CV 101170 / GCD 119765
I 110841 cv=594101 gcd=1772709 isbn=978-1682151914 0.95 | the TPB's own records: CV 101170 issue 594101 (TPB, 2017-05) and GCD 119765 row 1772709 (2017-05-03, 116pp against our 115pp)
S 102768 cv=102111 gcd=114754 0.95 | split run confirmed: our 142pp "Divinity III - Heroes of the Glorious Stalinverse (2017)" collects the Divinity III one-shot tie-ins (several separate one-shots, no run spans them), so the book's own record is its identity: CV 102111 (Valiant 2017, 1, TPB 2017-06) and GCD 114754 (Valiant 2017, 1 row, 148pp) agree on title, publisher, year and count
I 110840 cv=601781 gcd=1712262 isbn=978-1682152072 0.95 | the TPB's own records: CV 102111 issue 601781 and GCD 114754 row 1712262 (2017-06-14, 148pp against our 142pp)
S 102766 cv=103511 gcd=115978 0.95 | split run confirmed: our 35pp "Divinity 000 (2017)" is the Divinity #0 one-shot — CV 103511 "Divinity" (Valiant 2017, 1, #0 2017-08) and GCD 115978 (Valiant 2017, One-shot, 1 row #0, 36pp) agree on title, publisher, year, number and count
I 111960 cv=614989 gcd=1728709 isbn=- 0.95 | the one-shot's own records: CV 103511 #0 issue 614989 and GCD 115978 #0 row 1728709 (36pp against our 35pp)
S 5571 cv=79993 gcd=86553 0.95 | the RUN wins: the kept "COL Divinity I Deluxe Edition (2015)" (157pp, ComicInfo "Divinity Deluxe Edition", judged #1-4) collects the four-issue 2015 Divinity — CV 79993 (Valiant 2015, 4, "Book One-Four") and GCD 86553 (Valiant 2015, 4 rows) agree on title, publisher, year and count; the stored CV 79993 is right
I 110838 cv=- gcd=1709227 isbn=9781939346926 0.95 | the Deluxe Edition's own record: GCD 114622 "Divinity Deluxe Edition" row 1709227 (2015-12-08, 170pp against our 157pp); ComicVine has no Deluxe volume (its 83303 is the 2015 TPB)

# ================= Disney\_Donald Duck Family: IDW 2015 ongoing and the US Dell/Gold Key/Whitman run =================

S 102871 cv=2090 gcd=872 0.9 | the split reader found no US record, but there is one: CV 2090 "Donald Duck" (1952, 342 issues, filed under its last publisher Boom!) is the long US run with the Dell/Gold Key/Whitman numbering — its #51 is issue 147357 (1957-01, "The Secret Of The Glacier") matching our "Donald Duck 051 (Dell 1957)" and its #244 is issue 147522 (1984-03) our "Donald Duck 244 (Whitman)"; GCD splits the run in two, 872 "Walt Disney's Donald Duck" (Dell 1952-1962, #26-84, the folder's own name and year) and 1528 "Donald Duck" (Western 1962-1984, #85-245); 0.9 because #244 lies in GCD 1528, not 872
N 102871 #244 is Whitman-era (CV dates it 1984-03, not the "1968" in our filename) and sits in GCD 1528 (Western 1962-1984), not in GCD 872; CV 31262 on the per-file link is the Dutch DPG weekly, a stamp
S 5728 cv=82112 gcd=89477 0.95 | the kept half: our "Donald Duck 019-021 (2017)" (35-36pp) in Disney\_Donald Duck Family\Donald Duck (2015) (IDW) are #19-21 of IDW's 2015 ongoing — CV 82112 (IDW 2015, 21, #19-21 dated 2017-04..06) and GCD 89477 (IDW 2015-2017, 21, "#19 / 386" 2017-04-05 …) agree on title, publisher, years and count, our ladder 19-21 ends the run; the per-file CV 31262 is the Dutch DPG weekly, a stamp
F 5728 merge-with=5732 | the same IDW 2015 Donald Duck run: S5732 (A-013: S cv=82112 gcd=89477) holds its Timeless Tales trades judged #1-6 / #7-12 / #13-18, this shelf holds #19-21 — one run, CV 82112 / GCD 89477, so the two shelves join (the split reader's "not a join" was about the Dell floppies, not these)

# ================= AWA Upshot Comics\E-Ratic (2020): two minis divided by folder =================

S 102773 cv=132400 gcd=167181 0.95 | split run confirmed, the RUN wins: our 126pp "COL E-Ratic v01 (2021)" collects the five-issue first series — CV 132400 (AWA 2020, 5, #1-5 2020-12..2021-04) and GCD 167181 (AWA 2020-2021, 5 rows) agree on title, publisher, years and count; its own records are CV 136774 / GCD 173047
I 8754 cv=858713 gcd=2228969 isbn=978-1953165091 0.95 | the trade's own records: CV 136774 issue 858713 (Volume 1, 2021-06-10) and GCD 173047 row 2228969 (2021-06-09)
S 5963 cv=145029 gcd=188955 0.95 | the kept half: our "E-Ratic - Recharged 01-04 (of 04) (2022)" (ComicInfo "E-Ratic: Recharged", AWA) are CV 145029 "E-Ratic: Recharged" (AWA 2022, 4, #1-4 2022-09..2023-02) and GCD 188955 (AWA 2022-2023, limited series, 4 rows) — title, publisher, years, count and the "(of 04)" all agree; the GCD per-file already names 188955 on 4/4
F 5963 wrong-cv-link | the stored CV 132400 is the first five-issue E-Ratic that moved to S102773; this shelf is Recharged, CV 145029

# ================= Goosebumps: Scholastic's Graphix line and four IDW minis (the RUN wins on each) =================

S 4323 cv=51863 gcd=47287 0.95 | the Graphix line, now whole on this shelf: our v01 Creepy Creatures (141pp), v02 Terror Trips (145pp), v03 Scary Summer (133pp) and a second 145pp rip of v01 (27975, joined from S7792 in P-004) are CV 51863 "Goosebumps Graphix" (Scholastic 2006, 3, #1-3 titled Creepy Creatures / Terror Trips / Scary Summer) and GCD 47287 "Goosebumps" (Scholastic 2006-2007, 3 rows with the same three titles and ISBNs) — two legs, three books, no issue run under them; the duplicate rip costs nothing
I 26931 cv=355880 gcd=747793 isbn=0-439-84125-9 0.95 | v01 Creepy Creatures: CV 51863 #1 issue 355880 and GCD 47287 #1 row 747793 (2006-09-06), titles agree
I 27975 cv=355880 gcd=747793 isbn=0-439-84125-9 0.95 | the second rip of v01 ("Goosebumps 01 - Creepy Creatures (2006)", 145pp): CV issue 355880 and GCD row 747793
I 26932 cv=355881 gcd=747795 isbn=978-0-439-85780-2 0.95 | v02 Terror Trips: CV 51863 #2 issue 355881 and GCD 47287 #2 row 747795 (2007-06-27)
I 26933 cv=355882 gcd=747794 isbn=978-0-439-85782-6 0.95 | v03 Scary Summer: CV 51863 #3 issue 355882 and GCD 47287 #3 row 747794 (2007-07-04)

S 102776 cv=109431 gcd=148496 0.95 | split run confirmed, the RUN wins: our 75pp "02 Goosebumps - Download and Die (2018)" (ComicInfo "Goosebumps: Download and Die!", IDW) is the trade of the three-issue mini — CV 109431 (IDW 2018, 3, #1-3 2018-02..04) and GCD 148496 (IDW 2018, 3 rows × 32pp) agree on title, publisher, year and count; the "02" is the folder's reading order
I 30713 cv=686131 gcd=2725280 isbn=978-1684053223 0.95 | the trade's own records: CV 113842 issue 686131 (Volume 2, 2018-09) and GCD 222843 row 2725280 (72pp against our 75pp)
S 102777 cv=118620 gcd=144755 0.95 | split run confirmed, the RUN wins: our 75pp "03 Goosebumps - Horrors of the Witch House (2019)" is the trade of the three-issue mini — CV 118620 (IDW 2019, 3) and GCD 144755 (IDW 2019, 3 rows × 32pp) agree on title, publisher, year and count
I 30714 cv=728840 gcd=2042471 isbn=978-1-68405-539-5 0.95 | the trade's own records: CV 123080 issue 728840 (TPB, 2019-10) and GCD 153098 row 2042471 (80pp against our 75pp)
S 102778 cv=130359 gcd=164476 0.95 | split run confirmed, the RUN wins: our 120pp "04 Goosebumps - Secrets of the Swamp (2020)" is the trade of the five-issue mini — CV 130359 (IDW 2020, 5, #1-5 2020-09..2021-01) and GCD 164476 (IDW 2020-2021, 5 rows × 32pp) agree on title, publisher, years and count
I 30715 cv=847432 gcd=2221419 isbn=978168405813651299 0.95 | the trade's own records: CV 135893 issue 847432 (TPB, 2021-04) and GCD 172335 row 2221419 (120pp against our 120pp)
S 7792 cv=105527 gcd=117847 0.95 | the kept half, the RUN wins: our 73pp "01 Goosebumps - Monsters at Midnight (2018)" (ComicInfo "Goosebumps: Monsters at Midnight", IDW) is the trade of the three-issue 2017 mini — CV 105527 (IDW 2017, 3, #1-3 2017-10..12) and GCD 117847 (IDW 2017, 3 rows × 32pp) agree on title, publisher, year and count (the split reader's ids)
I 30712 cv=666663 gcd=2725290 isbn=978-1684051557 0.95 | the trade's own records: CV 109994 issue 666663 (HC, 2018-04) and GCD 222844 row 2725290 (80pp against our 73pp)

# ================= He-Man and the Lost Dragon: a Ladybird storybook with no record =================

R 102786 | our one 48pp "Masters of the Universe - He-Man and the Lost Dragon (1986) (Ladybird) (pdf-rip)" is a UK Ladybird storybook: neither leg holds it — "He-Man and the Lost Dragon" and "Lost Dragon" --contains return 0 on GCD and only Dynamite's unrelated In Search of Lost Dragons on CV; the per-file CV 150305 is DC's 2011-2015 He-Man digital run, a stamp
F 102786 provider-missing | neither ComicVine nor GCD holds Ladybird's 1986 He-Man and the Lost Dragon (48pp storybook)

# ================= Misc\_John Carpenter\Storm Kids: five Storm King books, each asserting its ISBN =================

S 102797 cv=- gcd=203937 1.0 | the book asserts it: our 104pp "Storm Kids - Fetch Book One - The Journey (2023)" carries barcode 9781734389197, which is GCD 203937 "John Carpenter Presents Storm Kids: Fetch" #1 row 2576658's own ISBN 978-1-7343891-9-7 (Storm King 2023-02-08, "The Journey", 108pp); ComicVine has no Fetch volume ("Storm Kids" --contains lists eight, none Fetch)
I 108456 cv=- gcd=2576658 isbn=9781734389197 1.0 | the barcode 9781734389197 equals GCD row 2576658's ISBN (Fetch #1 "The Journey", 108pp against our 104pp)
S 102798 cv=128213 gcd=203552 0.95 | split run confirmed, the RUN wins: our 128pp "Storm Kids - Hyperbreed (2020)" collects the five-issue Hyperbreed — CV 128213 (Storm King 2020, 5, #1-5 2020-06..07) and GCD 203552 (Storm King 2020, 5 rows) agree on title, publisher, year and count; the barcode 9781733282147 is the trade's own ISBN (GCD 203553)
I 108457 cv=805328 gcd=2565742 isbn=9781733282147 1.0 | barcode 9781733282147 equals GCD 203553 row 2565742's ISBN (2020-09-30); CV 130795 issue 805328 is the same TPB
S 102799 cv=123297 gcd=155278 0.95 | split run confirmed, the RUN wins: our 120pp "Storm Kids - Monica Bleue - A Werewolf Story (2020)" collects the five-issue mini — CV 123297 (Storm King 2019, 5, #1-5 2019-12..2020-04) and GCD 155278 (Storm King 2019-2020, 5 rows) agree on title, publisher, years and count; the barcode 9781733282123 is the trade's own ISBN (GCD 203545)
I 108458 cv=793061 gcd=2565719 isbn=9781733282123 1.0 | barcode 9781733282123 equals GCD 203545 row 2565719's ISBN (2020-08-12, 124pp against our 120pp); CV 129496 issue 793061 is the same TPB
S 102800 cv=133746 gcd=203554 1.0 | the book asserts it: our 136pp "Storm Kids - The Grimms Town Terror Tales - Rise Of The Candy Creeper (2021)" carries barcode 9781733282161 = GCD 203554 row 2565743's ISBN (2021-02-21, 140pp), and CV 133746 (Storm King 2021, 1, GN 2021-02-14) agrees on title, publisher, year and count
I 108461 cv=828339 gcd=2565743 isbn=9781733282161 1.0 | barcode 9781733282161 equals GCD row 2565743's ISBN; CV 133746 issue 828339 (GN)
S 9908 cv=137628 gcd=203551 1.0 | the kept half asserts it: our 152pp "Storm Kids - Sacred Hearts (2021)" carries barcode 9781734389104 = GCD 203551 row 2565741's ISBN (2021-07-13, 156pp), and CV 137628 "John Carpenter Presents Storm Kids: Sacred Hearts" (Storm King 2021, 1, GN) agrees on title, publisher, year and count
I 108459 cv=871804 gcd=2565741 isbn=9781734389104 1.0 | barcode 9781734389104 equals GCD row 2565741's ISBN; CV 137628 issue 871804 (GN, 2021-07-19)

# ================= DC\Justice Leagues (2001): six one-shots, one record each =================

S 102805 cv=25421 gcd=10313 0.95 | split run confirmed: our 22pp "Justice Leagues - Justice League of Aliens 001 (2001)" is CV 25421 (DC 2001, 1, "Justice Leagues Part 5: Brother's Keepers") and GCD 10313 (DC 2001, 1 row 36pp) — title, publisher, year and count agree
I 67606 cv=150019 gcd=98102 isbn=- 0.95 | the one-shot's own records: CV 25421 #1 issue 150019 and GCD 10313 #1 row 98102 (2001-01-24)
S 102806 cv=24044 gcd=10310 0.95 | split run confirmed: our 21pp "Justice Leagues - Justice League of Amazons 001 (2001)" is CV 24044 (DC 2001, 1, "Jungle Work") and GCD 10310 (DC 2001, 1 row 36pp) — title, publisher, year and count agree
I 67607 cv=143066 gcd=98099 isbn=- 0.95 | the one-shot's own records: CV 24044 #1 issue 143066 and GCD 10310 #1 row 98099 (2001-01-24)
S 102807 cv=20437 gcd=10312 0.95 | split run confirmed: our 23pp "Justice Leagues - Justice League of Arkham 001 (2001)" is CV 20437 (DC 2001, 1, "Justice Leagues Part 4: Taking Over The Asylum") and GCD 10312 (DC 2001, 1 row 36pp) — title, publisher, year and count agree
I 67608 cv=122337 gcd=98101 isbn=- 0.95 | the one-shot's own records: CV 20437 #1 issue 122337 and GCD 10312 #1 row 98101 (2001-01-24)
S 102808 cv=25422 gcd=10311 0.95 | split run confirmed: our 23pp "Justice Leagues - Justice League of Atlantis 001 (2001)" is CV 25422 (DC 2001, 1, "Sea Change") and GCD 10311 (DC 2001, 1 row 36pp) — title, publisher, year and count agree
I 67609 cv=150023 gcd=98100 isbn=- 0.95 | the one-shot's own records: CV 25422 #1 issue 150023 and GCD 10311 #1 row 98100 (2001-01-24)
S 10202 cv=25420 gcd=10309 0.9 | the kept half: our 22pp "Justice Leagues - Justlce League of America 001 (2001)" is read as the finale JLA — CV 25420 "Justice Leagues: JLA" (DC 2001, 1, "Justice Leagues Part 6: Dawn's Early Light") and GCD 10309 (DC 2001, 1 row) agree with each other, and "JLA" is Justice League of America, the sixth "Justice League of A…" title beside Aliens/Amazons/Arkham/Atlantis; 0.9 because the event's prologue JL? (CV 24043 / GCD 10308, "Twilight's Last Gleaming") is the other one-shot our filename could mean
I 67610 cv=150018 gcd=98098 isbn=- 0.9 | the one-shot's own records: CV 25420 #1 issue 150018 and GCD 10309 #1 row 98098 (2001-01-31)
N 10202 if the lead can see the book's cover or indicia: "Justice League of America" is the JLA finale (CV 25420) unless the cover reads "JL?", in which case it is CV 24043 / GCD 10308

# ================= Dynamite\Kirby - Genesis (2011): the ongoing's trade and Dragonsbane =================

S 102811 cv=40342 gcd=58763 0.95 | split run confirmed, the RUN wins: our 252pp "COL Kirby - Genesis v01 (2012)" collects the main Kirby: Genesis — CV 40342 (Dynamite 2011, 9, #0-8 2011-07..2012-07) and GCD 58763 (Dynamite 2011-2012, 9 rows #0-8 × 36pp) agree on title, publisher, years and count, and 252pp is nine issues; its own record is CV 51640
I 21918 cv=354128 gcd=- isbn=- 0.9 | the trade's own record: CV 51640 "Kirby Genesis" issue 354128 (Volume 1, 2012-08); GCD has no row for the English 2012 trade (only Panini France 69179 and Mythos 156990)
S 10424 cv=45234 gcd=62958 0.95 | the kept half: our "Kirby - Genesis - Dragonsbane 001-004 (2012-2013)" (24-27pp) are CV 45234 "Kirby: Genesis - Dragonsbane" (Dynamite 2012, 4, #1-4 2012-01..2013-06) and GCD 62958 (Dynamite 2012, 4 rows) — title, publisher, years and count agree, ladder 1-4 complete; the GCD per-file already names 62958 on 4/4
F 10424 wrong-cv-link | the stored CV 40342 is the main nine-issue Kirby: Genesis that moved to S102811; this shelf is Dragonsbane, CV 45234

# ================= DC\Outsiders: Five of a Kind (2007): five one-shots, second rips joined =================

S 13477 cv=19004 gcd=25996 0.95 | two rips of one book (Glorith 26pp "Katana-Shazam, 2007-08-08 (#01)" and Empire 25pp "(02) - Katana - SHAZAM! 001", joined from S13476 in P-004): CV 19004 (DC 2007, 1) and GCD 25996 (DC 2007, One-Shot, on-sale 2007-08-08 — the Glorith filename's date) agree, and ComicInfo Web 112975 is CV 19004's issue; the duplicate rip costs nothing
I 57834 cv=112975 gcd=369878 isbn=- 1.0 | ComicInfo Web 112975 is CV 19004 #1, and GCD 25996 row 369878 (2007-08-08) agrees
I 68830 cv=112975 gcd=369878 isbn=- 0.95 | second rip of the same one-shot: CV issue 112975 and GCD row 369878
S 13478 cv=19024 gcd=26024 0.95 | two rips of one book (Glorith "Martian Manhunter-Thunder, 2007-08-15 (#01)" and Empire "(03) … 001", joined from S13476): CV 19024 (DC 2007, 1) and GCD 26024 (DC 2007, One-Shot, on-sale 2007-08-15 — the filename's date) agree, ComicInfo Web 113545 is CV 19024's issue
I 57835 cv=113545 gcd=370041 isbn=- 1.0 | ComicInfo Web 113545 is CV 19024 #1, and GCD 26024 row 370041 (2007-08-15) agrees
I 68831 cv=113545 gcd=370041 isbn=- 0.95 | second rip of the same one-shot: CV issue 113545 and GCD row 370041
S 13479 cv=19048 gcd=26150 0.95 | two rips of one book (Glorith "Metamorpho-Aquaman, 2007-08-22 (#01)" and Empire "(04) … 001", joined from S13476): CV 19048 (DC 2007, 1) and GCD 26150 (DC 2007, One-Shot, on-sale 2007-08-22 — the filename's date) agree, ComicInfo Web 113735 is CV 19048's issue
I 57836 cv=113735 gcd=370780 isbn=- 1.0 | ComicInfo Web 113735 is CV 19048 #1, and GCD 26150 row 370780 (2007-08-22) agrees
I 68832 cv=113735 gcd=370780 isbn=- 0.95 | second rip of the same one-shot: CV issue 113735 and GCD row 370780
S 13481 cv=19081 gcd=26224 0.95 | two rips of one book (Glorith "Wonder Woman-Grace, 2007-08-29 (#01)" and Empire "(05) … 001", joined from S13476): CV 19081 (DC 2007, 1) and GCD 26224 (DC 2007, One-Shot, on-sale 2007-08-29 — the filename's date) agree, ComicInfo Web 113958 is CV 19081's issue
I 57838 cv=113958 gcd=371428 isbn=- 1.0 | ComicInfo Web 113958 is CV 19081 #1, and GCD 26224 row 371428 (2007-08-29) agrees
I 68833 cv=113958 gcd=371428 isbn=- 0.95 | second rip of the same one-shot: CV issue 113958 and GCD row 371428
S 13476 cv=19005 gcd=25959 0.95 | the kept half is one book: our 25pp "Outsiders - Five of a Kind (01) - Nightwing - Boomerang 001 (2007)" is CV 19005 "Outsiders: Five of a Kind - Nightwing/Boomerang" (DC 2007, 1, "Five of a Kind, Part 1: Grudge Match") and GCD 25959 (DC 2007, One-Shot, 2007-08-01) — the same one-shot S13480 already holds (A-009: S cv=19005 gcd=25959), so it joins it; the per-file CV 34909 is the 2008 collected TPB, a stamp
F 13476 merge-with=13480 | the pending join is right: 68829 is a second rip of the Nightwing/Boomerang one-shot on S13480 (CV 19005 / GCD 25959) — same book, same records
I 68829 cv=112977 gcd=369780 isbn=- 0.95 | the one-shot's own records: CV 19005 #1 issue 112977 and GCD 25959 #1 row 369780 (2007-08-01)

# ================= DC\_Legion of Super-Heroes: the 2010 trades, the 1984 run, the 1980 run =================

S 10697 cv=33225 gcd=43909 0.95 | the RUN wins: our five trades — Vol. 01 The Choice (225pp), Vol. 02 Consequences (202pp + a 201pp second rip, joined from S10690), Vol. 03 When Evil Calls (315pp + a 314pp second rip, joined) — collect the 2010 Legion of Super-Heroes, CV 33225 (DC 2010, 16, #1-16 cached) and GCD 43909 (DC 2010-2011, 16 rows) agreeing on title, publisher, years and count; GCD row 1012848 says The Choice collects that series #1-6; duplicate rips cost nothing; the per-file CV 4201 (the 1989 run) is a stamp
N 10697 the stored GCD rows on 68044-68046 (1111043 "Hostile World", 1111047 "The Dominators", 1179211 "The Fatal Five") are the 2011 series' trades — another book each; their ⚠ ranges are void
I 68044 cv=272337 gcd=1012848 isbn=978-1-4012-3039-5 0.95 | The Choice's own records: CV 40424 issue 272337 (Volume 1, 2011-04) and GCD 68913 row 1012848 (232pp against our 225pp, collects #1-6)
I 68045 cv=291201 gcd=1656977 isbn=978-1-4012-3238-2 0.95 | Consequences' own records: CV 42612 issue 291201 (Volume 2, 2011-09) and GCD 110037 row 1656977 (216pp against our 202pp)
I 68032 cv=291201 gcd=1656977 isbn=978-1-4012-3238-2 0.95 | second rip of Consequences (201pp): CV issue 291201 and GCD row 1656977
I 68046 cv=464357 gcd=1657752 isbn=978-1-4012-3367-9 0.95 | When Evil Calls' own records: CV 76823 issue 464357 (Volume 3, 2012-04) and GCD 110203 row 1657752 (324pp against our 315pp)
I 68033 cv=464357 gcd=1657752 isbn=978-1-4012-3367-9 0.95 | second rip of When Evil Calls (314pp): CV issue 464357 and GCD row 1657752

S 98213 cv=3310 gcd=2835 0.9 | our ladder #1-63 (79 issue files plus duplicate rips of #1-4, #24, #26-33, #35-37, #40-42) is the whole 1984 Legion of Super-Heroes: CV 3310 (DC 1984, 63, #1-63 cached, #12 "The More Things Change") and GCD 2835 (DC 1984-1989, 63) agree on title, publisher, years and count, ComicInfo Volume 1984 on 66 files; C-015 wrote cv=- believing no rip entry existed, but CV 3310 is in the rip; 0.9 for the residue — the four Legion of Super-Heroes Annual 01-04 (1985-1988) are their own series, CV 3451 / GCD 2984
N 98213 residue: items 67656-67659 are Legion of Super-Heroes Annual #1-4 (CV 3451 / GCD 2984, 4 issues) — a separate series filed in the run's Annuals subfolder; the per-file CV 4201 on 83/83 files is the 1989 run, a stamp
I 68031 cv=300210 gcd=556208 isbn=978-1-4012-1944-4 0.95 | The More Things Change's own records: CV 43661 issue 300210 (TPB, 2008) and GCD 33020 row 556208 (2008-12-10, 180pp against our 176pp); joined here in P-004 as a trade of this 1984 run (#12 is titled "The More Things Change")

S 10690 cv=3033 gcd=2540 0.95 | the kept half is the 1980 run: item 68034 "Legion of Super-Heroes, 1979-10-25 (#259)" is CV 3033 "The Legion of Super-Heroes" (DC 1980, 55, #259-313) issue 20075 "Psycho War", and 68030 "The Curse (2014)" 544pp is judged #297-313 (conf 0.97) of the same run; CV 3033 and GCD 2540 (DC 1980-1984, 55) agree on title, publisher, years and count; ComicInfo Volume 1980 and Web 20075 on the #259
F 10690 merge-with=98212 | the pending join is right: S98212 "Legion of Super-Heroes v2 (1980)" is this same 1980-1984 run (C-015: S gcd=2540, already holding a #259 rip and #297); note C-015 wrote cv=- there, but CV 3033 is that run's volume
I 68030 cv=- gcd=1659894 isbn=978-1-4012-5139-0 0.95 | The Curse's own record: GCD 110596 "Legion of Super-Heroes: The Curse" (2014) row 1659894 (2014-09-10, 548pp against our 544pp); CV's 76859 is the 2011 Deluxe edition (issue 464966), not this 2014 printing

# ================= Dark Horse\Aliens Vs. Predator: the Omnibus line and the Incubus collection =================

S 102729 cv=19078 gcd=26704 0.95 | split run confirmed: our "COL Aliens vs. Predator Omnibus v01/v02 (2007)" (446/453pp) are CV 19078 "Aliens vs. Predator Omnibus" (Dark Horse 2007, 2, Volume 1-2) and GCD 26704 (Dark Horse 2007, 2 rows, 460/464pp) — a two-volume line collecting many AvP minis, no single run under it; title, publisher, year and count agree
I 12814 cv=113934 gcd=376772 isbn=978-1-59307-735-8 0.95 | v01's own records: CV 19078 #1 issue 113934 (Volume 1, 2007-06) and GCD 26704 #1 row 376772 (460pp against our 446pp)
I 12815 cv=115208 gcd=376773 isbn=978-1-59307-829-4 0.95 | v02's own records: CV 19078 #2 issue 115208 (Volume 2, 2007-10) and GCD 26704 #2 row 376773 (464pp against our 453pp)
N 102729 each omnibus collects several AvP minis, but GCD's parsed notes name them only as link ids and the judged #1-3 / #4-6 from B-015 are not ranges of any one run — no C lines written
S 14065 cv=77415 gcd=104695 0.95 | the kept half is three rips of one book: "Predator vs. Judge Dredd vs. Aliens - Incubus and Other Stories (2014)" (178/179/178pp) is CV 77415 (Dark Horse 2014, 1, HC) and GCD 104695 (Dark Horse 2014, 1 row, 188pp) — title, publisher, year and page count agree; it collects several crossover minis, so its own record is its identity; the duplicate rips (filed under 2000AD, Dark Horse and Misc) cost nothing
F 14065 wrong-cv-link | the stored CV 127780 is Soleil's 2010 French "Aliens vs. Predator" (2 albums) — another publisher and language; this book is CV 77415
I 4483 cv=467626 gcd=1607878 isbn=9781616554798 0.95 | the book's own records: CV 77415 issue 467626 (HC, 2014-10) and GCD 104695 row 1607878 (188pp against our 178pp)
I 12816 cv=467626 gcd=1607878 isbn=9781616554798 0.95 | second rip of the same book (179pp): CV issue 467626 and GCD row 1607878
I 106381 cv=467626 gcd=1607878 isbn=9781616554798 0.95 | third rip of the same book (178pp, Misc\Judge Dredd folder): CV issue 467626 and GCD row 1607878

# ================= Revolution: IDW's Hasbro event and Mad Cave's Revolution 9 =================

S 102837 cv=94219 gcd=106682 0.95 | split run confirmed, the RUN wins: our 144pp "Revolution (2017)" (IDW) is the trade of IDW's five-issue 2016 Revolution — CV 94219 (IDW 2016, 5, "Chapter 1-5") and GCD 106682 (IDW 2016, 5 rows) agree on title, publisher, year and count; its own records are CV 98308 / GCD 159375
I 33943 cv=578192 gcd=2106387 isbn=978-1631408168 0.95 | the trade's own records: CV 98308 issue 578192 (TPB, 2017-01) and GCD 159375 row 2106387 (156pp against our 144pp)
S 102838 cv=99417 gcd=159374 0.95 | split run confirmed: our 121pp "Revolution - Heroes (2017)" collects several Revolution tie-in one-shots (no run spans them), so its own record is its identity — CV 99417 "Revolution: Heroes" (IDW 2017, 1, TPB) and GCD 159374 (IDW 2017, 1 row, 124pp) agree on title, publisher, year, count and page count
I 32649 cv=584899 gcd=2106386 isbn=978-1631408410 0.95 | the TPB's own records: CV 99417 issue 584899 (2017-02) and GCD 159374 row 2106386 (124pp against our 121pp)
S 14637 cv=160106 gcd=220210 0.95 | the kept half: our "Revolution 9 001-003 (2024-2025)" (32pp) in MadCave (and Maverick)\Revolution 9 (2024) are CV 160106 (Mad Cave 2024, 4, #1-4 2024-09..2025-03) and GCD 220210 (Mad Cave 2024-?, 5 rows) — title, publisher, year agree and our ladder 1-3 sits inside both; GCD's #5 (2026) above CV's 4 is staleness on an open run; the per-file CV 94219 is IDW's Revolution, a stamp

# ================= American Mythology\Scary Christmas: per-year specials stay separate =================

